,term,score
0,michelozzo,196.22017062394357
1,cosimo,54.91168967686016
2,stanze,32.11372002538199
3,marmo,24.078814426220838
4,medici,20.93237617370813
5,colonne,20.868474470885232
6,cortile,20.517760018917137
7,abitazioni,17.352556982780072
8,frati,17.221055758007612
9,pagno,16.310254603089383
10,commode,16.201828692972953
11,scale,15.666548917687127
12,piano,15.250584974391526
13,salvestrini,15.09385927876489
14,peso,14.75922442287564
15,duca,14.570698804611673
16,finestre,14.248879068906811
17,cappella,14.11399843627979
18,publiche,13.963365541231259
19,convento,13.907347919720785
20,mal,13.67850667927809
21,lampade,13.561382407466919
22,segrete,13.561382407466919
23,braccia,13.404411349356526
24,cornice,13.320814060616735
25,capella,13.040712356742468
26,camere,13.01769095153456
27,doppii,13.014417737085054
28,arme,12.412329217634372
29,bronzo,12.213324916205838
30,donatello,11.977617995975695
31,magnifico,11.826093789380408
32,guastare,11.481940865787083
33,dirimpetto,11.119395575442109
34,diede,10.94179824100254
35,arnolfo,10.93497619540522
36,falcone,10.873503068726256
37,dimostrasse,10.873503068726256
38,mendicare,10.873503068726256
39,modello,10.522735120939622
40,banchi,10.472524155923445
41,impresa,10.414152761227648
42,commodità,10.075923209115397
43,mariotto,10.071929978049877
44,bieche,10.062572852509927
45,marco,9.983943577610939
46,palchi,9.556379207269899
47,riducendolo,9.487208707606365
48,pozzi,9.487208707606365
49,cantine,9.487208707606365
50,bozzi,9.487208707606365
51,ridurlo,9.487208707606365
52,governava,9.402499324107247
53,pianta,9.402499324107247
54,utili,9.256128831598952
55,lite,9.040921604977946
56,pezzi,9.034790816060731
57,ornamenti,9.029555409832813
58,va,8.930466465346948
59,spese,8.871502837979708
60,muraglia,8.733068670164617
61,chiude,8.676278491390036
62,diamante,8.676278491390036
63,su,8.631304996163578
64,intagliati,8.615406530704774
65,oro,8.4954095803988
66,giorgio,8.4954095803988
67,detti,8.436237292163785
68,dato,8.415065377264398
69,dormentorio,8.36797713173552
70,esilio,8.36797713173552
71,archi,8.347389788354093
72,ai,8.257851142900252
73,cima,8.186103999782755
74,fiesole,8.186103999782755
75,conveniva,8.100914346486476
76,gigli,8.100914346486476
77,agiatamente,8.100914346486476
78,die,8.100914346486476
79,intagliato,8.087734531313782
80,pericolo,8.087734531313782
81,sagrestia,8.076099402999048
82,edificazione,7.865348275173708
83,scaglioni,7.865348275173708
84,giglio,7.865348275173708
85,piani,7.865348275173708
86,commessi,7.865348275173708
87,noviziato,7.865348275173708
88,acqua,7.822045780109745
89,coro,7.822045780109745
90,acconcimi,7.654627243858055
91,forma,7.641564038987867
92,bisogno,7.641564038987867
93,gonfaloniere,7.464006884249406
94,lumi,7.3990112063802815
95,libri,7.3990112063802815
96,pelo,7.289984130270146
97,reffettorio,7.289984130270146
98,grandezza,7.144373172277558
99,accomodò,7.1298987149230735
100,publica,7.1298987149230735
101,cavate,7.1298987149230735
102,imperatori,7.1298987149230735
103,capitelli,6.981682770615629
104,banco,6.981682770615629
105,milano,6.969708675458262
106,signori,6.844232428505903
107,rispondono,6.843697027641727
108,giovannino,6.843697027641727
109,pietre,6.776093112045548
110,angolo,6.714619985366585
111,canto,6.610247601779468
112,brunellesco,6.479053914053818
113,aggiunse,6.479053914053818
114,fabrica,6.422744005076397
115,sforza,6.370919471513266
116,legno,6.367696589071807
117,stava,6.367696589071807
118,posa,6.268332882738164
119,rifece,6.268332882738164
120,legnami,6.170752554399301
121,costa,6.170752554399301
122,presente,6.157083813052061
123,commessione,6.077712523129515
124,nunziata,6.008292989633945
125,dov,5.988808997987848
126,sale,5.988808997987848
127,cura,5.960291965594622
128,monte,5.903753459062201
129,mosso,5.903689769150256
130,miniato,5.903689769150256
131,libreria,5.903689769150256
132,potesse,5.820731918689944
133,otto,5.7756182865963215
134,cioè,5.754203330775719
135,ornamento,5.754203330775719
136,fabbrica,5.743604353803183
137,cotal,5.743604353803183
138,messi,5.743604353803183
139,ducati,5.743604353803183
140,insomma,5.7311730292409
141,solo,5.681474054442957
142,spartimento,5.668123697837489
143,primo,5.6455993745119155
144,miglia,5.525205769873199
145,larga,5.525205769873199
146,varie,5.518317821324047
147,finito,5.477500865156712
148,figliuolo,5.47089912050127
149,dipinti,5.457402666521837
150,ingegno,5.436856361829635
151,fa,5.436856361829635
152,luminario,5.436751534363128
153,muovo,5.436751534363128
154,frequentia,5.436751534363128
155,dicatum,5.436751534363128
156,ceremonias,5.436751534363128
157,attignevano,5.436751534363128
158,canove,5.436751534363128
159,scommodo,5.436751534363128
160,scommode,5.436751534363128
161,crepata,5.436751534363128
162,pieque,5.436751534363128
163,dormivano,5.436751534363128
164,maxima,5.436751534363128
165,vigesimoquinto,5.436751534363128
166,tinaie,5.436751534363128
167,posticce,5.436751534363128
168,caponsacchi,5.436751534363128
169,organetto,5.436751534363128
170,cardinalium,5.436751534363128
171,sbrigata,5.436751534363128
172,saracinesche,5.436751534363128
173,caminasse,5.436751534363128
174,sproporzionate,5.436751534363128
175,viserintve,5.436751534363128
176,diliberò,5.436751534363128
177,consecrationis,5.436751534363128
178,totidemque,5.436751534363128
179,variassino,5.436751534363128
180,divota,5.436751534363128
181,medicis,5.436751534363128
182,tavolaccino,5.436751534363128
183,depositeria,5.436751534363128
184,allogiati,5.436751534363128
185,pelegrini,5.436751534363128
186,sgraffisse,5.436751534363128
187,sapessono,5.436751534363128
188,eugenius,5.436751534363128
189,more,5.436751534363128
190,84,5.436751534363128
191,riarmò,5.436751534363128
192,beccatelli,5.436751534363128
193,366,5.436751534363128
194,quartus,5.436751534363128
195,conoscon,5.436751534363128
196,dispensasse,5.436751534363128
197,recargli,5.436751534363128
198,bonacorsi,5.436751534363128
199,dispari,5.436751534363128
200,absolutum,5.436751534363128
201,cccc,5.436751534363128
202,disagiose,5.436751534363128
203,racchiudere,5.436751534363128
204,cl,5.436751534363128
205,crederebbono,5.436751534363128
206,etiam,5.436751534363128
207,pigello,5.436751534363128
208,comitatus,5.436751534363128
209,quotannis,5.436751534363128
210,magnificis,5.436751534363128
211,id,5.436751534363128
212,poderi,5.436751534363128
213,celebraverint,5.436751534363128
214,caste,5.436751534363128
215,tandem,5.436751534363128
216,temporis,5.436751534363128
217,servitor,5.436751534363128
218,distrutte,5.436751534363128
219,omnibus,5.436751534363128
220,sacerdotum,5.436751534363128
221,1433,5.436751534363128
222,1434,5.436751534363128
223,servato,5.436751534363128
224,aliorumque,5.436751534363128
225,disunite,5.436751534363128
226,ingraticolato,5.436751534363128
227,1437,5.436751534363128
228,septem,5.436751534363128
229,trebbio,5.436751534363128
230,statasque,5.436751534363128
231,richieggono,5.436751534363128
232,quadragesimas,5.436751534363128
233,condurrebbono,5.436751534363128
234,sessantaotto,5.436751534363128
235,eodem,5.436751534363128
236,architravata,5.436751534363128
237,ottantasette,5.436751534363128
238,acecando,5.436751534363128
239,epiphaniae,5.436751534363128
240,lampanaio,5.436751534363128
241,riconoscano,5.436751534363128
242,puntellata,5.436751534363128
243,peccatis,5.436751534363128
244,remisit,5.436751534363128
245,impiombati,5.436751534363128
246,spessa,5.436751534363128
247,scaraggio,5.436751534363128
248,scoscesa,5.436751534363128
249,portigiani,5.436751534363128
250,annuas,5.436751534363128
251,ragnaie,5.436751534363128
252,episcoporum,5.436751534363128
253,ritornasseno,5.436751534363128
254,copiosi,5.436751534363128
255,luendis,5.436751534363128
256,riunire,5.436751534363128
257,archiepiscoporum,5.436751534363128
258,amplissimo,5.436751534363128
259,riconoscerebbono,5.436751534363128
260,auctoritate,5.436751534363128
261,michelozzi,5.436751534363128
262,tetto,5.391823020875854
263,ferro,5.391823020875854
264,mandò,5.358279879208169
265,rame,5.328325624246694
266,amava,5.328325624246694
267,disse,5.319569664700445
268,cominciò,5.281352587368156
269,nuovo,5.281352587368156
270,ser,5.2667823069131865
271,vecchiezza,5.207076380613824
272,moderna,5.207076380613824
273,ricca,5.149101306867319
274,cera,5.092759552933927
275,cornici,5.092759552933927
276,forte,5.092759552933927
277,acque,5.037961604557698
278,chiudeva,5.0312864262549635
279,ricominciò,5.0312864262549635
280,tumulti,5.0312864262549635
281,gittar,5.0312864262549635
282,consecravit,5.0312864262549635
283,caricasse,5.0312864262549635
284,agiatissime,5.0312864262549635
285,bonificò,5.0312864262549635
286,abitarvi,5.0312864262549635
287,ordinasse,5.0312864262549635
288,serpentini,5.0312864262549635
289,pancone,5.0312864262549635
290,cafaggiuolo,5.0312864262549635
291,minacciare,5.0312864262549635
292,1439,5.0312864262549635
293,evangelistae,5.0312864262549635
294,riconoscessino,5.0312864262549635
295,dispense,5.0312864262549635
296,adornavano,5.0312864262549635
297,procacciando,5.0312864262549635
298,splendidissimo,5.0312864262549635
299,sumptibus,5.0312864262549635
300,vòlte,5.0312864262549635
301,romanus,5.0312864262549635
302,benedetta,5.0312864262549635
303,alleggerire,5.0312864262549635
304,mattonare,5.0312864262549635
305,erta,5.0312864262549635
306,xlii,5.0312864262549635
307,tavolaccini,5.0312864262549635
308,araldi,5.0312864262549635
309,salotti,5.0312864262549635
310,pontifex,5.0312864262549635
311,libere,5.0312864262549635
312,comandatori,5.0312864262549635
313,pioveva,5.0312864262549635
314,debiti,5.0312864262549635
315,solemni,5.0312864262549635
316,nocera,5.0312864262549635
317,nonché,5.0312864262549635
318,nasceva,5.0312864262549635
319,esset,5.0312864262549635
320,festo,5.0312864262549635
321,fidelissimo,5.0312864262549635
322,piacciuto,5.0312864262549635
323,puntegli,5.0312864262549635
324,scrittoi,5.0312864262549635
325,ospizio,5.0312864262549635
326,acconcime,5.0312864262549635
327,spontaneamente,5.0312864262549635
328,fermati,5.0312864262549635
329,donzelli,5.0312864262549635
330,reggano,5.0312864262549635
331,80,5.0312864262549635
332,consumarono,5.0312864262549635
333,pativano,5.0312864262549635
334,rifacessero,5.0312864262549635
335,1452,5.0312864262549635
336,argento,4.984625110393376
337,volle,4.957685701334601
338,via,4.890267133778425
339,verso,4.890267133778425
340,sola,4.882038521618274
341,donò,4.882038521618274
342,scala,4.882038521618274
343,fantasie,4.882038521618274
344,dette,4.85711762521867
345,fonte,4.832653296437531
346,epitaffio,4.832653296437531
347,mura,4.832653296437531
348,legname,4.832653296437531
349,inteso,4.832653296437531
350,insino,4.824330413622099
351,signor,4.7918976653094525
352,pieni,4.78445819327941
353,facendo,4.759811797959209
354,restaurazione,4.743604353803183
355,scaricare,4.743604353803183
356,travata,4.743604353803183
357,dimorare,4.743604353803183
358,compartite,4.743604353803183
359,pino,4.743604353803183
360,amare,4.743604353803183
361,dritto,4.743604353803183
362,riducesse,4.743604353803183
363,sagrazione,4.743604353803183
364,cosmi,4.743604353803183
365,spartendo,4.743604353803183
366,bieco,4.743604353803183
367,incommodo,4.743604353803183
368,riparò,4.743604353803183
369,abitar,4.743604353803183
370,64,4.743604353803183
371,celeberrimo,4.743604353803183
372,accommodasse,4.743604353803183
373,apartato,4.743604353803183
374,viverà,4.743604353803183
375,1298,4.743604353803183
376,conserva,4.743604353803183
377,destri,4.743604353803183
378,rendute,4.743604353803183
379,cucine,4.743604353803183
380,templum,4.743604353803183
381,rispondevano,4.743604353803183
382,vendono,4.743604353803183
383,pifferi,4.743604353803183
384,trombetti,4.743604353803183
385,cordoni,4.743604353803183
386,centine,4.743604353803183
387,cipresso,4.743604353803183
388,tornaquinci,4.743604353803183
389,apriva,4.743604353803183
390,ragunava,4.743604353803183
391,culto,4.743604353803183
392,vitto,4.743604353803183
393,sepoltura,4.728065469967598
394,simile,4.728065469967598
395,re,4.634793708757504
396,circa,4.602514636867957
397,ordinò,4.602514636867957
398,ordinato,4.55950222642603
399,stufe,4.520460802488973
400,mazzieri,4.520460802488973
401,cacciò,4.520460802488973
402,abitavano,4.520460802488973
403,barnaba,4.520460802488973
404,accompagnate,4.520460802488973
405,anticamere,4.520460802488973
406,venduta,4.520460802488973
407,bonarroti,4.520460802488973
408,ingegnarsi,4.520460802488973
409,porfidi,4.520460802488973
410,portinari,4.520460802488973
411,conventi,4.520460802488973
412,piaciutoli,4.520460802488973
413,ode,4.520460802488973
414,zoppa,4.520460802488973
415,agiate,4.520460802488973
416,perde,4.520460802488973
417,tum,4.520460802488973
418,credesse,4.520460802488973
419,puntelli,4.520460802488973
420,sostenevano,4.520460802488973
421,entrata,4.5173954080303655
422,chiostro,4.5173954080303655
423,strada,4.5173954080303655
424,ancor,4.485509180080313
425,spazio,4.476156833624893
426,rilievo,4.456523447345102
427,lume,4.435751418989854
428,spesa,4.435751418989854
429,fregio,4.435751418989854
430,vinezia,4.435751418989854
431,stanno,4.435751418989854
432,signoria,4.3961461643974955
433,grandissimo,4.371209641383501
434,lontano,4.357309992683293
435,stanza,4.357309992683293
436,canali,4.338139245695018
437,smalti,4.338139245695018
438,sontuoso,4.338139245695018
439,celle,4.338139245695018
440,privato,4.338139245695018
441,accommodò,4.338139245695018
442,andarsi,4.338139245695018
443,36,4.338139245695018
444,ordinarie,4.338139245695018
445,mercé,4.338139245695018
446,illustrissimi,4.338139245695018
447,fedel,4.338139245695018
448,comperato,4.338139245695018
449,simplicità,4.338139245695018
450,patì,4.338139245695018
451,todesco,4.338139245695018
452,piuttosto,4.338139245695018
453,falso,4.338139245695018
454,ribattendo,4.338139245695018
455,cigne,4.338139245695018
456,rifondò,4.338139245695018
457,onestamente,4.338139245695018
458,ville,4.338139245695018
459,pativa,4.338139245695018
460,serbano,4.338139245695018
461,fornimenti,4.338139245695018
462,ricoperse,4.338139245695018
463,collegio,4.338139245695018
464,mila,4.338139245695018
465,18,4.338139245695018
466,commodissime,4.338139245695018
467,careggi,4.338139245695018
468,variamente,4.338139245695018
469,sospesi,4.338139245695018
470,ripiena,4.338139245695018
471,argenterie,4.338139245695018
472,avervi,4.338139245695018
473,averà,4.338139245695018
474,suis,4.338139245695018
475,cortili,4.338139245695018
476,lorenzo,4.2882550473919725
477,dovesse,4.281829336717598
478,qui,4.245131059381205
479,tondi,4.2090940483758486
480,donato,4.2090940483758486
481,consiglio,4.2090940483758486
482,loggia,4.2090940483758486
483,compagnia,4.207532688632199
484,miseramente,4.18398856586776
485,traiano,4.18398856586776
486,giovinezza,4.18398856586776
487,ricoprire,4.18398856586776
488,essequire,4.18398856586776
489,conducevano,4.18398856586776
490,mugello,4.18398856586776
491,rimessa,4.18398856586776
492,apostolica,4.18398856586776
493,ballatoio,4.18398856586776
494,rifar,4.18398856586776
495,1538,4.18398856586776
496,iustina,4.18398856586776
497,lavorarla,4.18398856586776
498,trionfante,4.18398856586776
499,malagevole,4.18398856586776
500,murati,4.18398856586776
501,fortificò,4.18398856586776
502,animoso,4.18398856586776
503,accompagnò,4.18398856586776
504,cum,4.18398856586776
505,gennaio,4.18398856586776
506,rimesse,4.18398856586776
507,vanno,4.173694894177046
508,bellissimo,4.15489975967947
509,colonna,4.138911408753309
510,messa,4.1047225420347075
511,sé,4.077642271372227
512,ruota,4.050457173243238
513,adornato,4.050457173243238
514,filareto,4.050457173243238
515,entrar,4.050457173243238
516,ierusalem,4.050457173243238
517,trattenimento,4.050457173243238
518,unitamente,4.050457173243238
519,ottenuto,4.050457173243238
520,lapo,4.050457173243238
521,capuccio,4.050457173243238
522,candellieri,4.050457173243238
523,membri,4.050457173243238
524,restato,4.050457173243238
525,inclinati,4.050457173243238
526,grano,4.050457173243238
527,fornito,4.050457173243238
528,magnificamente,4.050457173243238
529,terreno,4.050457173243238
530,accomodasse,4.050457173243238
531,proveduto,4.050457173243238
532,musici,4.050457173243238
533,misurato,4.050457173243238
534,pigliano,4.050457173243238
535,volentieri,4.005528659755964
536,piccola,4.005528659755964
537,dì,3.9735279770630814
538,terzo,3.9735279770630814
539,restaurò,3.932674137586854
540,drento,3.932674137586854
541,rimediare,3.932674137586854
542,corinto,3.932674137586854
543,boschi,3.932674137586854
544,candele,3.932674137586854
545,bastare,3.932674137586854
546,alzato,3.932674137586854
547,andito,3.932674137586854
548,appartamenti,3.932674137586854
549,guadagni,3.932674137586854
550,immagine,3.932674137586854
551,unito,3.932674137586854
552,calavria,3.932674137586854
553,casi,3.932674137586854
554,diremo,3.932674137586854
555,pieno,3.8504121910642146
556,vivere,3.8504121910642146
557,foggia,3.8273136219290276
558,candelieri,3.8273136219290276
559,getti,3.8273136219290276
560,pila,3.8273136219290276
561,cittadin,3.8273136219290276
562,annos,3.8273136219290276
563,luglio,3.8273136219290276
564,disteso,3.8273136219290276
565,rovinare,3.8273136219290276
566,tornabuoni,3.8273136219290276
567,perdono,3.8273136219290276
568,doppia,3.8273136219290276
569,comendato,3.8273136219290276
570,armario,3.8273136219290276
571,risparmio,3.8273136219290276
572,catena,3.8273136219290276
573,accommodato,3.8273136219290276
574,agosto,3.8273136219290276
575,pietra,3.8207820194939335
576,sei,3.7915844206516285
577,debole,3.732003442124703
578,girava,3.732003442124703
579,levate,3.732003442124703
580,onorevole,3.732003442124703
581,difesa,3.732003442124703
582,quadra,3.732003442124703
583,servirono,3.732003442124703
584,scende,3.732003442124703
585,eugenio,3.732003442124703
586,vien,3.732003442124703
