,term,score
0,grottesche,49.726851928858785
1,andrea,25.920384991894696
2,feltrini,16.310254603089383
3,grotte,15.730696550347416
4,morto,15.723601840437231
5,fecie,14.230813061409549
6,mariotto,13.42923997073317
7,fregiature,12.341505108798602
8,professione,11.551236573192643
9,nozze,11.336247395674977
10,aparati,10.873503068726256
11,ombrando,10.873503068726256
12,mettidoro,10.873503068726256
13,duca,10.19948916322817
14,cosimo,9.983943577610939
15,avessi,9.256128831598952
16,intonaco,9.040921604977946
17,ornamenti,9.029555409832813
18,andò,8.742419282767003
19,feltro,8.676278491390036
20,riscuotere,8.676278491390036
21,accompagnò,8.36797713173552
22,vari,8.36797713173552
23,nero,8.186103999782755
24,imprese,8.186103999782755
25,trovate,8.100914346486476
26,ridotte,8.100914346486476
27,ferro,8.087734531313782
28,alessandro,8.076099402999048
29,antiche,7.947055954126163
30,mesi,7.822045780109745
31,son,7.641564038987867
32,bandiere,7.464006884249406
33,arme,7.092759552933927
34,pien,6.981682770615629
35,tomaso,6.843697027641727
36,oro,6.79632766431904
37,quantità,6.714619985366585
38,bigio,6.593370741733715
39,lasciano,6.593370741733715
40,essequie,6.479053914053818
41,facciate,6.422744005076397
42,viniziani,6.370919471513266
43,palchi,6.370919471513266
44,tribolo,6.370919471513266
45,antica,6.367696589071807
46,carlo,6.367696589071807
47,tale,6.26054234126557
48,puntormo,6.170752554399301
49,spartimenti,5.988808997987848
50,medici,5.9806789067737505
51,mia,5.903689769150256
52,sentendo,5.822045780109745
53,sarto,5.822045780109745
54,francia,5.820731918689944
55,dua,5.525205769873199
56,or,5.525205769873199
57,facciata,5.505234095266835
58,piena,5.477500865156712
59,torno,5.457402666521837
60,spolverandogli,5.436751534363128
61,liquido,5.436751534363128
62,raschiato,5.436751534363128
63,servii,5.436751534363128
64,accortissimo,5.436751534363128
65,carbon,5.436751534363128
66,ntonaco,5.436751534363128
67,trullo,5.436751534363128
68,seristori,5.436751534363128
69,rica,5.436751534363128
70,rilegandole,5.436751534363128
71,appiccandosi,5.436751534363128
72,storiati,5.436751534363128
73,imparai,5.436751534363128
