,term,score
0,nanni,45.92776346314833
1,donato,31.568205362818865
2,lò,10.873503068726256
3,oratorio,7.865348275173708
4,prezzo,7.32305778242741
5,consoli,7.1298987149230735
6,banco,6.981682770615629
7,ragionevole,6.969708675458262
8,dall,6.96850133264289
9,accordo,6.714619985366585
10,nicchia,6.653627128484781
11,marmo,6.019703606555209
12,me,5.820731918689944
13,errore,5.668123697837489
14,cena,5.525205769873199
15,or,5.525205769873199
16,tu,5.457402666521837
17,scantonò,5.436751534363128
18,rendette,5.436751534363128
19,attente,5.436751534363128
20,riallogata,5.436751534363128
21,ferra,5.436751534363128
22,prometti,5.436751534363128
23,indizii,5.436751534363128
24,strigni,5.436751534363128
25,malcontento,5.436751534363128
26,esercitarla,5.436751534363128
27,tardetta,5.436751534363128
28,facevi,5.436751534363128
29,pigliarebbe,5.436751534363128
30,meritata,5.436751534363128
31,avendoli,5.436751534363128
32,maniscalco,5.436751534363128
33,maniscalchi,5.436751534363128
34,rimediato,5.436751534363128
35,starsene,5.436751534363128
36,crudi,5.0312864262549635
37,conosci,5.0312864262549635
38,impararla,5.0312864262549635
39,xlvii,5.0312864262549635
40,indemoniato,5.0312864262549635
41,darebbono,5.0312864262549635
42,stimi,5.0312864262549635
43,manifestissimi,5.0312864262549635
44,calzolai,5.0312864262549635
45,1430,5.0312864262549635
46,corretto,5.0312864262549635
47,fratellanza,5.0312864262549635
48,tue,5.0312864262549635
49,stimasi,5.0312864262549635
50,lodo,5.0312864262549635
51,vergognò,5.0312864262549635
52,compromesso,5.0312864262549635
53,saprà,5.0312864262549635
54,conseguita,5.0312864262549635
55,santi,4.759811797959209
56,benigna,4.743604353803183
57,durerà,4.743604353803183
58,umile,4.743604353803183
59,ridendosi,4.743604353803183
60,accorge,4.743604353803183
61,dargliene,4.743604353803183
62,spiccati,4.743604353803183
63,disposte,4.743604353803183
64,credevano,4.743604353803183
65,spalle,4.602514636867957
66,statua,4.602514636867957
67,stimasse,4.520460802488973
68,pagarlo,4.520460802488973
69,affari,4.520460802488973
70,accommodati,4.520460802488973
71,fabbri,4.520460802488973
72,accostò,4.520460802488973
73,patrimonio,4.338139245695018
74,sodisfarlo,4.338139245695018
75,ricoperse,4.338139245695018
76,dispetto,4.338139245695018
77,parete,4.338139245695018
78,facciamo,4.338139245695018
79,giusti,4.338139245695018
80,modesta,4.338139245695018
