,term,score
0,niccolò,23.389149870277652
1,galasso,22.602304012444865
2,cotta,10.26554554146259
3,moccio,9.487208707606365
4,arezzo,7.700824382128429
5,beni,6.981682770615629
6,statua,6.903771955301935
7,bolognesi,6.714619985366585
8,insino,6.432440551496132
9,sepolcro,6.422744005076397
10,ferrarese,6.268332882738164
11,aretino,6.26054234126557
12,patria,5.9806789067737505
13,scultura,5.687376630977443
14,peste,5.5953884094957385
15,simone,5.525205769873199
16,scultore,5.518317821324047
17,ricusasse,5.436751534363128
18,gravamente,5.436751534363128
19,assassinavano,5.436751534363128
20,pestilenze,5.436751534363128
21,governano,5.436751534363128
22,intercedono,5.436751534363128
23,67,5.436751534363128
24,conscendere,5.436751534363128
25,terremuoto,5.436751534363128
26,1404,5.436751534363128
27,operai,5.391823020875854
28,cristofano,5.391823020875854
29,ragionevoli,5.328325624246694
30,ferrara,5.149101306867319
31,vescovado,5.037961604557698
32,dipinsono,5.0312864262549635
33,1417,5.0312864262549635
34,avara,5.0312864262549635
35,cosmè,5.0312864262549635
36,incommodità,5.0312864262549635
37,rovinando,5.0312864262549635
38,riposi,5.0312864262549635
39,convicini,5.0312864262549635
40,capital,5.0312864262549635
41,sotterrano,5.0312864262549635
42,migliore,4.957685701334601
43,pergentino,4.743604353803183
44,tema,4.743604353803183
45,doti,4.743604353803183
46,esercitavano,4.743604353803183
47,ghiaccio,4.743604353803183
48,sottosopra,4.743604353803183
49,venirsene,4.743604353803183
50,marmi,4.55950222642603
51,bruni,4.520460802488973
52,appetto,4.520460802488973
53,prossimi,4.520460802488973
54,ix,4.520460802488973
55,lasci,4.520460802488973
56,mammolo,4.520460802488973
57,pietre,4.5173954080303655
58,marmo,4.514777704916407
59,rilievo,4.456523447345102
60,tenute,4.3961461643974955
61,sedere,4.357309992683293
62,1383,4.338139245695018
63,bigia,4.338139245695018
64,serrano,4.338139245695018
65,laurentino,4.338139245695018
66,fraternità,4.338139245695018
67,gareggiando,4.338139245695018
68,vecchissimo,4.338139245695018
69,partì,4.319213602741904
70,donato,4.2090940483758486
71,dicono,4.2090940483758486
72,mantenuto,4.18398856586776
73,cotte,4.18398856586776
74,vangelista,4.18398856586776
75,saccone,4.18398856586776
76,fortificò,4.18398856586776
77,statue,4.173694894177046
78,facciata,4.128925571450126
79,fresco,4.128925571450126
80,sportelli,4.050457173243238
81,davitte,4.050457173243238
82,fermarsi,4.050457173243238
83,tabernacolo,4.038049701499524
84,bologna,4.005528659755964
85,concorrenza,3.9735279770630814
86,fiore,3.9735279770630814
87,ricevuta,3.932674137586854
88,infermi,3.932674137586854
89,modena,3.932674137586854
90,nimica,3.932674137586854
91,canonica,3.8273136219290276
92,pietra,3.8207820194939335
93,avanzasse,3.732003442124703
94,protettore,3.644992065135073
95,lana,3.644992065135073
96,cacciati,3.644992065135073
97,ammalò,3.644992065135073
98,elleno,3.5649493574615367
99,consumate,3.4908413853078146
100,zecca,3.4908413853078146
101,aretini,3.4908413853078146
102,scarpellini,3.4908413853078146
103,accomodate,3.4908413853078146
104,bonifazio,3.4908413853078146
105,virtuosamente,3.4908413853078146
106,duomo,3.4708991205012696
107,tondo,3.4463589353176407
108,posta,3.4221162142529513
109,agiato,3.4218485138208634
110,settignano,3.4218485138208634
111,divozione,3.4218485138208634
112,preghi,3.3573099926832923
113,manto,3.3573099926832923
114,nasce,3.3573099926832923
115,liberale,3.3573099926832923
116,dipigneva,3.3573099926832923
117,braccia,3.3511028373391314
118,partitosi,3.2966853708668573
119,quietamente,3.2966853708668573
120,andatosene,3.2966853708668573
121,verso,3.260178089185617
122,capella,3.260178089185617
123,allogate,3.239526957026909
124,richiamato,3.239526957026909
125,campanile,3.239526957026909
126,segretario,3.239526957026909
127,basso,3.238078416812447
128,disegnatore,3.185459735756633
129,biagio,3.185459735756633
130,pulitamente,3.185459735756633
131,fondamenti,3.185459735756633
132,veduto,3.1732078653061393
133,venne,3.1520436466450654
134,povertà,3.134166441369082
135,pel,3.134166441369082
136,continuando,3.134166441369082
137,contado,3.134166441369082
138,trovando,3.134166441369082
139,figurette,3.134166441369082
140,state,3.1311010469104748
141,maestri,3.1103754728393813
142,stesso,3.1103754728393813
143,ingiuria,3.0853762771996505
144,tedesco,3.0853762771996505
145,macigno,3.0853762771996505
146,stima,3.0853762771996505
147,iacopo,3.069557729576967
148,dai,3.069557729576967
149,dietro,3.0494570578699642
150,volevano,3.0388562615647574
151,aperto,3.0388562615647574
152,vivace,3.0388562615647574
153,gregorio,2.994404498993924
154,vecchie,2.994404498993924
155,trenta,2.994404498993924
156,riuscito,2.994404498993924
157,pur,2.9903394533868752
158,tonda,2.951844884575128
159,pio,2.951844884575128
160,piacquero,2.951844884575128
161,favorito,2.9110228900548725
162,muraglia,2.9110228900548725
163,avevano,2.8955349755977076
164,cioè,2.8771016653878596
165,facesse,2.8771016653878596
166,sagramento,2.8718021769015913
167,tornarsene,2.8718021769015913
168,moisè,2.8340618489187444
169,alcuna,2.805021792421466
170,buon,2.787400533057156
171,ad,2.7699331731196466
172,adamo,2.7626028849365993
