,term,score
0,niccolò,75.56494573474318
1,domenico,37.402321650042175
2,ferrante,28.353200212702667
3,don,26.37687698638497
4,arezzo,25.027679241917394
5,marciano,21.747006137452512
6,giuntalochi,21.747006137452512
7,baldo,21.69069622847509
8,prato,20.151846418230793
9,monte,19.18719874195215
10,soggi,16.73595426347104
11,sicilia,16.73595426347104
12,sovino,14.230813061409549
13,compagnia,14.025108962107332
14,prospettiva,12.314167626104123
15,quadro,11.810732209029299
16,antonio,11.58213990239083
17,facesse,11.508406661551438
18,martino,11.293488520075915
19,giovane,11.256770965118232
20,dipignere,11.256770965118232
21,servendosi,11.196010326374108
22,mutano,10.873503068726256
23,magini,10.873503068726256
24,rimanente,10.783646041751709
25,farla,10.656651248493388
26,quest,10.123484750596543
27,cardinale,9.78053426755685
28,prassedia,9.487208707606365
29,milano,9.292944900611015
30,fatiche,9.2086731887309
31,aversi,9.040921604977946
32,casamento,8.983213496981772
33,patria,8.971018360160626
34,giuliano,8.714619985366586
35,olio,8.677247801253174
36,pecori,8.676278491390036
37,valdichiana,8.676278491390036
38,studio,8.631304996163578
39,fornaci,8.36797713173552
40,sangallo,8.36797713173552
41,bacci,8.36797713173552
42,messo,8.31995298134245
43,ad,8.30979951935894
44,sangue,8.287808654809798
45,fresco,8.257851142900252
46,figliuolo,8.206348680751905
47,volentieri,8.011057319511927
48,comunità,7.865348275173708
49,neve,7.865348275173708
50,arrivato,7.810614570920736
51,ottaviano,7.810614570920736
52,passò,7.700824382128429
53,aiutarlo,7.654627243858055
54,regina,7.654627243858055
55,faceva,7.57389099040907
56,tela,7.556942406836548
57,adunque,7.412930383628073
58,pietro,7.19666149854697
59,cappella,7.056999218139895
60,gettata,6.981682770615629
61,pensando,6.969708675458262
62,gonzaga,6.843697027641727
63,fabbriche,6.843697027641727
64,allevato,6.843697027641727
65,giorgio,6.79632766431904
66,inanzi,6.655962385073959
67,aria,6.655962385073959
68,tirato,6.653627128484781
69,fatica,6.610247601779468
70,rosso,6.594219246596243
71,intenzione,6.593370741733715
72,imagine,6.479053914053818
73,amici,6.432440551496132
74,subito,6.422744005076397
75,poté,6.422744005076397
76,giornalmente,6.370919471513266
77,proprio,6.367696589071807
78,madonna,6.346415730612279
79,tempera,6.313641072563772
80,cantano,6.268332882738164
81,martiri,6.170752554399301
82,andava,6.106662458102919
83,altare,6.059112792327256
84,dagli,5.913046894690204
85,portò,5.913046894690204
86,benedetto,5.913046894690204
87,desiderava,5.903689769150256
88,popolo,5.866534335082308
89,andò,5.828279521844669
90,sarto,5.822045780109745
91,sentendo,5.822045780109745
92,tirare,5.822045780109745
93,andato,5.7756182865963215
94,morto,5.717673396522629
95,miracoli,5.668123697837489
96,allogato,5.668123697837489
97,condusse,5.6455993745119155
98,uomo,5.6455993745119155
99,dato,5.610043584842932
100,perugino,5.5953884094957385
101,singolare,5.525205769873199
102,lavorare,5.47089912050127
103,sé,5.436856361829635
104,quietatosi,5.436751534363128
105,fiocando,5.436751534363128
106,basterebbono,5.436751534363128
107,affaticarlo,5.436751534363128
108,insecchì,5.436751534363128
109,piacciute,5.436751534363128
110,feudo,5.436751534363128
111,ubaldo,5.436751534363128
112,attaccò,5.436751534363128
113,allogarla,5.436751534363128
114,ingratamente,5.436751534363128
115,beneficiò,5.436751534363128
116,giudicii,5.436751534363128
117,bagnate,5.436751534363128
118,ricciardi,5.436751534363128
119,benemerito,5.436751534363128
120,accasato,5.436751534363128
121,isperanza,5.436751534363128
122,martir,5.436751534363128
123,contentavano,5.436751534363128
124,papino,5.436751534363128
125,comperasse,5.436751534363128
126,stenti,5.436751534363128
127,carruccio,5.436751534363128
128,penar,5.436751534363128
129,cartepecore,5.436751534363128
130,ricuperò,5.436751534363128
131,promettersi,5.436751534363128
132,imparo,5.436751534363128
133,ricordando,5.436751534363128
134,titolare,5.436751534363128
135,potè,5.436751534363128
136,scamarra,5.436751534363128
137,principiar,5.436751534363128
138,potergli,5.436751534363128
139,bisognoso,5.436751534363128
140,arco,5.397496123910227
141,monaci,5.397496123910227
142,camaldoli,5.391823020875854
143,vicino,5.281352587368156
144,vecchiezza,5.207076380613824
145,capitolo,5.207076380613824
146,agl,5.169538402976461
147,santità,5.149101306867319
148,valore,5.092759552933927
149,cera,5.092759552933927
150,neri,5.037961604557698
151,giovinetto,5.037961604557698
152,disiderio,5.037961604557698
153,sostentarsi,5.0312864262549635
154,vicinità,5.0312864262549635
155,scrostata,5.0312864262549635
156,infermandosi,5.0312864262549635
157,salamanca,5.0312864262549635
158,preme,5.0312864262549635
159,eseguito,5.0312864262549635
160,contò,5.0312864262549635
161,cognobbe,5.0312864262549635
162,dispiacevole,5.0312864262549635
163,raccomandano,5.0312864262549635
164,saluta,5.0312864262549635
165,miserie,5.0312864262549635
166,alloggiando,5.0312864262549635
167,virginità,5.0312864262549635
168,conoscenti,5.0312864262549635
169,riportare,5.0312864262549635
170,insegnandoli,5.0312864262549635
171,pratesi,5.0312864262549635
172,crocere,5.0312864262549635
173,acquidotto,5.0312864262549635
174,preghiera,5.0312864262549635
175,allogassino,5.0312864262549635
176,soma,5.0312864262549635
177,avertimenti,5.0312864262549635
178,invero,4.984625110393376
179,giuseppo,4.932674137586854
180,volesse,4.932674137586854
181,cielo,4.923787035572801
182,man,4.890267133778425
183,donò,4.882038521618274
184,amicizia,4.832653296437531
185,teneva,4.832653296437531
186,modelli,4.832653296437531
187,signor,4.7918976653094525
188,utile,4.7918976653094525
189,anzi,4.7918976653094525
190,là,4.759811797959209
191,veduto,4.759811797959209
192,aggrandire,4.743604353803183
193,dimorandovi,4.743604353803183
194,tirarlo,4.743604353803183
195,affaticavano,4.743604353803183
196,conservato,4.743604353803183
197,sforzava,4.743604353803183
198,attendessero,4.743604353803183
199,soprastante,4.743604353803183
200,baciato,4.743604353803183
201,patisce,4.743604353803183
202,rendesse,4.743604353803183
203,ambasciatore,4.743604353803183
204,industrioso,4.743604353803183
205,abellire,4.743604353803183
206,diecimila,4.743604353803183
207,provedesse,4.743604353803183
208,conforta,4.743604353803183
209,vertigli,4.743604353803183
210,benigna,4.743604353803183
211,punti,4.743604353803183
212,allogata,4.737397198459022
213,infino,4.737397198459022
214,ritrarre,4.737397198459022
215,venne,4.728065469967598
216,entrando,4.691418162009624
217,pieve,4.646472450305508
218,memoria,4.60433659436545
219,iacopo,4.60433659436545
220,partito,4.602514636867957
221,migliori,4.574185586804946
222,polastra,4.520460802488973
223,travagliare,4.520460802488973
224,sassoli,4.520460802488973
225,lascio,4.520460802488973
226,prelato,4.520460802488973
227,abandonato,4.520460802488973
228,persuadere,4.520460802488973
229,stromenti,4.520460802488973
230,abruciò,4.520460802488973
231,pentito,4.520460802488973
232,assegnata,4.520460802488973
233,viceré,4.520460802488973
234,messolo,4.520460802488973
235,visitato,4.520460802488973
236,conferì,4.520460802488973
237,fanciullino,4.520460802488973
238,baldacchino,4.520460802488973
239,avide,4.520460802488973
240,credito,4.5173954080303655
241,scudi,4.5173954080303655
242,bonissimo,4.476156833624893
243,monache,4.476156833624893
244,meno,4.456523447345102
245,qualche,4.399378862433019
246,leone,4.3961461643974955
247,grandissimo,4.371209641383501
248,rena,4.338139245695018
249,pregando,4.338139245695018
250,orrevole,4.338139245695018
251,stimando,4.338139245695018
252,sincero,4.338139245695018
253,picciola,4.338139245695018
254,lappoli,4.338139245695018
255,appreso,4.338139245695018
256,calonaca,4.338139245695018
257,accrescere,4.338139245695018
258,richissimo,4.338139245695018
259,fabiano,4.338139245695018
260,sargiano,4.338139245695018
261,beneficio,4.338139245695018
262,amandolo,4.338139245695018
263,testata,4.338139245695018
264,vasari,4.319213602741904
265,partì,4.319213602741904
266,ginocchioni,4.319213602741904
267,angeli,4.315652498081789
268,cioè,4.315652498081789
269,niuno,4.281829336717598
270,dovesse,4.281829336717598
271,preso,4.2090940483758486
272,badia,4.2090940483758486
273,consiglio,4.2090940483758486
274,alcuna,4.207532688632199
275,ricordarsi,4.18398856586776
276,monastero,4.18398856586776
277,calice,4.18398856586776
278,spugna,4.18398856586776
279,duemila,4.18398856586776
280,amorevolezze,4.18398856586776
281,mostrandogli,4.18398856586776
282,ingannano,4.18398856586776
283,penò,4.18398856586776
284,ritornarsene,4.18398856586776
285,piacesse,4.18398856586776
286,pasquino,4.18398856586776
287,mantenuto,4.18398856586776
288,colosseo,4.18398856586776
289,tiburtina,4.18398856586776
290,tenendolo,4.18398856586776
291,misera,4.18398856586776
292,vedutolo,4.18398856586776
293,aspettavano,4.18398856586776
294,ponendo,4.18398856586776
295,fagiuoli,4.18398856586776
296,archi,4.173694894177046
297,aretino,4.173694894177046
298,colonne,4.173694894177046
299,donne,4.138911408753309
300,condurre,4.138911408753309
301,diede,4.103174340375952
302,ingegno,4.077642271372227
303,cosette,4.050457173243238
304,avutone,4.050457173243238
305,nominata,4.050457173243238
306,cintura,4.050457173243238
307,speranze,4.050457173243238
308,familiari,4.050457173243238
309,faticosa,4.050457173243238
310,1524,4.050457173243238
311,dispiacque,4.050457173243238
312,comperare,4.050457173243238
313,tabernacolo,4.038049701499524
314,sagrestia,4.038049701499524
315,trovò,4.005528659755964
316,creato,4.005528659755964
317,fiore,3.9735279770630814
318,collo,3.942031263126803
319,soli,3.932674137586854
320,lacrime,3.932674137586854
321,fortezze,3.932674137586854
322,praticò,3.932674137586854
323,pontificato,3.932674137586854
324,scolari,3.932674137586854
325,reggimento,3.932674137586854
326,stagio,3.932674137586854
327,umani,3.932674137586854
328,ufficii,3.932674137586854
329,governavano,3.932674137586854
330,serba,3.932674137586854
331,deliberando,3.932674137586854
332,edificazione,3.932674137586854
333,modegli,3.932674137586854
334,lupi,3.932674137586854
335,tratteneva,3.932674137586854
336,finirla,3.932674137586854
337,ritrovare,3.932674137586854
338,adoperandosi,3.932674137586854
339,davano,3.932674137586854
340,aiutasse,3.932674137586854
341,favellare,3.932674137586854
342,carcere,3.932674137586854
343,raccomandò,3.932674137586854
344,seco,3.9110228900548725
345,prese,3.9110228900548725
346,conosciuto,3.9110228900548725
347,vergine,3.9110228900548725
348,potesse,3.8804879457932957
349,cittadini,3.8504121910642146
350,dagl,3.8504121910642146
351,vivere,3.8504121910642146
352,interesse,3.8273136219290276
353,quarti,3.8273136219290276
354,agosto,3.8273136219290276
355,circoncisione,3.8273136219290276
356,mancare,3.8273136219290276
357,sibilla,3.8273136219290276
358,rosoni,3.8273136219290276
359,amorevolissimo,3.8273136219290276
360,fraternita,3.8273136219290276
361,anton,3.8273136219290276
362,piaciuto,3.8273136219290276
363,posto,3.8207820194939335
364,avea,3.7915844206516285
365,angelo,3.762806945747429
366,mostrare,3.734437675763516
367,alcun,3.734437675763516
368,trattenne,3.732003442124703
369,pregandolo,3.732003442124703
370,capitando,3.732003442124703
371,alludendo,3.732003442124703
372,passatempo,3.732003442124703
373,vestite,3.732003442124703
374,avanzare,3.732003442124703
375,banda,3.7064651918140363
376,tornato,3.6516672434378075
377,bestie,3.644992065135073
378,insegnava,3.644992065135073
379,fortificare,3.644992065135073
380,trattenendo,3.644992065135073
381,stracco,3.644992065135073
382,studioso,3.644992065135073
383,sforzò,3.644992065135073
384,scusa,3.644992065135073
385,1512,3.644992065135073
386,portar,3.644992065135073
387,scriviamo,3.644992065135073
388,attese,3.624821202773526
389,innanzi,3.624821202773526
390,ognuno,3.624821202773526
391,giorni,3.624821202773526
392,gesù,3.572186586138779
393,alto,3.572186586138779
394,spinto,3.5649493574615367
395,farebbono,3.5649493574615367
396,passasse,3.5649493574615367
397,arme,3.5463797764669636
398,cominciò,3.520901724912104
399,arebbe,3.4957441604983837
400,bonifazio,3.4908413853078146
401,podere,3.4908413853078146
402,piace,3.4908413853078146
403,onor,3.4908413853078146
404,beni,3.4908413853078146
405,minima,3.4908413853078146
406,tentare,3.4908413853078146
407,stampa,3.4908413853078146
408,partendosi,3.4908413853078146
409,manda,3.4908413853078146
410,avanzato,3.4908413853078146
411,tondo,3.4463589353176407
412,amore,3.4463589353176407
413,drappo,3.4218485138208634
414,familiare,3.4218485138208634
415,tardi,3.4218485138208634
416,zoccoli,3.4218485138208634
417,adora,3.4218485138208634
418,figliuol,3.4218485138208634
419,umiltà,3.4218485138208634
420,potea,3.4218485138208634
421,nimico,3.4218485138208634
422,cintola,3.4218485138208634
423,portogallo,3.4218485138208634
424,cattivo,3.4218485138208634
425,affezione,3.4218485138208634
426,tomaso,3.4218485138208634
427,eziandio,3.4218485138208634
428,disegnasse,3.4218485138208634
429,impedito,3.4218485138208634
430,compagni,3.4218485138208634
431,amico,3.39816383215952
432,detti,3.374494916865514
433,ricerco,3.3573099926832923
434,tener,3.3573099926832923
435,pregò,3.3573099926832923
436,disiderando,3.3573099926832923
437,girano,3.3573099926832923
438,ottanta,3.3573099926832923
439,dimestichezza,3.3573099926832923
440,misero,3.3573099926832923
441,dura,3.3573099926832923
442,dovea,3.3573099926832923
443,bontà,3.3511028373391314
444,volle,3.305123800889734
445,ritratti,3.305123800889734
446,servitore,3.2966853708668573
447,servirlo,3.2966853708668573
448,quietamente,3.2966853708668573
449,conduceva,3.2966853708668573
450,capanna,3.2966853708668573
451,conducesse,3.2966853708668573
452,vedersi,3.2966853708668573
453,partitosi,3.2966853708668573
454,messosi,3.2966853708668573
455,lisabetta,3.2966853708668573
456,risolvette,3.2966853708668573
457,mandasse,3.2966853708668573
458,via,3.260178089185617
459,pozzo,3.239526957026909
460,riusciva,3.239526957026909
461,glielo,3.239526957026909
462,mancato,3.239526957026909
463,entrate,3.239526957026909
464,operò,3.239526957026909
465,aventura,3.239526957026909
466,lontana,3.239526957026909
467,suonano,3.239526957026909
468,dette,3.238078416812447
469,ritrasse,3.216220275748066
470,fastidio,3.185459735756633
471,eterna,3.185459735756633
472,fortificazioni,3.185459735756633
473,pensava,3.185459735756633
474,servirsi,3.185459735756633
475,frontespizio,3.185459735756633
476,desiderando,3.185459735756633
477,pulitamente,3.185459735756633
478,ora,3.1732078653061393
479,santi,3.1732078653061393
480,vederlo,3.134166441369082
481,levò,3.134166441369082
482,girando,3.134166441369082
483,trovando,3.134166441369082
484,portano,3.134166441369082
485,perduto,3.134166441369082
486,miseria,3.134166441369082
487,reverenza,3.134166441369082
488,governava,3.134166441369082
489,dio,3.1311010469104748
490,ungheria,3.0853762771996505
491,cortesie,3.0853762771996505
492,acconciò,3.0853762771996505
493,puntormo,3.0853762771996505
494,assunta,3.0853762771996505
495,quadretto,3.0853762771996505
496,dosso,3.0853762771996505
497,doppo,3.0853762771996505
498,sostengono,3.0853762771996505
499,degli,3.069557729576967
500,persona,3.0494570578699642
501,teste,3.0494570578699642
502,andrea,3.0494570578699642
503,mani,3.0494570578699642
504,dietro,3.0494570578699642
505,muraglie,3.0388562615647574
506,benefizio,3.0388562615647574
507,murate,3.0388562615647574
508,piacendo,3.0388562615647574
509,nuovi,3.0388562615647574
510,scoperta,3.0388562615647574
511,ultimi,2.994404498993924
512,servirsene,2.994404498993924
513,pastori,2.994404498993924
514,dov,2.994404498993924
