,term,score
0,tribolo,353.58603066898627
1,laberinto,80.6412740146541
2,acqua,74.30943491104257
3,duca,72.85349402305836
4,mugnone,70.43800996756949
5,braccia,60.31985107210436
6,giardino,56.72575258224882
7,fonte,53.159186260812845
8,tazza,52.36262077961722
9,acque,45.34165444101929
10,marmo,45.14777704916407
11,fonti,41.89009662369378
12,pilo,40.50457173243238
13,fiume,39.5008673018489
14,tasso,39.214442932076906
15,vaso,36.3700246617223
16,eccellenza,35.463797764669636
17,statua,34.51885977650968
18,viale,32.62050920617877
19,piede,32.47029373032641
20,putti,31.983859038853147
21,castello,31.504954130419307
22,fiumi,31.41757246777033
23,acquidotto,30.18771855752978
24,monte,29.518767295311005
25,vivaio,29.28791996107432
26,otto,28.87809143298161
27,signor,28.75138599185672
28,medici,28.408224807175316
29,prato,27.70878882506734
30,falterona,27.18375767181564
31,arno,26.64162812123347
32,michelagnolo,25.188315244914392
33,casciano,25.15643213127482
34,vivai,25.15643213127482
35,cima,24.558311999348266
36,villa,23.68698599229511
37,alto,23.219212809902064
38,nanni,22.963881731574165
39,pietra,22.9246921169636
40,quattro,22.427545900401565
41,scale,22.380784168124464
42,saglie,22.29821815029643
43,pace,22.17875709494927
44,asinaio,21.747006137452512
45,girandola,21.747006137452512
46,pretaia,21.747006137452512
47,giardin,21.747006137452512
48,facce,21.746939833968888
49,bigia,21.69069622847509
50,arme,21.27827865880178
51,aver,20.93237617370813
52,marmi,20.517760018917137
53,sulla,20.19024850749762
54,castellina,20.125145705019854
55,bologna,20.027643298779818
56,nozze,19.83843294243121
57,piano,19.607894967074817
58,pierfrancesco,19.437161742161454
59,logge,19.338220194556197
60,fuoco,19.26823201522919
61,avuto,19.16759066123781
62,ricevere,19.112758414539798
63,secreto,18.97441741521273
64,principale,18.954974144247025
65,modello,18.940923217691317
66,avevano,18.8209773413851
67,facesse,18.701160825021088
68,basamento,18.649139684863428
69,certi,18.582438538698547
70,piazza,18.431065605365223
71,andrea,18.296742347219784
72,voleva,18.258336217189036
73,grotta,18.224960325675365
74,faceva,18.17733837698177
75,sederi,18.081843209955892
76,ornamenti,18.059110819665626
77,figura,18.059110819665626
78,sapienza,17.824746787307685
79,cominciò,17.60450862456052
80,finita,17.597515449732075
81,riccio,17.454206926539072
82,ora,17.452643259183766
83,bocca,17.26435948155399
84,ornamento,17.262609992327157
85,cioè,17.262609992327157
86,legname,16.91428653753136
87,quest,16.87247458432757
88,angolo,16.786549963416462
89,condurre,16.555645635013235
90,volle,16.52561900444867
91,figurata,16.483426854334287
92,clemente,16.41889016813883
93,capricorni,16.310254603089383
94,primo,15.525398279907767
95,sul,15.449312362525017
96,pieno,15.401648764256858
97,frontespizii,15.30925448771611
98,lingue,15.30925448771611
99,quercia,15.30925448771611
100,leggi,15.30925448771611
101,bartolini,15.30925448771611
102,apparato,15.113884813673096
103,unghero,15.09385927876489
104,zampilli,15.09385927876489
105,diede,15.044972581378492
106,coperta,14.972022494969618
107,miglio,14.928013768498811
108,stalle,14.928013768498811
109,benvenuto,14.928013768498811
110,banda,14.825860767256145
111,loggia,14.73182916931547
112,favore,14.64611556485482
113,andavano,14.64611556485482
114,statue,14.607932129619662
115,vanno,14.607932129619662
116,dette,14.571352875656011
117,tempio,14.571352875656011
118,condotto,14.385508326939298
119,acciò,14.288746344555117
120,bronzo,14.248879068906811
121,scienze,13.963365541231259
122,fontane,13.963365541231259
123,doveva,13.939417350916523
124,cura,13.907347919720785
125,iacopo,13.813009783096351
126,ordinò,13.80754391060387
127,assedio,13.643506666304592
128,sé,13.592140904574087
129,muro,13.581707810276535
130,dinanzi,13.497979667462056
131,altezza,13.479557552189636
132,pur,13.456527540240938
133,monti,13.42923997073317
134,cosimo,13.311924770147918
135,nicchia,13.307254256969562
136,leone,13.188438493192486
137,certe,13.169824310116002
138,grandissimo,13.113628924150506
139,andò,13.113628924150506
140,verso,13.040712356742468
141,stata,13.029907390189685
142,ottaviano,13.01769095153456
143,bottega,13.01769095153456
144,traforati,13.014417737085054
145,canna,13.014417737085054
146,fussero,12.972628171349127
147,maschere,12.958107828107636
148,io,12.946957494245368
149,grandi,12.946957494245368
150,varie,12.876074916422777
151,lorenzo,12.864765142175916
152,pensava,12.741838943026533
153,cera,12.731898882334818
154,sangallo,12.55196569760328
155,festoni,12.536665765476329
156,state,12.524404187641899
157,bellissimo,12.46469927903841
158,ai,12.386776714350379
159,carrara,12.341505108798602
160,iustizia,12.341505108798602
161,nobiltà,12.341505108798602
162,arebbe,12.235104561744343
163,ciascuna,12.213324916205838
164,carico,12.205096304045684
165,commessione,12.15542504625903
166,sito,12.15542504625903
167,salvatico,12.151371519729715
168,sagrestia,12.114149104498573
169,modelli,12.081633241093828
170,tratto,11.977617995975695
171,liberalità,11.977617995975695
172,giorgio,11.89357341255832
173,rilievo,11.884062526253606
174,ponente,11.798022412760561
175,scaglioni,11.798022412760561
176,dar,11.733068670164617
177,fuori,11.656559043689338
178,potesse,11.641463837379888
179,notte,11.506286592169893
180,partito,11.506286592169893
181,sarebbono,11.487208707606365
182,cortile,11.398755566065075
183,sei,11.374753261954886
184,poggio,11.336247395674977
185,giunta,11.196010326374108
186,arivato,11.196010326374108
187,armi,11.190776818991477
188,adunque,11.119395575442109
189,dir,11.089378547474634
190,murare,11.050411539746397
191,raffaello,11.036635642648093
192,scultore,11.036635642648093
193,perfezzione,10.958853664186663
194,voglia,10.955001730313423
195,verno,10.93497619540522
196,riuscì,10.893274981708231
197,dissegnava,10.873503068726256
198,cipressi,10.873503068726256
199,caduta,10.873503068726256
200,apportò,10.873503068726256
201,labbro,10.873503068726256
202,ciappino,10.873503068726256
203,spremendosi,10.873503068726256
204,aranci,10.873503068726256
205,mi,10.794992247820455
206,attitudini,10.794992247820455
207,fuochi,10.69484807238461
208,pitti,10.69484807238461
209,lavoro,10.673099702544874
210,copia,10.656651248493388
211,prestezza,10.656651248493388
212,male,10.63913932940089
213,battista,10.612827648453012
214,stava,10.612827648453012
215,principio,10.534481311471616
216,sansovino,10.533564613826373
217,bell,10.522735120939622
218,machina,10.472524155923445
219,capitelli,10.472524155923445
220,larghezza,10.472524155923445
221,ancor,10.466188086854064
222,colonne,10.434237235442616
223,intanto,10.434237235442616
224,dire,10.331568553358851
225,viene,10.298202613734638
226,negozii,10.26554554146259
227,esce,10.26554554146259
228,impedito,10.26554554146259
229,finire,10.261806355086769
230,amico,10.194491496478559
231,valore,10.185519105867854
232,lati,10.185519105867854
233,andava,10.177770763504865
234,quadro,10.123484750596543
235,alessandro,10.09512425374881
236,esculapio,10.062572852509927
237,vettorie,10.062572852509927
238,leggera,10.062572852509927
239,danni,10.062572852509927
240,ricevesse,10.062572852509927
241,condurvi,10.062572852509927
242,dilettazione,10.062572852509927
243,abeti,10.062572852509927
244,ibero,10.062572852509927
