,term,score
0,nicola,111.90776818991478
1,marmo,40.632999344247665
2,pisa,36.94250287831237
3,duomo,27.767192964010157
4,domini,24.435889697154703
5,pergamo,23.501169948783048
6,pisani,22.29821815029643
7,sculpsit,21.747006137452512
8,campanile,19.437161742161454
9,fabriche,18.94958879383609
10,toscana,18.069581632121462
11,sub,17.352556982780072
12,scultura,17.06212989293233
13,napoli,16.98052423752482
14,fuccio,16.310254603089383
15,orvieto,15.426881385998252
16,perugia,15.113884813673096
17,ecclesiam,15.09385927876489
18,arnolfo,14.579968260540292
19,architettura,14.185519105867854
20,predicatori,13.687394055283454
21,marmi,13.67850667927809
22,tedeschi,12.958107828107636
23,scultore,12.876074916422777
24,fabrica,12.845488010152794
25,fondata,12.55196569760328
26,frati,12.524404187641899
27,ubertini,12.151371519729715
28,ornamenti,12.039407213110419
29,convento,11.920583931189244
30,padre,11.656559043689338
31,jacopo,11.481940865787083
32,architetto,11.398755566065075
33,spesa,11.089378547474634
34,federigo,11.050411539746397
35,anime,10.93497619540522
36,mossi,10.93497619540522
37,nicoli,10.873503068726256
38,guelfi,10.873503068726256
39,1320,10.873503068726256
40,joannes,10.873503068726256
41,tadi,10.873503068726256
42,burgundio,10.873503068726256
43,fabricar,10.873503068726256
44,tumba,10.873503068726256
45,operario,10.873503068726256
46,opus,10.69484807238461
47,modello,10.522735120939622
48,operaio,10.472524155923445
49,hoc,10.472524155923445
50,archi,10.434237235442616
51,versi,10.298202613734638
52,cintola,10.26554554146259
53,stata,10.134372414591976
54,quest,10.123484750596543
55,prato,10.075923209115397
56,bis,10.062572852509927
57,pisanus,10.062572852509927
58,quem,10.062572852509927
59,nunc,10.062572852509927
60,tonde,9.865348275173709
61,camposanto,9.718580871080727
62,facciata,9.634159666716961
63,arezzo,9.626030477660537
64,sagliono,9.487208707606365
65,quei,9.474794396918044
66,scultori,9.474794396918044
67,posa,9.402499324107247
68,pisano,9.402499324107247
69,tornando,9.33609418940879
70,parole,9.33609418940879
71,puntelli,9.040921604977946
72,manus,9.040921604977946
73,base,8.855534653725385
74,lavoravano,8.855534653725385
75,vescovo,8.739360401245959
76,vecchia,8.714619985366586
77,domenico,8.631304996163578
78,intagliate,8.615406530704774
79,solo,8.522211081664436
80,primo,8.468399061767872
81,vaso,8.393082614243607
82,piazza,8.377757093347828
83,giuste,8.36797713173552
84,discordie,8.36797713173552
85,perugini,8.36797713173552
86,particolarmente,8.362201599171469
87,colonne,8.347389788354093
88,nuova,8.262809502224336
89,migliore,8.262809502224336
90,diede,8.206348680751905
91,cima,8.186103999782755
92,bronzo,8.142216610803892
93,fuit,8.100914346486476
94,enrico,8.100914346486476
95,fondò,8.100914346486476
96,onorio,8.100914346486476
97,sepolture,8.087734531313782
98,tenuta,8.040550689370164
99,miglior,8.040550689370164
100,avuto,7.986496108849089
101,imperadore,7.90017346036978
102,architetti,7.90017346036978
103,dagli,7.884062526253606
104,sepoltura,7.8801091166126636
105,restaurò,7.865348275173708
106,siena,7.822045780109745
107,acqua,7.822045780109745
108,universale,7.723651960300979
109,andato,7.700824382128429
110,rotto,7.654627243858055
111,rovinare,7.654627243858055
112,pili,7.654627243858055
113,lati,7.639139329400891
114,forte,7.639139329400891
115,altare,7.57389099040907
116,vescovado,7.556942406836548
117,lode,7.524629508194012
118,pistoia,7.4769376655900635
119,scalee,7.464006884249406
120,edifizio,7.3990112063802815
121,finita,7.332298104055032
122,giudicio,7.289984130270146
123,fuori,7.285349402305837
124,seppe,7.248979944656297
125,mura,7.248979944656297
126,fonte,7.248979944656297
127,su,7.192754163469649
128,morto,7.147091745653286
129,torri,7.1298987149230735
130,dovette,7.1298987149230735
131,viterbo,7.1298987149230735
132,romagna,7.1298987149230735
133,quarto,7.037127243014436
134,dato,7.012554481053666
135,pieve,6.969708675458262
136,principale,6.892717870635281
137,basa,6.843697027641727
138,ingegnosa,6.843697027641727
139,questi,6.838623900626587
140,sanesi,6.714619985366585
141,commesse,6.714619985366585
142,feciono,6.71423525043734
143,occasione,6.653627128484781
144,leone,6.594219246596243
145,magnifiche,6.593370741733715
146,pozzo,6.479053914053818
147,accomodato,6.479053914053818
148,piccolo,6.478820404112856
149,dette,6.476156833624894
150,mise,6.432440551496132
151,lato,6.422744005076397
152,inferno,6.370919471513266
153,fiorentini,6.367696589071807
154,carlo,6.367696589071807
155,qui,6.367696589071807
156,consiglio,6.313641072563772
157,badia,6.313641072563772
158,faenza,6.268332882738164
159,importanza,6.26054234126557
160,dai,6.139115459153934
161,mandato,6.106662458102919
162,quelli,6.0989141157399285
163,intagliò,6.077712523129515
164,palazzi,6.077712523129515
165,essendosi,6.057074552249286
166,pose,6.057074552249286
167,gregorio,5.988808997987848
168,capricciosa,5.988808997987848
169,cura,5.960291965594622
170,rilievo,5.942031263126803
171,meno,5.942031263126803
172,magnifico,5.913046894690204
173,chiamato,5.903753459062201
174,reggono,5.903689769150256
175,avevano,5.791069951195415
176,tornarsene,5.743604353803183
177,passando,5.743604353803183
178,facessero,5.743604353803183
179,mediante,5.7311730292409
180,posto,5.7311730292409
181,forma,5.7311730292409
182,tante,5.687376630977443
183,italia,5.687376630977443
184,musaico,5.668123697837489
185,cappella,5.6455993745119155
186,facevano,5.601656513645274
187,battesimo,5.5953884094957385
188,perugino,5.5953884094957385
189,piombo,5.5953884094957385
190,buon,5.574801066114312
191,dall,5.574801066114312
192,esser,5.539866346239293
193,paradiso,5.525205769873199
194,piena,5.477500865156712
195,corpi,5.457402666521837
196,architettore,5.457402666521837
197,edifizii,5.457402666521837
198,ritornato,5.457402666521837
199,doctum,5.436751534363128
200,vocato,5.436751534363128
201,ingannata,5.436751534363128
202,super,5.436751534363128
203,plenis,5.436751534363128
204,sacrilego,5.436751534363128
205,plena,5.436751534363128
206,cursis,5.436751534363128
207,cavaglieri,5.436751534363128
208,cxvi,5.436751534363128
209,superius,5.436751534363128
210,puras,5.436751534363128
211,1301,5.436751534363128
212,supradictam,5.436751534363128
213,uccellagioni,5.436751534363128
