,term,score
0,parri,92.04774844909072
1,fresco,24.773553428700758
2,catenaia,21.747006137452512
3,arezzo,21.17726705085318
4,dipinse,19.268319333433922
5,santi,15.866039326530696
6,fraternità,13.014417737085054
7,alberti,12.958107828107636
8,lato,12.845488010152794
9,popolo,11.733068670164617
10,angeli,11.508406661551438
11,spinello,11.481940865787083
12,capella,11.41062331214966
13,compagnia,11.220087169685865
14,arco,10.794992247820455
15,manto,10.071929978049877
16,predicando,10.062572852509927
17,nunziata,10.013821649389909
18,pergentino,9.487208707606365
19,svelte,9.487208707606365
20,specchio,9.256128831598952
21,beato,9.116568784694273
22,lembo,9.040921604977946
23,capelletta,9.040921604977946
24,vesta,8.676278491390036
25,laurentino,8.676278491390036
26,calice,8.36797713173552
27,spinelli,8.36797713173552
28,monasterio,8.347389788354093
29,versa,7.865348275173708
30,dedicata,7.654627243858055
31,lingue,7.654627243858055
32,vedeva,7.4769376655900635
33,strumenti,7.464006884249406
34,mette,7.3990112063802815
35,lunghe,7.289984130270146
36,niccolò,7.19666149854697
37,ridotto,7.1298987149230735
38,uomo,7.056999218139895
39,croce,7.012554481053666
40,scuri,6.981682770615629
41,disgrazia,6.981682770615629
42,dall,6.96850133264289
43,volando,6.843697027641727
44,chiari,6.714619985366585
45,braccia,6.702205674678263
46,entrato,6.370919471513266
47,posa,6.268332882738164
48,aretino,6.26054234126557
49,sessanta,6.077712523129515
50,crucifisso,6.008292989633945
51,bosco,5.988808997987848
52,rovinata,5.988808997987848
53,vergine,5.866534335082308
54,padre,5.828279521844669
55,fuori,5.828279521844669
56,stata,5.791069951195415
57,cioè,5.754203330775719
58,studi,5.5953884094957385
59,indi,5.5953884094957385
60,bernardino,5.5953884094957385
61,carità,5.457402666521837
62,corpi,5.457402666521837
63,ntendere,5.436751534363128
64,ricamava,5.436751534363128
65,malediceva,5.436751534363128
66,sporto,5.436751534363128
67,abruciavano,5.436751534363128
68,incoronati,5.436751534363128
69,molliccio,5.436751534363128
70,testi,5.436751534363128
71,sopragiunsono,5.436751534363128
72,arrogantemente,5.436751534363128
73,viviani,5.436751534363128
74,dispregiate,5.436751534363128
75,pulzelle,5.436751534363128
76,spaventaticce,5.436751534363128
77,pecorelle,5.436751534363128
78,predicendo,5.436751534363128
79,riverberavano,5.436751534363128
80,velarle,5.436751534363128
81,architettano,5.436751534363128
82,alterato,5.436751534363128
83,affettuosamente,5.436751534363128
84,tinelletta,5.436751534363128
85,mettendogli,5.436751534363128
86,accordino,5.436751534363128
87,rinettavano,5.436751534363128
88,portargli,5.436751534363128
89,pendenti,5.436751534363128
90,rusticali,5.436751534363128
91,tommasolo,5.436751534363128
92,tommasuolo,5.436751534363128
93,mitrie,5.436751534363128
94,disfar,5.436751534363128
95,faccendolo,5.436751534363128
96,saccenti,5.436751534363128
97,florinaldi,5.436751534363128
98,dolosa,5.436751534363128
99,disiderar,5.436751534363128
100,deliberar,5.436751534363128
101,abbiate,5.436751534363128
102,taciute,5.436751534363128
103,attentissimi,5.436751534363128
104,disavventure,5.436751534363128
105,carcascion,5.436751534363128
106,abreviò,5.436751534363128
107,insaccati,5.436751534363128
108,reverentemente,5.436751534363128
109,brutte,5.436751534363128
110,compiutamente,5.436751534363128
111,nazarette,5.436751534363128
112,muriello,5.436751534363128
113,cristofano,5.391823020875854
114,festa,5.391823020875854
115,dice,5.358279879208169
116,gesù,5.358279879208169
117,famiglia,5.281352587368156
118,rovinato,5.2667823069131865
119,misericordia,5.207076380613824
120,duomo,5.206348680751905
121,troppo,5.206348680751905
122,piedi,5.206348680751905
123,agostino,5.169538402976461
124,braccio,5.0972457482392795
125,perfettamente,5.092759552933927
126,detti,5.061742375298271
127,vescovado,5.037961604557698
128,amaramente,5.0312864262549635
129,castità,5.0312864262549635
130,mirava,5.0312864262549635
131,legione,5.0312864262549635
132,ragunavano,5.0312864262549635
133,acquerelli,5.0312864262549635
134,camelli,5.0312864262549635
135,minacce,5.0312864262549635
136,piativa,5.0312864262549635
137,puraccioli,5.0312864262549635
138,indegnamente,5.0312864262549635
139,possiede,5.0312864262549635
140,contiene,5.0312864262549635
141,assaltato,5.0312864262549635
142,verdaccio,5.0312864262549635
143,giraffe,5.0312864262549635
144,guastando,5.0312864262549635
145,1422,5.0312864262549635
146,apparecchiato,5.0312864262549635
147,cariaggi,5.0312864262549635
148,grossetto,5.0312864262549635
149,concorre,5.0312864262549635
150,essercitando,5.0312864262549635
151,lvi,5.0312864262549635
152,mattea,5.0312864262549635
153,cascavano,5.0312864262549635
154,rossetti,5.0312864262549635
155,aria,4.991971788805469
156,mare,4.984625110393376
157,benissimo,4.957685701334601
158,portare,4.932674137586854
159,cielo,4.923787035572801
160,insino,4.824330413622099
161,ritrasse,4.824330413622099
162,povero,4.78445819327941
163,destra,4.78445819327941
164,negli,4.78445819327941
165,offerendo,4.743604353803183
166,fiate,4.743604353803183
167,capire,4.743604353803183
168,usanze,4.743604353803183
169,cappelli,4.743604353803183
170,tagliar,4.743604353803183
171,governarono,4.743604353803183
172,senta,4.743604353803183
173,dispensa,4.743604353803183
