,term,score
0,mino,40.25029141003971
1,sisto,22.97441741521273
2,chimenti,20.125145705019854
3,paulo,18.912261879870393
4,baccio,18.765672648038496
5,paolo,11.64409156021949
6,berto,10.873503068726256
7,pontefice,10.347278521883272
8,ungheria,9.256128831598952
9,romano,9.034790816060731
10,ponte,8.277822817506618
11,camicia,8.100914346486476
12,re,7.7246561812625085
13,figura,7.524629508194012
14,pietro,7.19666149854697
15,valente,6.535964989024939
16,fabrica,6.422744005076397
17,convento,5.960291965594622
18,pio,5.903689769150256
19,ducati,5.743604353803183
20,coetanei,5.436751534363128
21,sbuffando,5.436751534363128
22,assicurò,5.436751534363128
23,pintelli,5.436751534363128
24,linaiuolo,5.436751534363128
25,iancristoforo,5.436751534363128
26,giucare,5.436751534363128
27,parliamo,5.436751534363128
28,giuocò,5.436751534363128
29,infestollo,5.436751534363128
30,stracchezza,5.436751534363128
31,impedivano,5.436751534363128
32,todi,5.436751534363128
33,chiesette,5.436751534363128
34,pietropaulo,5.436751534363128
35,regno,5.391823020875854
36,sant,5.037961604557698
37,cassino,5.0312864262549635
38,stimolò,5.0312864262549635
39,audacia,5.0312864262549635
40,molina,5.0312864262549635
41,aggiugnendovi,5.0312864262549635
42,troncando,5.0312864262549635
43,fiorire,5.0312864262549635
44,1475,5.0312864262549635
45,prosuntuoso,5.0312864262549635
46,arrogante,5.0312864262549635
47,cappellette,5.0312864262549635
48,1471,5.0312864262549635
49,inanzi,4.991971788805469
50,pagolo,4.743604353803183
51,puntone,4.743604353803183
52,prosunzione,4.743604353803183
53,spagnuola,4.743604353803183
54,apartamenti,4.743604353803183
55,fastidi,4.743604353803183
56,accettasse,4.743604353803183
57,dedicate,4.743604353803183
58,1480,4.743604353803183
59,giudicioso,4.743604353803183
60,scultor,4.743604353803183
61,gagliardissimo,4.743604353803183
62,quarto,4.691418162009624
63,statua,4.602514636867957
64,spedale,4.55950222642603
65,1470,4.520460802488973
66,risentirsi,4.520460802488973
67,essercizii,4.520460802488973
68,arsa,4.520460802488973
69,umilissima,4.520460802488973
70,pentito,4.520460802488973
71,danubio,4.520460802488973
72,minacciava,4.520460802488973
73,lavorati,4.5173954080303655
74,entrata,4.5173954080303655
75,marmo,4.514777704916407
76,scale,4.476156833624893
77,invito,4.338139245695018
78,sprone,4.338139245695018
79,vincula,4.338139245695018
80,napoli,4.245131059381205
81,cappella,4.234199530883936
82,rovere,4.18398856586776
83,fortissimo,4.18398856586776
84,imperadori,4.18398856586776
85,clemente,4.1047225420347075
86,infermità,4.050457173243238
87,riconoscono,4.050457173243238
88,papale,4.050457173243238
89,alzava,4.050457173243238
90,giubileo,4.050457173243238
91,filareto,4.050457173243238
92,scorto,3.932674137586854
93,fortezze,3.932674137586854
94,cellini,3.932674137586854
95,vanto,3.8273136219290276
96,lunghissima,3.8273136219290276
97,nascita,3.8273136219290276
98,ostia,3.8273136219290276
99,angelo,3.762806945747429
100,parole,3.734437675763516
101,differenti,3.732003442124703
102,fabricata,3.732003442124703
103,credendo,3.732003442124703
104,superbia,3.732003442124703
105,scultore,3.6788785475493646
106,apostoli,3.6788785475493646
107,voleva,3.6516672434378075
108,accettò,3.644992065135073
109,modesto,3.644992065135073
110,trastevere,3.644992065135073
111,abitò,3.644992065135073
112,veggiono,3.598330749273485
113,mandò,3.572186586138779
114,medesimi,3.572186586138779
115,fondato,3.5649493574615367
116,montorio,3.5649493574615367
117,sforzato,3.5649493574615367
