,term,score
0,paulo,47.28065469967598
1,prospettiva,41.047225420347075
2,animali,25.55559847668029
3,uccelli,23.952939596746045
4,linee,22.963881731574165
5,verde,16.483426854334287
6,colore,15.80034692073956
7,abbate,15.194281307823786
8,formaggio,15.09385927876489
9,cacio,15.09385927876489
10,fuggendo,14.579968260540292
11,noè,13.687394055283454
12,paura,13.643506666304592
13,opra,13.18674148346743
14,cavallo,12.68687420970734
15,diminuendo,12.55196569760328
16,difficile,11.961145483198525
17,difficili,11.336247395674977
18,uccello,11.196010326374108
19,brucioli,10.873503068726256
20,creazion,10.873503068726256
21,donato,10.522735120939622
22,eh,10.062572852509927
23,serrata,10.062572852509927
24,iscorto,9.890056112600572
25,povero,9.56891638655882
26,punte,9.487208707606365
27,scortassino,9.487208707606365
28,pergola,9.487208707606365
29,degli,9.2086731887309
30,camello,9.040921604977946
31,correre,9.040921604977946
32,sagrifizio,9.040921604977946
33,chiostro,9.034790816060731
34,capitano,8.733068670164617
35,animale,8.36797713173552
36,grandemente,8.287808654809798
37,canto,8.262809502224336
38,fa,8.155284542744454
39,terribili,8.100914346486476
40,prospettive,8.087734531313782
41,tratti,7.865348275173708
42,immagine,7.865348275173708
43,acqua,7.822045780109745
44,piena,7.303334486875615
45,muove,7.289984130270146
46,furore,7.289984130270146
47,affaticato,7.289984130270146
48,monaco,7.289984130270146
49,proporzione,7.248979944656297
50,cioè,7.192754163469649
51,campi,7.1298987149230735
52,disse,7.092759552933927
53,dilettò,7.037127243014436
54,naturalmente,6.981682770615629
55,posano,6.981682770615629
56,tua,6.981682770615629
57,fresco,6.881542619083544
58,dipinse,6.881542619083544
59,ingegno,6.796070452287044
60,notabile,6.714619985366585
61,damiano,6.714619985366585
62,uscir,6.593370741733715
63,piano,6.535964989024939
64,via,6.520356178371234
65,mercato,6.479053914053818
66,alberi,6.370919471513266
67,botte,6.370919471513266
68,fecevi,6.370919471513266
69,color,6.268332882738164
70,morbidezza,6.268332882738164
71,timore,6.170752554399301
72,secca,6.170752554399301
73,difficultà,6.157083813052061
74,arca,6.077712523129515
75,donatello,5.988808997987848
76,unione,5.988808997987848
77,appunto,5.988808997987848
78,cava,5.988808997987848
79,tirata,5.988808997987848
80,guarda,5.988808997987848
81,benedetto,5.913046894690204
