,term,score
0,perino,326.3900903903377
1,stucchi,53.951308863110675
2,genova,44.59643630059286
3,raffaello,42.307103296817694
4,grottesche,41.43904327404899
5,cappella,36.69639593432745
6,ci,36.47601781140824
7,quegli,34.70379990934221
8,prencipe,33.573099926832924
9,ceri,33.205230476622276
10,cartone,32.74441599913102
11,stucco,31.96995374548016
12,fresco,30.278787523967594
13,ornamenti,28.593592131137246
14,oltraché,27.18375767181564
15,disegni,26.566890565779904
16,giovani,26.247323059746908
17,vaga,25.55559847668029
18,sala,25.37374841941468
19,operaio,24.435889697154703
20,certo,24.121652068110496
21,ornamento,23.016813323102877
22,oltreché,22.602304012444865
23,piloto,22.602304012444865
24,doria,22.392020652748215
25,farnese,21.829610666087348
26,acciò,21.433119516832676
27,cagione,21.170997654419683
28,prova,20.9199428293388
29,sangallo,20.9199428293388
30,laonde,20.853714313583957
31,putti,20.69543820161086
32,qualche,20.53043469135409
33,avevano,20.26874482918395
34,varie,20.233832011521507
35,messe,19.730696550347417
36,peste,19.583859433235084
37,marcello,19.13656810964514
38,fecevi,19.112758414539798
39,bellezza,18.559722042760328
40,pisa,18.471251439156184
41,voglia,18.258336217189036
42,allogò,18.224960325675365
43,romano,18.069581632121462
44,quattro,17.94203672032125
45,seco,17.599603005246927
46,anzi,17.570291439467994
47,paolo,17.466137340329233
48,olio,17.354495602506347
49,visto,17.23081306140955
50,stanze,17.12731734687039
51,niente,17.109242569104318
52,ignudi,17.08713482566396
53,femmine,17.004371093512468
54,loggia,16.836376193503394
55,begli,16.575617309619595
56,marmo,16.554184918026827
57,facciata,16.515702285800504
58,ultimo,16.311695412480866
59,toscanella,16.310254603089383
60,man,16.300890445928083
61,animali,16.262653576069276
62,buonarroti,16.175469062627563
63,fino,16.108801229037848
64,vicino,15.844057762104468
65,cominciò,15.844057762104468
66,io,15.824059159633228
67,festoni,15.670832206845411
68,storia,15.624053649718133
69,dipinta,15.521951783173183
70,giulio,15.283128077975734
71,son,15.283128077975734
72,giovan,15.250584974391526
73,andrea,15.247285289349822
74,lavorare,15.044972581378492
75,cartoni,14.953875331180127
76,sé,14.951354995031497
77,adunque,14.825860767256145
78,preso,14.73182916931547
79,tanti,14.715514190197458
80,grandissimo,14.570698804611673
81,antonio,14.477674877988537
82,vedendo,14.366528897121476
83,negli,14.353374579838231
84,certi,14.294183491306573
85,giornate,14.230813061409549
86,oltra,14.212191595377067
87,venne,14.184196409902794
88,entra,14.17030924459372
89,spartimento,14.17030924459372
90,condusse,14.11399843627979
91,compagnia,14.025108962107332
92,nessuno,14.019350309145873
93,bellissime,13.904381126272515
94,urbino,13.79710942094381
95,amore,13.785435741270563
96,tribunale,13.561382407466919
97,muscoli,13.42923997073317
98,braccia,13.404411349356526
99,bontà,13.404411349356526
100,farvi,13.320814060616735
101,udine,13.18674148346743
102,ser,13.166955767282966
103,cielo,13.130098761527469
104,camere,13.01769095153456
105,mestiero,13.01769095153456
106,arazzi,13.014417737085054
107,studio,12.946957494245368
108,su,12.946957494245368
109,partirsi,12.872753267168298
110,colorito,12.780835352032327
111,veder,12.780835352032327
112,innanzi,12.68687420970734
113,michelagnolo,12.594157622457196
114,niccola,12.55196569760328
115,imperadori,12.55196569760328
116,galee,12.55196569760328
117,sermoneta,12.55196569760328
118,ad,12.46469927903841
119,belle,12.46469927903841
120,moderni,12.461562775983438
121,doppo,12.341505108798602
122,rimase,12.323156037192364
123,conoscere,12.323156037192364
124,atteso,12.213324916205838
125,profeti,12.205096304045684
126,quelli,12.197828231479857
127,lavoro,12.197828231479857
128,faceva,12.118225584654512
129,nicchie,12.081633241093828
130,figura,12.039407213110419
131,vecchie,11.977617995975695
132,talmente,11.961145483198525
133,quest,11.810732209029299
134,voi,11.807379538300513
135,fattore,11.798022412760561
136,beccafumi,11.798022412760561
137,persuase,11.798022412760561
138,mesi,11.733068670164617
139,mostrano,11.728545405024061
140,finì,11.647934173879428
141,istorie,11.641463837379888
142,volle,11.567933303114069
143,bellissimi,11.567933303114069
144,grandi,11.508406661551438
145,ignudo,11.506286592169893
146,corse,11.481940865787083
147,ovati,11.481940865787083
148,abbraccia,11.481940865787083
149,dentrovi,11.4623460584818
150,cardinale,11.41062331214966
151,istoria,11.336247395674977
152,primo,11.291198749023831
153,dipignere,11.256770965118232
154,amici,11.256770965118232
155,intagliatori,11.196010326374108
156,sacco,11.050411539746397
157,panni,11.036635642648093
158,finito,10.955001730313423
159,fecero,10.955001730313423
160,dissi,10.93497619540522
161,paura,10.914805333043674
162,dipinte,10.893274981708231
163,varii,10.893274981708231
164,maestri,10.886314154937835
165,fa,10.87371272365927
166,campar,10.873503068726256
167,pervennero,10.873503068726256
168,trattenesse,10.873503068726256
169,senator,10.873503068726256
170,bastandoli,10.873503068726256
171,fecere,10.873503068726256
172,eredato,10.873503068726256
173,dattorno,10.873503068726256
174,girolamo,10.794992247820455
175,leggiadria,10.69484807238461
176,lunette,10.69484807238461
177,carne,10.656651248493388
178,stava,10.612827648453012
179,sorte,10.562705174736312
180,disegnati,10.472524155923445
181,settimane,10.472524155923445
182,dire,10.331568553358851
183,difficultà,10.261806355086769
184,andò,10.19948916322817
185,bello,10.134372414591976
186,modi,10.09512425374881
187,tela,10.075923209115397
188,rintenerì,10.062572852509927
189,meccanica,10.062572852509927
190,daniel,10.062572852509927
191,accennato,10.062572852509927
192,confortavano,10.062572852509927
193,domane,10.062572852509927
194,luzio,10.062572852509927
195,eglino,9.969250220786751
196,solo,9.942579595275175
197,disegnare,9.933819942657703
198,convento,9.933819942657703
199,migliore,9.915371402669201
200,servirlo,9.890056112600572
201,finte,9.890056112600572
202,venir,9.890056112600572
203,principe,9.865348275173709
204,giuseppo,9.865348275173709
205,verso,9.78053426755685
206,maschere,9.718580871080727
207,giorno,9.71423525043734
