,term,score
0,pesello,30.18771855752978
1,piccole,7.933019663265348
2,pronti,7.654627243858055
3,filippo,7.525613891494858
4,animali,6.969708675458262
5,vivaci,5.988808997987848
6,imitò,5.822045780109745
7,cappella,5.6455993745119155
8,storiette,5.525205769873199
9,pareggino,5.436751534363128
10,peselli,5.436751534363128
11,agguaglino,5.436751534363128
12,pesellino,5.436751534363128
13,divenghino,5.436751534363128
14,xxxi,5.436751534363128
15,affacciano,5.436751534363128
16,avanzano,5.436751534363128
17,èbbene,5.436751534363128
18,conoscesi,5.436751534363128
19,trent,5.436751534363128
20,moderata,5.436751534363128
21,lxxvii,5.0312864262549635
22,orlandini,5.0312864262549635
23,specie,5.0312864262549635
24,volpe,5.0312864262549635
25,acerbo,5.0312864262549635
26,alessandri,5.0312864262549635
27,assiduità,4.743604353803183
28,documenti,4.743604353803183
29,osservano,4.743604353803183
30,paiono,4.691418162009624
31,fervore,4.520460802488973
32,maravigliosissima,4.520460802488973
33,giostre,4.520460802488973
34,piacer,4.520460802488973
35,predella,4.476156833624893
36,pareggiare,4.338139245695018
37,vedova,4.338139245695018
38,superava,4.338139245695018
39,donato,4.2090940483758486
40,tenerne,4.18398856586776
41,spalliera,4.050457173243238
42,concorrono,4.050457173243238
43,imparando,4.050457173243238
44,toglieva,4.050457173243238
45,zeno,4.050457173243238
46,dolente,4.050457173243238
47,sollecito,4.050457173243238
48,nunziata,4.005528659755964
49,dì,3.9735279770630814
50,cassoni,3.932674137586854
51,resuscita,3.932674137586854
52,veggonsi,3.932674137586854
53,andari,3.932674137586854
54,offeriscono,3.932674137586854
55,noviziato,3.932674137586854
56,sino,3.932674137586854
57,castagno,3.8273136219290276
58,discepoli,3.8207820194939335
59,stette,3.8207820194939335
60,cavalcanti,3.732003442124703
61,combatte,3.644992065135073
62,studioso,3.644992065135073
63,bue,3.644992065135073
64,ce,3.5649493574615367
65,grata,3.5649493574615367
66,vivissimi,3.5649493574615367
67,acciaiuoli,3.4908413853078146
68,quadretti,3.4908413853078146
69,seguì,3.4908413853078146
70,giovare,3.4908413853078146
71,viveva,3.4218485138208634
72,giorgio,3.39816383215952
73,restava,3.3573099926832923
74,quegli,3.305123800889734
75,lasciano,3.2966853708668573
76,imitazione,3.2966853708668573
77,leoni,3.2966853708668573
78,aggiugnere,3.239526957026909
79,contrafare,3.239526957026909
80,saper,3.239526957026909
81,suole,3.185459735756633
82,avvenire,3.185459735756633
83,colorì,3.185459735756633
84,maestri,3.1103754728393813
85,collocata,3.0853762771996505
86,iacopo,3.069557729576967
87,andrea,3.0494570578699642
88,tele,2.951844884575128
89,vengono,2.9110228900548725
90,zanobi,2.9110228900548725
91,rari,2.8718021769015913
92,almeno,2.8718021769015913
93,amorevolezza,2.8340618489187444
94,divenne,2.8340618489187444
95,croce,2.805021792421466
96,dimostra,2.7976942047478692
97,serpente,2.7626028849365993
98,figliuolo,2.735449560250635
99,figurine,2.7287013332609185
100,imitando,2.7287013332609185
101,corpi,2.7287013332609185
102,pier,2.695911510437927
103,mezza,2.695911510437927
104,disciplina,2.695911510437927
105,paragone,2.6333911534565932
106,tali,2.6333911534565932
107,co,2.603538190306912
108,trinità,2.518980802278849
109,saggio,2.518980802278849
110,rare,2.518980802278849
111,tela,2.518980802278849
112,tolse,2.518980802278849
113,pistoia,2.492312555196688
114,agevolmente,2.466337068793427
115,scala,2.441019260809137
116,gentile,2.4163266482187655
117,talmente,2.392229096639705
118,fanciulli,2.368698599229511
119,vivi,2.3012573184339784
120,fino,2.3012573184339784
121,spalle,2.3012573184339784
122,notte,2.3012573184339784
123,cavalli,2.3012573184339784
124,bonissimo,2.2380784168124466
125,acquistato,2.2380784168124466
126,operare,2.217875709494927
127,infinitamente,2.217875709494927
128,signoria,2.1980730821987478
129,alcuno,2.159606801370952
130,magi,2.140914668358799
131,poca,2.1225655296906023
132,tempera,2.1045470241879243
133,tondi,2.1045470241879243
134,farsi,2.086847447088523
135,trovato,2.0523612710173538
136,crucifisso,2.002764329877982
137,acquistò,2.002764329877982
138,volentieri,2.002764329877982
139,disegnare,1.9867639885315407
140,conosce,1.9867639885315407
141,benedetto,1.9710156315634015
142,prese,1.9555114450274362
143,forza,1.9555114450274362
144,professione,1.9252060955321073
145,cittadini,1.9252060955321073
146,dentrovi,1.9103910097469667
147,agli,1.8957922103258142
148,laonde,1.8957922103258142
149,moglie,1.8814034728737146
150,attese,1.812410601386763
151,girolamo,1.7991653746367424
152,niccolò,1.7991653746367424
153,rimase,1.760450862456052
154,arebbe,1.7478720802491918
155,lunga,1.69908191607976
156,poteva,1.687247458432757
157,dello,1.687247458432757
158,ritratti,1.652561900444867
159,fatica,1.652561900444867
160,eccellenti,1.608110137874033
161,giovane,1.608110137874033
162,amici,1.608110137874033
163,dipignere,1.608110137874033
164,quadri,1.5972992217698176
165,paulo,1.5760218233225327
166,massimamente,1.5655505234552374
167,bellissime,1.5449312362525016
168,persona,1.5247285289349821
169,essa,1.514778198081814
170,faceva,1.514778198081814
171,quattro,1.4951697266934376
172,medici,1.4951697266934376
173,pure,1.4951697266934376
174,fuori,1.4570698804611673
175,fama,1.4570698804611673
176,studio,1.4385508326939298
177,facesse,1.4385508326939298
178,età,1.4294183491306574
179,dato,1.402510896210733
180,compagnia,1.402510896210733
181,buon,1.393700266528578
182,ai,1.3763085238167088
183,poesia,0.0
184,poeta,0.0
185,polastra,0.0
186,polito,0.0
187,poesie,0.0
188,poliziano,0.0
189,polidoro,0.0
190,poema,0.0
191,poetica,0.0
192,podestà,0.0
193,polizza,0.0
194,podesteria,0.0
195,poderi,0.0
196,poderetto,0.0
197,poeti,0.0
198,poeticamente,0.0
199,poggiuolo,0.0
200,poli,0.0
201,poggio,0.0
202,poggino,0.0
203,poiché,0.0
204,poggini,0.0
205,poggibonzi,0.0
206,polifemo,0.0
207,polenta,0.0
208,poggiare,0.0
209,polinnia,0.0
210,poggi,0.0
211,polignoto,0.0
212,poetico,0.0
213,polesine,0.0
214,polimaste,0.0
215,policleto,0.0
216,pola,0.0
217,poetiche,0.0
218,pompeo,0.0
219,polla,0.0
220,ponzetti,0.0
221,pontorno,0.0
222,pontormo,0.0
223,pontificum,0.0
224,pontificii,0.0
225,pontifici,0.0
226,pontificem,0.0
227,pontifice,0.0
228,pontificatum,0.0
229,pontificato,0.0
230,pontificalmente,0.0
231,pontificali,0.0
232,pontificale,0.0
233,pontifex,0.0
234,ponti,0.0
235,pontem,0.0
236,pontefici,0.0
237,pontefice,0.0
238,ponte,0.0
239,pontavano,0.0
240,pontava,0.0
241,pontano,0.0
242,pontt,0.0
243,ponziano,0.0
244,pollaiolo,0.0
245,ponzio,0.0
246,porfido,0.0
247,porfidi,0.0
