,term,score
0,vinci,129.58580364238532
1,martini,44.55502890567562
2,tribolo,41.41097656483623
3,addunque,33.47190852694208
4,luca,32.394102020564276
5,marmo,27.088666229498443
6,pisa,24.628335252208245
7,lionardo,18.410058547471827
8,duca,17.484838565534005
9,chiromante,16.310254603089383
10,cavare,15.927298678783167
11,fiume,15.80034692073956
12,acqua,15.64409156021949
13,cera,15.278278658801781
14,braccia,15.07996276802609
15,fanciullo,14.607932129619662
16,bandinello,14.579968260540292
17,bartolomeo,14.019350309145873
18,fame,13.963365541231259
19,genova,12.741838943026533
20,modello,12.627282145127545
21,michelagnolo,12.594157622457196
22,astrologo,12.55196569760328
23,venuto,12.412329217634372
24,basso,11.333274458843565
25,or,11.050411539746397
26,preparava,10.873503068726256
27,fonti,10.472524155923445
28,bronzo,10.177770763504865
29,riguarda,10.062572852509927
30,lavorarlo,10.062572852509927
31,bandino,10.062572852509927
32,messe,9.865348275173709
33,ufficio,9.718580871080727
34,alta,9.56891638655882
35,dante,9.556379207269899
36,livorno,9.487208707606365
37,mazzocchio,9.487208707606365
38,statua,9.205029273735914
39,innanzi,9.062053006933814
40,maiordomo,9.040921604977946
41,fuso,9.040921604977946
42,uva,9.040921604977946
43,fato,9.040921604977946
44,rilievo,8.913046894690204
45,padre,8.742419282767003
46,ciascheduno,8.676278491390036
47,età,8.576510094783945
48,braccio,8.4954095803988
49,pezzo,8.418188096751697
50,preso,8.418188096751697
51,scriveva,8.36797713173552
52,acquaio,8.36797713173552
53,sasso,8.287808654809798
54,dette,8.095196042031118
55,men,7.90017346036978
56,sepoltura,7.8801091166126636
57,bandini,7.865348275173708
58,mali,7.865348275173708
59,pietra,7.641564038987867
60,rare,7.556942406836548
61,putti,7.525613891494858
62,singulare,7.464006884249406
63,terzi,7.464006884249406
64,proveditore,7.464006884249406
65,abbozzata,7.464006884249406
66,castello,7.412930383628073
67,gambe,7.3990112063802815
68,bocca,7.3990112063802815
69,scultore,7.357757095098729
70,fratello,7.357757095098729
71,fonte,7.248979944656297
72,altrui,7.248979944656297
73,torre,7.248979944656297
74,facesse,7.192754163469649
75,getta,7.1298987149230735
76,condusse,7.056999218139895
77,nuovo,7.041803449824208
78,tazza,6.981682770615629
79,squadra,6.981682770615629
80,febbre,6.981682770615629
81,notte,6.903771955301935
82,capponi,6.843697027641727
83,amico,6.79632766431904
84,tuttavia,6.776093112045548
85,bacco,6.714619985366585
86,sperienza,6.714619985366585
87,intento,6.714619985366585
88,occasione,6.653627128484781
89,aiutare,6.593370741733715
90,stanza,6.535964989024939
91,gesti,6.479053914053818
92,mercato,6.479053914053818
93,cavò,6.479053914053818
94,lei,6.422744005076397
95,giacere,6.370919471513266
96,desiderando,6.370919471513266
97,pareva,6.367696589071807
98,avendogli,6.268332882738164
99,carrara,6.170752554399301
100,pervenuto,6.170752554399301
101,profitto,6.170752554399301
102,menò,6.077712523129515
103,duchessa,6.077712523129515
104,figura,6.019703606555209
105,volentieri,6.008292989633945
106,pesci,5.988808997987848
107,quattro,5.9806789067737505
108,tiene,5.960291965594622
109,seco,5.866534335082308
110,pensò,5.822045780109745
111,sera,5.743604353803183
112,benché,5.743604353803183
113,storia,5.681474054442957
114,moisè,5.668123697837489
115,vaso,5.5953884094957385
116,dall,5.574801066114312
117,lavori,5.5596977877210545
118,cinque,5.5596977877210545
119,certamente,5.525205769873199
120,finito,5.477500865156712
121,pochi,5.477500865156712
122,pensiero,5.457402666521837
123,ognuno,5.437231804160289
124,ingegno,5.436856361829635
125,costor,5.436751534363128
126,scordò,5.436751534363128
127,voltarlo,5.436751534363128
128,torgli,5.436751534363128
129,superno,5.436751534363128
130,svegliava,5.436751534363128
131,estimatore,5.436751534363128
132,assediavano,5.436751534363128
133,obbediva,5.436751534363128
134,pregorono,5.436751534363128
135,predissono,5.436751534363128
136,scrivendogli,5.436751534363128
137,apporterebbe,5.436751534363128
138,pieta,5.436751534363128
139,faticosissima,5.436751534363128
140,guastargli,5.436751534363128
141,natogli,5.436751534363128
142,guizzare,5.436751534363128
143,ricciuto,5.436751534363128
144,esaudito,5.436751534363128
145,gettargli,5.436751534363128
146,nteresse,5.436751534363128
147,nterroppe,5.436751534363128
148,sen,5.436751534363128
149,asilo,5.436751534363128
150,desiderosa,5.436751534363128
151,porgendosi,5.436751534363128
152,pianger,5.436751534363128
153,narrando,5.436751534363128
154,fantoccini,5.436751534363128
155,gherardesca,5.436751534363128
156,terrebbe,5.436751534363128
157,cessare,5.436751534363128
158,lamentarmi,5.436751534363128
159,ruggeri,5.436751534363128
160,spirare,5.436751534363128
161,inopinato,5.436751534363128
162,brevissima,5.436751534363128
163,usorono,5.436751534363128
164,filisteo,5.436751534363128
165,ventidua,5.436751534363128
166,beneficare,5.436751534363128
167,figurava,5.436751534363128
168,insegnerebbe,5.436751534363128
169,mercuriali,5.436751534363128
170,spronandolo,5.436751534363128
171,inghiottisse,5.436751534363128
172,ingegnasse,5.436751534363128
173,rassomigliava,5.436751534363128
174,messogli,5.436751534363128
175,risuscitate,5.436751534363128
176,brancolando,5.436751534363128
177,quinci,5.436751534363128
178,provvedde,5.436751534363128
179,bontate,5.436751534363128
180,fogna,5.436751534363128
181,dimorante,5.436751534363128
182,riuscirebbe,5.436751534363128
183,intrecciandosi,5.436751534363128
184,ricordomi,5.436751534363128
185,intrattenendo,5.436751534363128
186,peggiorare,5.436751534363128
187,interroppe,5.436751534363128
188,discorre,5.436751534363128
189,interno,5.436751534363128
190,raddoppiare,5.436751534363128
191,adempiesse,5.436751534363128
192,adeguare,5.436751534363128
193,affliggevano,5.436751534363128
194,raccomandava,5.436751534363128
195,coniettura,5.436751534363128
196,provvedeva,5.436751534363128
197,aumento,5.436751534363128
198,cognominata,5.436751534363128
199,copiosamente,5.436751534363128
200,montasse,5.436751534363128
201,laboriosi,5.436751534363128
202,tregua,5.436751534363128
203,profezia,5.436751534363128
204,ampliare,5.436751534363128
205,profonde,5.436751534363128
206,accenti,5.436751534363128
207,scherzassino,5.436751534363128
208,mostrarne,5.436751534363128
209,soffrirlo,5.436751534363128
210,molesta,5.436751534363128
211,schizzare,5.436751534363128
212,scemava,5.436751534363128
213,accendendolo,5.436751534363128
214,doverranno,5.436751534363128
215,dappresso,5.436751534363128
216,isveglieva,5.436751534363128
217,ebbelo,5.436751534363128
218,promettendosi,5.436751534363128
219,ammazzava,5.436751534363128
220,sciolgami,5.436751534363128
221,cingeva,5.436751534363128
222,mostrò,5.358279879208169
223,alto,5.358279879208169
224,mandò,5.358279879208169
225,grandezza,5.358279879208169
226,portava,5.328325624246694
227,risolvé,5.328325624246694
228,considerando,5.328325624246694
229,eccellenza,5.319569664700445
230,figliuoli,5.281352587368156
231,dolse,5.2667823069131865
232,ser,5.2667823069131865
233,frutti,5.2667823069131865
234,arebbe,5.243616240747576
