,term,score
0,lorentino,30.18771855752978
1,porco,29.28791996107432
2,borgo,15.52512996646449
3,francesca,15.30925448771611
4,regolari,12.151371519729715
5,geometria,11.481940865787083
6,dipinse,11.01046819053367
7,assegnamento,10.873503068726256
8,luca,10.79803400685476
9,rovinate,10.69484807238461
10,urbino,9.855078157817008
11,corporale,9.487208707606365
12,geometra,9.487208707606365
13,lena,9.487208707606365
14,pietro,8.995826873183713
15,luce,8.983213496981772
16,donato,8.418188096751697
17,bacci,8.36797713173552
18,fresco,8.257851142900252
19,corpi,8.186103999782755
20,contadino,8.100914346486476
21,discepolo,8.095196042031118
22,camere,7.810614570920736
23,arezzo,7.700824382128429
24,grazie,7.639139329400891
25,angelo,7.525613891494858
26,giovio,7.464006884249406
27,gettate,7.464006884249406
28,libri,7.3990112063802815
29,storia,7.101842568053697
30,aretini,6.981682770615629
31,padiglione,6.981682770615629
32,pieve,6.969708675458262
33,notte,6.903771955301935
34,armati,6.593370741733715
35,iscorto,6.593370741733715
36,lisabetta,6.593370741733715
37,colui,6.535964989024939
38,sepolcro,6.422744005076397
39,ancona,6.370919471513266
40,proprio,6.367696589071807
41,loreto,6.170752554399301
42,prospettiva,6.157083813052061
43,padoa,6.077712523129515
44,duca,5.828279521844669
45,antonio,5.791069951195415
46,scritti,5.743604353803183
47,luigi,5.525205769873199
48,cortona,5.525205769873199
49,raffaello,5.518317821324047
50,oscurati,5.436751534363128
51,resurezzione,5.436751534363128
52,fortebraccio,5.436751534363128
53,forono,5.436751534363128
54,accrescergli,5.436751534363128
55,calci,5.436751534363128
56,ritrare,5.436751534363128
57,stregghiavano,5.436751534363128
58,versellina,5.436751534363128
59,spinola,5.436751534363128
60,sotterrandolo,5.436751534363128
61,ostanesia,5.436751534363128
62,86,5.436751534363128
63,babbo,5.436751534363128
64,reverito,5.436751534363128
65,accecò,5.436751534363128
66,lustrano,5.436751534363128
67,decolazione,5.436751534363128
68,vitellesco,5.436751534363128
69,convenutisi,5.436751534363128
70,sopravenendoli,5.436751534363128
71,defraudato,5.436751534363128
72,chiamossi,5.436751534363128
73,1458,5.436751534363128
74,ritrarli,5.436751534363128
75,usurpandogli,5.436751534363128
76,traditi,5.436751534363128
77,edificate,5.436751534363128
78,annullare,5.436751534363128
79,presonzione,5.436751534363128
80,andarle,5.436751534363128
81,amazzasse,5.436751534363128
82,gravida,5.436751534363128
83,cattarro,5.436751534363128
84,saracina,5.436751534363128
85,marchesino,5.436751534363128
86,carmignuola,5.436751534363128
87,disotterrano,5.436751534363128
88,aiuterà,5.436751534363128
89,comprarlo,5.436751534363128
90,publicando,5.436751534363128
91,usurpar,5.436751534363128
92,usurpate,5.436751534363128
93,conservarono,5.436751534363128
94,canneto,5.436751534363128
95,vanga,5.436751534363128
96,inginocchiano,5.436751534363128
97,fiorivano,5.436751534363128
98,giovenezza,5.436751534363128
99,prospettive,5.391823020875854
100,vicino,5.281352587368156
101,vecchiezza,5.207076380613824
102,agostino,5.169538402976461
103,vescovado,5.037961604557698
104,restata,5.0312864262549635
105,pregavano,5.0312864262549635
106,conservadori,5.0312864262549635
107,efficacemente,5.0312864262549635
108,stìmate,5.0312864262549635
109,animosità,5.0312864262549635
110,massenzio,5.0312864262549635
111,prigionia,5.0312864262549635
112,lasciandole,5.0312864262549635
113,arse,5.0312864262549635
114,iscorcio,5.0312864262549635
115,salerno,5.0312864262549635
116,corinzie,5.0312864262549635
117,esaltazione,5.0312864262549635
118,indiritto,5.0312864262549635
119,portandola,5.0312864262549635
120,migliorarlo,5.0312864262549635
121,provide,5.0312864262549635
122,circoli,5.0312864262549635
123,òra,5.0312864262549635
124,bessarione,5.0312864262549635
125,cardinal,4.932674137586854
126,portare,4.932674137586854
127,ritrasse,4.824330413622099
128,negli,4.78445819327941
129,seguitarlo,4.743604353803183
130,marzi,4.743604353803183
131,figlioli,4.743604353803183
132,pervenuti,4.743604353803183
133,importi,4.743604353803183
134,empio,4.743604353803183
135,borso,4.743604353803183
136,guglielmino,4.743604353803183
137,piccolomini,4.743604353803183
138,manifesta,4.743604353803183
139,verbigrazia,4.743604353803183
140,illustrata,4.743604353803183
141,matematiche,4.743604353803183
142,eraclio,4.743604353803183
143,toccar,4.743604353803183
144,confraternita,4.743604353803183
145,ciriaco,4.743604353803183
146,concede,4.743604353803183
147,saba,4.743604353803183
148,farete,4.743604353803183
149,quarto,4.691418162009624
150,stesso,4.665563209259072
151,milano,4.646472450305508
152,doveva,4.646472450305508
153,fatiche,4.60433659436545
154,mani,4.574185586804946
155,ci,4.55950222642603
156,ritrovato,4.520460802488973
157,conservano,4.520460802488973
158,circostanti,4.520460802488973
159,difficoltà,4.520460802488973
160,bramantino,4.520460802488973
161,virtuose,4.520460802488973
162,comparendo,4.520460802488973
163,cecità,4.520460802488973
164,ingegnarsi,4.520460802488973
165,infelici,4.520460802488973
166,aritmetica,4.520460802488973
167,minuzia,4.520460802488973
168,giri,4.520460802488973
169,euclide,4.520460802488973
170,como,4.520460802488973
171,dottor,4.520460802488973
172,feriti,4.520460802488973
173,precettore,4.520460802488973
174,albergotti,4.520460802488973
175,stagione,4.520460802488973
176,nardi,4.520460802488973
177,affaticandosi,4.520460802488973
178,servidori,4.520460802488973
179,adorare,4.520460802488973
180,martino,4.5173954080303655
181,aver,4.485509180080313
182,acquistato,4.476156833624893
183,segno,4.476156833624893
184,tirato,4.435751418989854
185,nacque,4.3961461643974955
186,particulari,4.338139245695018
187,cascati,4.338139245695018
188,museo,4.338139245695018
189,coppie,4.338139245695018
190,togliendo,4.338139245695018
191,illumina,4.338139245695018
192,sargiano,4.338139245695018
193,laurentino,4.338139245695018
194,borghese,4.338139245695018
195,oscurità,4.338139245695018
196,strage,4.338139245695018
197,feltro,4.338139245695018
198,maligno,4.338139245695018
199,sommersione,4.338139245695018
200,molli,4.338139245695018
201,bolsena,4.338139245695018
202,venga,4.338139245695018
203,appreso,4.338139245695018
204,salva,4.338139245695018
205,ingiù,4.338139245695018
206,grado,4.245131059381205
207,carlo,4.245131059381205
208,compagnia,4.207532688632199
209,grandissima,4.207532688632199
210,croce,4.207532688632199
211,infirmità,4.18398856586776
212,cameriere,4.18398856586776
213,pongono,4.18398856586776
214,ricoprire,4.18398856586776
215,lire,4.18398856586776
216,travagliato,4.18398856586776
217,tenendolo,4.18398856586776
218,colonne,4.173694894177046
219,aretino,4.173694894177046
220,donne,4.138911408753309
221,ai,4.128925571450126
222,galeotto,4.050457173243238
223,ubertini,4.050457173243238
224,parrà,4.050457173243238
225,comperare,4.050457173243238
226,ito,4.050457173243238
227,scortare,4.050457173243238
228,seme,4.050457173243238
229,temendo,4.050457173243238
230,rosselli,4.050457173243238
231,priori,4.050457173243238
232,zoccolanti,4.050457173243238
233,nota,4.050457173243238
234,signorelli,4.050457173243238
235,ierusalem,4.050457173243238
236,sagrestia,4.038049701499524
237,nunziata,4.005528659755964
238,condotti,3.9735279770630814
239,madre,3.9735279770630814
240,umidità,3.932674137586854
241,guardato,3.932674137586854
242,studiosissimo,3.932674137586854
243,1536,3.932674137586854
244,combattono,3.932674137586854
245,diminuiscono,3.932674137586854
246,appoggiato,3.932674137586854
247,resuscita,3.932674137586854
248,dintorni,3.932674137586854
249,forza,3.9110228900548725
250,dipinto,3.9110228900548725
251,cittadini,3.8504121910642146
252,pesero,3.8273136219290276
253,misurate,3.8273136219290276
254,sottilmente,3.8273136219290276
255,accidenti,3.8273136219290276
256,giovanbattista,3.8273136219290276
257,perdono,3.8273136219290276
258,gruppo,3.8273136219290276
