,term,score
0,cosimo,21.631877751490368
1,carro,19.112758414539798
2,morti,16.108801229037848
3,trionfo,15.426881385998252
4,andromeda,15.09385927876489
5,strani,14.928013768498811
6,invenzione,13.904381126272515
7,faceva,13.633003782736326
8,pugliese,13.561382407466919
9,certe,13.169824310116002
10,voleva,12.780835352032327
11,satisfazione,12.55196569760328
12,stravagante,11.481940865787083
13,croci,11.481940865787083
14,veder,10.955001730313423
15,deformità,10.873503068726256
16,simil,10.472524155923445
17,piacere,10.347278521883272
18,pazienza,10.26554554146259
19,mostro,10.071929978049877
20,torcie,10.062572852509927
21,canzone,10.062572852509927
22,passatempi,10.062572852509927
23,dà,9.665306592875062
24,marte,9.556379207269899
25,staffieri,9.487208707606365
26,bestialità,9.487208707606365
27,oltra,9.474794396918044
28,ci,9.11900445285206
29,vario,9.116568784694273
30,fantastiche,9.040921604977946
31,stessino,9.040921604977946
32,qualche,8.798757724866038
33,stranezza,8.676278491390036
34,sepolcri,8.676278491390036
35,perseo,8.676278491390036
36,natura,8.522211081664436
37,quadro,8.436237292163785
38,tormenti,8.36797713173552
39,bestiale,8.36797713173552
40,astratto,8.36797713173552
41,aria,8.31995298134245
42,venere,8.287808654809798
43,camera,8.209445084069415
44,figliuolo,8.206348680751905
45,nero,8.186103999782755
46,vestiti,8.186103999782755
47,uscivano,8.100914346486476
48,misse,8.100914346486476
49,nere,7.865348275173708
50,crescere,7.865348275173708
51,bizzarro,7.865348275173708
52,umano,7.865348275173708
53,pompa,7.654627243858055
54,fantastico,7.654627243858055
55,diceva,7.4769376655900635
56,vedeva,7.4769376655900635
57,parole,7.468875351527032
58,tornata,7.464006884249406
59,bartoli,7.464006884249406
60,fantasie,7.32305778242741
61,sendo,7.289984130270146
62,morto,7.147091745653286
63,proposto,7.1298987149230735
64,diversità,7.1298987149230735
65,bianche,7.1298987149230735
66,cappella,7.056999218139895
67,orribile,6.981682770615629
68,fame,6.981682770615629
69,animali,6.969708675458262
70,lionardo,6.903771955301935
71,carnovale,6.843697027641727
72,suono,6.843697027641727
73,amico,6.79632766431904
74,poteva,6.748989833731028
75,cavagli,6.714619985366585
76,abiti,6.653627128484781
77,collera,6.593370741733715
78,ragionamento,6.593370741733715
79,lasciava,6.479053914053818
80,servi,6.478820404112856
81,spirito,6.476156833624894
82,lei,6.422744005076397
83,paese,6.422744005076397
84,strano,6.370919471513266
85,spedalingo,6.370919471513266
86,alberi,6.370919471513266
87,amori,6.370919471513266
88,ove,6.370919471513266
89,etc,6.370919471513266
90,dimostrò,6.268332882738164
91,èvvi,6.268332882738164
92,fussi,6.268332882738164
93,tale,6.26054234126557
94,tal,6.26054234126557
95,ingegni,6.208367113129963
96,novità,6.170752554399301
97,noia,6.077712523129515
98,ossa,6.077712523129515
99,capricciosa,5.988808997987848
100,fantasia,5.988808997987848
101,medici,5.9806789067737505
102,dire,5.903753459062201
103,voi,5.903689769150256
104,vedesse,5.822045780109745
105,sarto,5.822045780109745
106,diligenzia,5.822045780109745
107,spesso,5.820731918689944
108,morire,5.743604353803183
109,son,5.7311730292409
110,solo,5.681474054442957
111,sieno,5.668123697837489
112,filippo,5.644210418621144
113,certamente,5.525205769873199
114,margherita,5.525205769873199
115,questi,5.47089912050127
116,cervello,5.457402666521837
117,paura,5.457402666521837
118,tu,5.457402666521837
119,estrema,5.457402666521837
120,cavallo,5.437231804160289
121,ingegno,5.436856361829635
122,lassarle,5.436751534363128
123,penetrano,5.436751534363128
124,sorde,5.436751534363128
125,inviluppava,5.436751534363128
126,adrieto,5.436751534363128
127,malate,5.436751534363128
128,furava,5.436751534363128
129,sovennono,5.436751534363128
130,sovenirlo,5.436751534363128
131,minacciato,5.436751534363128
132,saziano,5.436751534363128
133,custodire,5.436751534363128
134,celebrar,5.436751534363128
135,siam,5.436751534363128
136,cristieri,5.436751534363128
137,sputato,5.436751534363128
138,malenconia,5.436751534363128
139,eri,5.436751534363128
140,vedrem,5.436751534363128
141,spazzassino,5.436751534363128
142,spiritose,5.436751534363128
143,borbotava,5.436751534363128
144,cosetta,5.436751534363128
145,sciloppi,5.436751534363128
146,bizzarissime,5.436751534363128
147,ovva,5.436751534363128
148,bollir,5.436751534363128
149,martorii,5.436751534363128
150,potavono,5.436751534363128
151,lasciarò,5.436751534363128
152,finché,5.436751534363128
153,replicavalo,5.436751534363128
154,cinquantina,5.436751534363128
155,poggiare,5.436751534363128
156,spiare,5.436751534363128
157,abigliati,5.436751534363128
158,richissimamente,5.436751534363128
159,bufoli,5.436751534363128
160,potasse,5.436751534363128
161,venivagli,5.436751534363128
162,adiravasi,5.436751534363128
163,medicine,5.436751534363128
164,strattamente,5.436751534363128
165,zappasse,5.436751534363128
166,travestiti,5.436751534363128
167,covertine,5.436751534363128
168,fermava,5.436751534363128
169,guardarla,5.436751534363128
170,ammalati,5.436751534363128
171,piagner,5.436751534363128
172,inaspettata,5.436751534363128
173,racontargnene,5.436751534363128
174,verginio,5.436751534363128
175,tremanti,5.436751534363128
176,istranezza,5.436751534363128
177,tonava,5.436751534363128
178,caprine,5.436751534363128
179,andavi,5.436751534363128
180,rispiarmare,5.436751534363128
181,tossir,5.436751534363128
182,imaginasse,5.436751534363128
183,aplicare,5.436751534363128
184,sedendovi,5.436751534363128
185,mdxxi,5.436751534363128
186,tragedie,5.436751534363128
187,tralci,5.436751534363128
188,rallegrano,5.436751534363128
189,immaginò,5.436751534363128
190,diluviava,5.436751534363128
191,traportano,5.436751534363128
192,continovato,5.436751534363128
193,baccanarie,5.436751534363128
194,coniglio,5.436751534363128
195,abassamento,5.436751534363128
196,fermavasi,5.436751534363128
197,riputare,5.436751534363128
198,strassinava,5.436751534363128
199,sgarare,5.436751534363128
200,minimi,5.436751534363128
201,sanseverino,5.436751534363128
202,lumeggi,5.436751534363128
203,stratto,5.436751534363128
204,incredibil,5.436751534363128
205,stritolarsi,5.436751534363128
206,strutti,5.436751534363128
207,seguon,5.436751534363128
208,miserere,5.436751534363128
209,avevi,5.436751534363128
210,psalmo,5.436751534363128
211,suon,5.436751534363128
212,aspido,5.436751534363128
213,assotigliare,5.436751534363128
214,recavasi,5.436751534363128
215,mirto,5.436751534363128
216,distruggere,5.436751534363128
217,agre,5.436751534363128
218,suggetti,5.436751534363128
219,interpretavano,5.436751534363128
220,pier,5.391823020875854
221,persone,5.358279879208169
222,strozzi,5.328325624246694
223,sorte,5.281352587368156
224,qua,5.2667823069131865
225,olio,5.206348680751905
226,veniva,5.092759552933927
227,ché,5.092759552933927
228,capitate,5.0312864262549635
229,cantavano,5.0312864262549635
230,segretissimamente,5.0312864262549635
231,seguitassi,5.0312864262549635
232,sfumare,5.0312864262549635
233,fantasticando,5.0312864262549635
234,esuli,5.0312864262549635
235,80,5.0312864262549635
236,senti,5.0312864262549635
237,pigliavano,5.0312864262549635
238,400,5.0312864262549635
239,esempli,5.0312864262549635
240,10,5.0312864262549635
241,cantar,5.0312864262549635
242,ammalatosi,5.0312864262549635
243,guasterebbe,5.0312864262549635
244,aprivano,5.0312864262549635
245,livrea,5.0312864262549635
246,aparisce,5.0312864262549635
247,ritornata,5.0312864262549635
248,mosche,5.0312864262549635
249,tratteggiati,5.0312864262549635
250,zaini,5.0312864262549635
251,incoronano,5.0312864262549635
252,silvani,5.0312864262549635
253,zelantissimo,5.0312864262549635
254,allegando,5.0312864262549635
255,rene,5.0312864262549635
256,maturo,5.0312864262549635
257,crepar,5.0312864262549635
258,riflessi,5.0312864262549635
259,rifarsi,5.0312864262549635
260,ridano,5.0312864262549635
261,dirieto,5.0312864262549635
262,accompagnatura,5.0312864262549635
263,roco,5.0312864262549635
264,guanciale,5.0312864262549635
265,sode,5.0312864262549635
266,cadeva,5.0312864262549635
267,bracciali,5.0312864262549635
268,coceva,5.0312864262549635
269,fumeggiate,5.0312864262549635
270,stavono,5.0312864262549635
271,barlumi,5.0312864262549635
272,sarete,5.0312864262549635
273,domane,5.0312864262549635
274,accaso,5.0312864262549635
275,dolor,5.0312864262549635
276,giamberti,5.0312864262549635
277,subietto,5.0312864262549635
278,tedaldi,5.0312864262549635
279,rovinarla,5.0312864262549635
280,confetti,5.0312864262549635
281,tenendole,5.0312864262549635
282,orca,5.0312864262549635
283,invero,4.984625110393376
284,conoscendo,4.984625110393376
285,altrui,4.832653296437531
286,li,4.78445819327941
287,certa,4.78445819327941
288,piccole,4.759811797959209
289,siete,4.743604353803183
290,diligentissimamente,4.743604353803183
291,pensoso,4.743604353803183
292,orribili,4.743604353803183
293,teschio,4.743604353803183
294,investigare,4.743604353803183
295,rilevata,4.743604353803183
296,lustri,4.743604353803183
297,mutasse,4.743604353803183
298,caminavano,4.743604353803183
299,possedeva,4.743604353803183
300,sensi,4.743604353803183
301,resuscitare,4.743604353803183
302,satisfece,4.743604353803183
303,aparendo,4.743604353803183
304,acconciarsi,4.743604353803183
305,genera,4.743604353803183
306,dovessino,4.743604353803183
307,oppinione,4.743604353803183
308,accennare,4.743604353803183
309,cibi,4.743604353803183
310,almeni,4.743604353803183
311,render,4.743604353803183
312,migliorato,4.743604353803183
313,onoravano,4.743604353803183
314,disperare,4.743604353803183
315,patisce,4.743604353803183
316,vedete,4.743604353803183
317,ginochioni,4.743604353803183
318,interpretazione,4.743604353803183
319,diversi,4.696651570365712
320,ritta,4.646472450305508
321,andrea,4.574185586804946
322,teste,4.574185586804946
323,lor,4.55950222642603
324,sottigliezze,4.520460802488973
325,recava,4.520460802488973
326,ressurrezzione,4.520460802488973
327,fauni,4.520460802488973
328,correggio,4.520460802488973
329,appetto,4.520460802488973
330,sottilità,4.520460802488973
331,fichi,4.520460802488973
332,piacendoli,4.520460802488973
333,contraffatto,4.520460802488973
334,viti,4.520460802488973
335,abigliamenti,4.520460802488973
336,visti,4.520460802488973
337,speziali,4.520460802488973
338,liberata,4.520460802488973
339,verissima,4.520460802488973
340,sileno,4.520460802488973
341,inestimabile,4.520460802488973
342,scelti,4.520460802488973
343,fummo,4.520460802488973
344,paion,4.520460802488973
345,godeva,4.520460802488973
346,occhiali,4.520460802488973
347,riduceva,4.520460802488973
348,falce,4.520460802488973
349,avvolto,4.520460802488973
350,legata,4.520460802488973
351,ossature,4.520460802488973
352,valentino,4.520460802488973
353,loda,4.520460802488973
354,naturalissima,4.520460802488973
355,paga,4.520460802488973
356,visitato,4.520460802488973
357,aver,4.485509180080313
358,parimente,4.485509180080313
359,popoli,4.476156833624893
360,colorire,4.476156833624893
361,padre,4.371209641383501
362,duca,4.371209641383501
363,lontano,4.357309992683293
364,giuliano,4.357309992683293
365,spaventosa,4.338139245695018
366,illustre,4.338139245695018
367,castelli,4.338139245695018
368,pecora,4.338139245695018
369,nuvoli,4.338139245695018
370,illumina,4.338139245695018
371,ammaestrato,4.338139245695018
372,scoltura,4.338139245695018
373,pauroso,4.338139245695018
374,penitenzia,4.338139245695018
375,mandargli,4.338139245695018
376,coppie,4.338139245695018
377,confortato,4.338139245695018
378,ribattendo,4.338139245695018
379,piagnere,4.338139245695018
380,usasse,4.338139245695018
381,parletico,4.338139245695018
382,unire,4.338139245695018
383,comodi,4.338139245695018
384,rinchiuso,4.338139245695018
385,solitudine,4.338139245695018
386,orafo,4.338139245695018
387,secchi,4.338139245695018
388,donatogli,4.338139245695018
389,ragionava,4.338139245695018
390,tetti,4.338139245695018
391,tenuto,4.315652498081789
392,fuoco,4.281829336717598
393,conto,4.281829336717598
394,storia,4.261105540832218
395,stava,4.245131059381205
396,condusse,4.234199530883936
397,dato,4.207532688632199
398,allievo,4.18398856586776
399,spettacolo,4.18398856586776
400,discorsi,4.18398856586776
401,colomba,4.18398856586776
402,baccanti,4.18398856586776
403,imitarlo,4.18398856586776
404,orsino,4.18398856586776
405,dilettano,4.18398856586776
406,curava,4.18398856586776
407,lodava,4.18398856586776
408,12,4.18398856586776
409,sporta,4.18398856586776
