,term,score
0,giotto,14.353374579838231
1,cavallini,14.230813061409549
2,fresco,13.763085238167088
3,pietro,12.594157622457196
4,musaico,11.336247395674977
5,nave,9.718580871080727
6,decus,9.040921604977946
7,gualtieri,8.676278491390036
8,creda,8.100914346486476
9,paulo,7.8801091166126636
10,araceli,7.654627243858055
11,pure,7.475848633467188
12,parlò,7.289984130270146
13,trastevere,7.289984130270146
14,sebbene,6.981682770615629
15,dipinse,6.881542619083544
16,marco,6.655962385073959
17,discepolo,6.476156833624894
18,dio,6.2622020938209495
19,italia,5.687376630977443
20,fiesole,5.457402666521837
21,buonconte,5.436751534363128
22,illuminasse,5.436751534363128
23,urbi,5.436751534363128
24,basilio,5.436751534363128
25,for,5.436751534363128
26,monaldeschi,5.436751534363128
27,tantum,5.436751534363128
28,chiandole,5.436751534363128
29,ottantacinque,5.436751534363128
30,addidit,5.436751534363128
31,1364,5.436751534363128
32,bone,5.436751534363128
33,dat,5.436751534363128
34,divotissimo,5.436751534363128
35,cic,5.436751534363128
36,nonziata,5.436751534363128
37,incro,5.436751534363128
38,gesù,5.358279879208169
39,quest,5.061742375298271
40,quantum,5.0312864262549635
41,imbiancare,5.0312864262549635
42,imbiancata,5.0312864262549635
43,esemplare,5.0312864262549635
44,grisogono,5.0312864262549635
45,dirottamente,5.0312864262549635
46,battendosi,5.0312864262549635
47,mescolò,5.0312864262549635
48,lasciarvi,5.0312864262549635
49,1370,5.0312864262549635
50,fermati,5.0312864262549635
51,brigida,5.0312864262549635
52,romanae,5.0312864262549635
53,tenersi,4.743604353803183
54,stringendosi,4.743604353803183
55,fattevi,4.743604353803183
56,qualcun,4.743604353803183
57,straniere,4.743604353803183
58,piacergli,4.743604353803183
59,convertiti,4.743604353803183
60,corporale,4.743604353803183
61,timor,4.743604353803183
62,condiscepoli,4.743604353803183
63,conoscer,4.743604353803183
64,indegno,4.743604353803183
65,verisimile,4.520460802488973
66,principato,4.520460802488973
67,petrus,4.520460802488973
68,pictura,4.520460802488973
69,famosissima,4.520460802488973
70,somigliare,4.520460802488973
71,priva,4.520460802488973
72,duca,4.371209641383501
73,offese,4.338139245695018
74,crocifissione,4.338139245695018
75,macine,4.338139245695018
76,imperador,4.338139245695018
77,fogge,4.338139245695018
78,lavorando,4.281829336717598
79,credere,4.245131059381205
80,atene,4.18398856586776
81,ipse,4.18398856586776
82,rifar,4.18398856586776
83,nazioni,4.18398856586776
84,tiburtina,4.18398856586776
85,millesimo,4.18398856586776
86,farsi,4.173694894177046
87,facciata,4.128925571450126
88,trovato,4.1047225420347075
89,imitata,4.050457173243238
90,dilettarsi,4.050457173243238
91,tiranno,4.050457173243238
92,continua,4.050457173243238
93,maravigliarsi,4.050457173243238
94,sagrestia,4.038049701499524
95,crucifisso,4.005528659755964
96,umidità,3.932674137586854
97,avvertenza,3.932674137586854
98,chiarissimo,3.932674137586854
99,polvere,3.932674137586854
100,intendo,3.932674137586854
101,nominare,3.932674137586854
102,reliquia,3.932674137586854
103,muro,3.8804879457932957
104,moltissime,3.8273136219290276
105,conservate,3.8273136219290276
106,circondata,3.8273136219290276
107,crociera,3.8273136219290276
108,sibilla,3.8273136219290276
109,palme,3.732003442124703
110,immaginarsi,3.732003442124703
111,scrittura,3.732003442124703
112,esercitare,3.732003442124703
113,mostrar,3.732003442124703
114,ingegnò,3.732003442124703
115,coperte,3.644992065135073
116,santissima,3.644992065135073
117,secoli,3.644992065135073
118,ali,3.644992065135073
119,prelati,3.644992065135073
120,cecilia,3.644992065135073
121,pervenire,3.644992065135073
122,commettiture,3.644992065135073
123,ognuno,3.624821202773526
124,dice,3.572186586138779
125,menando,3.5649493574615367
126,lodatissima,3.5649493574615367
127,urbano,3.5649493574615367
128,ce,3.5649493574615367
129,publica,3.5649493574615367
130,riportò,3.5649493574615367
131,scienze,3.4908413853078146
132,ripa,3.4908413853078146
133,consumate,3.4908413853078146
134,cerchio,3.4908413853078146
135,campidoglio,3.4908413853078146
136,diverse,3.4221162142529513
137,affermare,3.4218485138208634
138,adora,3.4218485138208634
139,eziandio,3.4218485138208634
140,predicatori,3.4218485138208634
141,onorevolmente,3.3573099926832923
142,sperienza,3.3573099926832923
143,bontà,3.3511028373391314
144,aria,3.3279811925369795
145,migliore,3.305123800889734
146,armati,3.2966853708668573
147,credono,3.2966853708668573
148,estremo,3.2966853708668573
149,riuscirono,3.2966853708668573
150,saper,3.239526957026909
151,cristiano,3.239526957026909
152,parer,3.239526957026909
153,stravaganti,3.239526957026909
154,affermano,3.185459735756633
155,qualunque,3.185459735756633
156,usavano,3.185459735756633
157,ventura,3.134166441369082
158,sforzo,3.134166441369082
159,metteva,3.134166441369082
160,ascesi,3.0853762771996505
161,orvieto,3.0853762771996505
162,notabili,3.0853762771996505
163,vivace,3.0388562615647574
164,greca,3.0388562615647574
165,piangono,2.994404498993924
166,ebbono,2.994404498993924
167,coperta,2.994404498993924
168,accanto,2.994404498993924
169,rovinata,2.994404498993924
170,polo,2.994404498993924
171,fuor,2.9903394533868752
172,patria,2.9903394533868752
173,meno,2.9710156315634015
174,calcina,2.951844884575128
175,voce,2.951844884575128
176,posso,2.951844884575128
177,qualche,2.9329192416220127
178,favorito,2.9110228900548725
179,dee,2.9110228900548725
180,no,2.9110228900548725
181,stata,2.8955349755977076
182,cominciasse,2.8718021769015913
183,passando,2.8718021769015913
184,senzaché,2.8718021769015913
185,tornarsene,2.8718021769015913
186,miracoli,2.8340618489187444
187,cercò,2.8340618489187444
188,primo,2.8227996872559578
189,armi,2.7976942047478692
190,andarono,2.7976942047478692
191,tolto,2.7976942047478692
192,dimostra,2.7976942047478692
193,buon,2.787400533057156
194,acquistare,2.7626028849365993
195,religione,2.7626028849365993
196,usò,2.7626028849365993
197,cotale,2.7626028849365993
198,ai,2.7526170476334175
199,figliuolo,2.735449560250635
200,fa,2.7184281809148176
201,straordinaria,2.695911510437927
202,lodevole,2.695911510437927
203,giù,2.695911510437927
204,fianco,2.695911510437927
205,ottimo,2.664162812123347
206,colorite,2.664162812123347
207,petto,2.6333911534565932
208,eccetto,2.6333911534565932
209,tribuna,2.603538190306912
210,ottaviano,2.603538190306912
211,sole,2.603538190306912
212,vecchiezza,2.603538190306912
213,diligente,2.603538190306912
214,poveri,2.603538190306912
215,capitolo,2.603538190306912
216,cognizione,2.5745506534336595
217,star,2.5745506534336595
218,evangelisti,2.5463797764669636
219,rispetto,2.5463797764669636
220,dolore,2.5463797764669636
221,stavano,2.518980802278849
222,pistoia,2.492312555196688
223,potrebbe,2.492312555196688
224,mette,2.466337068793427
225,esercizio,2.466337068793427
226,fermo,2.466337068793427
227,sculture,2.441019260809137
228,bianco,2.441019260809137
229,epitaffio,2.4163266482187655
230,teneva,2.4163266482187655
231,mostrando,2.392229096639705
232,degna,2.392229096639705
233,fabriche,2.368698599229511
234,costumi,2.368698599229511
235,considerazione,2.368698599229511
236,ell,2.368698599229511
237,vuole,2.345709081004812
238,testamento,2.345709081004812
239,mostrano,2.345709081004812
240,quinto,2.323236225152754
241,varietà,2.3012573184339784
242,mal,2.279751113213015
243,pietà,2.2586977040151828
244,toscana,2.2586977040151828
245,chiostro,2.2586977040151828
246,sepolto,2.2586977040151828
247,lavorati,2.2586977040151828
248,bonissimo,2.2380784168124466
249,amato,2.2380784168124466
250,tra,2.2380784168124466
251,occasione,2.217875709494927
252,abiti,2.217875709494927
253,nacque,2.1980730821987478
254,vecchia,2.1786549963416464
255,aiuto,2.1786549963416464
256,continuo,2.159606801370952
257,facciate,2.140914668358799
258,mostra,2.140914668358799
259,possa,2.1225655296906023
260,poca,2.1225655296906023
261,grado,2.1225655296906023
262,antica,2.1225655296906023
263,preso,2.1045470241879243
264,importanza,2.086847447088523
265,tale,2.086847447088523
266,ultima,2.086847447088523
267,condurre,2.0694557043766544
268,gloria,2.0523612710173538
269,so,2.035554152700973
270,finestre,2.035554152700973
271,dare,2.035554152700973
272,eccellentissimo,2.035554152700973
273,possibile,2.019024850749762
274,artefice,2.002764329877982
275,nunziata,2.002764329877982
276,nessuno,2.002764329877982
277,piccola,2.002764329877982
278,conosce,1.9867639885315407
279,convento,1.9867639885315407
280,benedetto,1.9710156315634015
281,onorato,1.9710156315634015
282,sta,1.9555114450274362
283,dar,1.9555114450274362
284,amicissimo,1.9402439728966479
285,infiniti,1.9402439728966479
286,dagl,1.9252060955321073
287,discepoli,1.9103910097469667
288,laonde,1.8957922103258142
289,cui,1.8957922103258142
290,lettere,1.867218837881758
291,banda,1.8532325959070182
292,varie,1.8394392737746823
293,fecero,1.8258336217189037
294,colorito,1.8258336217189037
295,veder,1.8258336217189037
296,tornato,1.8258336217189037
297,dico,1.812410601386763
298,cavallo,1.812410601386763
299,attitudini,1.7991653746367424
300,monaci,1.7991653746367424
301,buone,1.7991653746367424
302,veggiono,1.7991653746367424
303,grandezza,1.7860932930693896
304,mostrò,1.7860932930693896
305,possono,1.7731898882334818
306,siano,1.7731898882334818
307,arme,1.7731898882334818
308,signore,1.7354495602506348
309,solamente,1.7231794676588204
310,principale,1.7231794676588204
311,braccio,1.69908191607976
312,numero,1.687247458432757
313,dinanzi,1.687247458432757
314,ho,1.687247458432757
315,arti,1.6755514186695657
316,lavorato,1.652561900444867
317,volle,1.652561900444867
318,corpo,1.652561900444867
319,nuova,1.652561900444867
320,benissimo,1.652561900444867
321,canto,1.652561900444867
322,verso,1.6300890445928085
323,capella,1.6300890445928085
324,spirito,1.6190392084062235
325,basso,1.6190392084062235
326,condotta,1.6190392084062235
327,però,1.6190392084062235
328,giorno,1.6190392084062235
329,mise,1.608110137874033
330,ritrasse,1.608110137874033
331,dipignere,1.608110137874033
332,certo,1.608110137874033
333,anzi,1.5972992217698176
334,facendo,1.5866039326530696
335,simile,1.5760218233225327
336,venne,1.5760218233225327
337,frati,1.5655505234552374
338,pare,1.5655505234552374
