,term,score
0,laurati,18.081843209955892
1,pietro,16.192488371730683
2,bologhini,10.873503068726256
3,coro,9.777557225137182
4,giotto,9.56891638655882
5,predella,8.952313667249786
6,giovacchino,8.676278491390036
7,dinanzi,8.436237292163785
8,braccia,8.377757093347828
9,lineamenti,8.36797713173552
10,dipinse,8.257851142900252
11,altar,8.040550689370164
12,siena,7.822045780109745
13,teste,7.623642644674911
14,pieve,6.969708675458262
15,toscana,6.776093112045548
16,ho,6.748989833731028
17,reliquie,6.593370741733715
18,tempera,6.313641072563772
19,altare,6.059112792327256
20,tabernacolo,6.057074552249286
21,mosso,5.903689769150256
22,mia,5.903689769150256
23,io,5.754203330775719
24,angeli,5.754203330775719
25,fresco,5.505234095266835
26,intagli,5.457402666521837
27,ricavai,5.436751534363128
28,divolgata,5.436751534363128
29,sostenuti,5.436751534363128
30,derelitta,5.436751534363128
31,nube,5.436751534363128
32,collegiata,5.436751534363128
33,uscetto,5.436751534363128
34,parermi,5.436751534363128
35,panneggiate,5.436751534363128
36,venerabile,5.436751534363128
37,disiderati,5.436751534363128
38,cinge,5.436751534363128
39,quadrate,5.436751534363128
40,rigrandire,5.436751534363128
41,margarito,5.436751534363128
42,oscurissima,5.436751534363128
43,attitudini,5.397496123910227
44,nuovo,5.281352587368156
45,arie,5.2667823069131865
46,lati,5.092759552933927
47,mio,5.092759552933927
48,avvolte,5.0312864262549635
49,restaurata,5.0312864262549635
50,protettor,5.0312864262549635
51,vòto,5.0312864262549635
52,citato,5.0312864262549635
53,perdonato,5.0312864262549635
54,paragonando,5.0312864262549635
55,ballando,5.0312864262549635
56,beccaio,5.0312864262549635
57,capella,4.890267133778425
58,scala,4.882038521618274
59,santi,4.759811797959209
60,occide,4.743604353803183
61,trasferitosi,4.743604353803183
62,arciprete,4.743604353803183
63,potuti,4.743604353803183
64,circondati,4.743604353803183
65,cuce,4.743604353803183
66,1355,4.743604353803183
67,introdurre,4.743604353803183
68,documenti,4.743604353803183
69,margaritone,4.743604353803183
70,venerande,4.743604353803183
71,intenti,4.743604353803183
72,sponsalizio,4.743604353803183
73,occupava,4.743604353803183
74,sodisfacendo,4.743604353803183
75,fino,4.602514636867957
76,sanese,4.55950222642603
77,petrus,4.520460802488973
78,silvestro,4.520460802488973
79,postolo,4.520460802488973
80,porvi,4.520460802488973
81,piaga,4.520460802488973
82,fiora,4.520460802488973
83,accresciuto,4.520460802488973
84,lucilla,4.520460802488973
85,istrumenti,4.520460802488973
86,porfidi,4.520460802488973
87,parendomi,4.520460802488973
88,ciborio,4.520460802488973
89,calzolaio,4.520460802488973
90,angelica,4.520460802488973
91,trevertini,4.520460802488973
92,fioriti,4.520460802488973
93,illuminata,4.520460802488973
94,predelle,4.520460802488973
95,leggiadri,4.520460802488973
96,pietre,4.5173954080303655
97,quattro,4.485509180080313
98,nicchia,4.435751418989854
99,chiamato,4.42781509429665
100,stata,4.343302463396562
101,senis,4.338139245695018
102,raccontano,4.338139245695018
103,serbano,4.338139245695018
104,mandorla,4.338139245695018
105,grandi,4.315652498081789
106,donato,4.2090940483758486
107,fissi,4.18398856586776
108,naturalissimi,4.18398856586776
109,sentono,4.18398856586776
110,1350,4.18398856586776
111,vangelista,4.18398856586776
112,credette,4.18398856586776
113,grate,4.18398856586776
114,disposizione,4.18398856586776
115,dall,4.181100799585734
116,belle,4.15489975967947
117,pisa,4.1047225420347075
118,mie,4.050457173243238
119,dorato,4.050457173243238
120,oramai,4.050457173243238
121,provò,4.050457173243238
122,chiusuri,4.050457173243238
123,riconoscono,4.050457173243238
124,bartolomeo,4.005528659755964
125,dagli,3.942031263126803
126,isolato,3.932674137586854
127,boschi,3.932674137586854
128,ricevuta,3.932674137586854
129,pronte,3.932674137586854
130,arezzo,3.8504121910642146
131,accommodato,3.8273136219290276
132,tredici,3.8273136219290276
133,sembiante,3.8273136219290276
134,espresso,3.8273136219290276
135,fornimento,3.8273136219290276
136,rappresentano,3.732003442124703
137,rifatto,3.732003442124703
138,ginocchio,3.732003442124703
139,volano,3.732003442124703
140,movimenti,3.732003442124703
141,tornata,3.732003442124703
142,reti,3.732003442124703
143,cacciata,3.732003442124703
144,cristiana,3.732003442124703
145,vestimenti,3.732003442124703
146,mischio,3.644992065135073
147,mischi,3.644992065135073
148,alto,3.572186586138779
149,sacerdote,3.5649493574615367
150,rovinate,3.5649493574615367
151,pone,3.5649493574615367
152,riportò,3.5649493574615367
153,canonici,3.5649493574615367
154,tentare,3.4908413853078146
155,semplici,3.4908413853078146
156,sebbene,3.4908413853078146
157,onor,3.4908413853078146
158,letizia,3.4908413853078146
159,brevità,3.4908413853078146
160,cantare,3.4908413853078146
161,posta,3.4221162142529513
162,nessuna,3.4218485138208634
163,celesti,3.4218485138208634
164,miei,3.3573099926832923
165,guglielmo,3.3573099926832923
166,intendente,3.3573099926832923
167,aria,3.3279811925369795
168,migliore,3.305123800889734
169,fatica,3.305123800889734
170,semplicemente,3.2966853708668573
171,divenire,3.2966853708668573
172,cielo,3.2825246903818672
173,camposanto,3.239526957026909
174,averla,3.239526957026909
175,suonano,3.239526957026909
176,tempio,3.238078416812447
177,quadri,3.1945984435396353
178,accomodati,3.185459735756633
179,carezzato,3.185459735756633
180,saglie,3.185459735756633
181,primieramente,3.185459735756633
182,porto,3.185459735756633
183,affezzione,3.185459735756633
184,madonna,3.1732078653061393
185,piccole,3.1732078653061393
186,morbidezza,3.134166441369082
187,portano,3.134166441369082
188,proprie,3.134166441369082
189,disiderare,3.134166441369082
190,state,3.1311010469104748
191,cimabue,3.0853762771996505
192,accompagnata,3.0853762771996505
193,paia,3.0388562615647574
194,ossa,3.0388562615647574
195,ornata,3.0388562615647574
196,particolari,3.0388562615647574
197,voglio,2.994404498993924
198,accanto,2.994404498993924
199,passati,2.994404498993924
200,affetto,2.994404498993924
201,salute,2.994404498993924
202,patria,2.9903394533868752
203,dire,2.9518767295311004
204,sull,2.951844884575128
205,avendolo,2.951844884575128
206,affetti,2.951844884575128
207,medesime,2.951844884575128
208,fuori,2.9141397609223345
209,imitò,2.9110228900548725
210,sodisfazione,2.9110228900548725
211,ornamento,2.8771016653878596
212,sagramento,2.8718021769015913
213,fattone,2.8718021769015913
214,vaghezza,2.8340618489187444
215,chiama,2.8340618489187444
216,fanciullezza,2.8340618489187444
217,facendovi,2.7976942047478692
218,dolcezza,2.7976942047478692
219,divina,2.7626028849365993
220,paradiso,2.7626028849365993
221,volti,2.7626028849365993
222,cortona,2.7626028849365993
223,serpente,2.7626028849365993
224,cristofano,2.695911510437927
225,ferro,2.695911510437927
226,bonissima,2.695911510437927
227,meritamente,2.695911510437927
228,anna,2.695911510437927
229,intagliato,2.695911510437927
230,operai,2.695911510437927
231,vivacità,2.664162812123347
232,ragione,2.664162812123347
233,fosse,2.664162812123347
234,gradi,2.664162812123347
235,levato,2.6333911534565932
236,cassa,2.6333911534565932
237,padri,2.6333911534565932
238,cominciando,2.6333911534565932
239,petto,2.6333911534565932
240,tribuna,2.603538190306912
241,sinistra,2.5745506534336595
242,pittor,2.5745506534336595
243,figurò,2.5463797764669636
244,neri,2.518980802278849
245,matteo,2.518980802278849
246,maestà,2.518980802278849
247,apparato,2.518980802278849
248,dubbio,2.518980802278849
249,oliveto,2.518980802278849
250,contento,2.518980802278849
251,pistoia,2.492312555196688
252,dimostrano,2.492312555196688
253,vivendo,2.492312555196688
254,costoro,2.492312555196688
255,cagioni,2.466337068793427
256,infinità,2.466337068793427
257,corso,2.466337068793427
258,proporzione,2.4163266482187655
259,sommamente,2.4163266482187655
260,legname,2.4163266482187655
261,data,2.392229096639705
262,alta,2.392229096639705
263,particolare,2.368698599229511
264,avvenne,2.368698599229511
265,virtuosi,2.345709081004812
266,batista,2.3012573184339784
267,circa,2.3012573184339784
268,vivi,2.3012573184339784
269,tommaso,2.3012573184339784
270,spedale,2.279751113213015
271,marmi,2.279751113213015
272,resto,2.2586977040151828
273,naturali,2.2586977040151828
274,pietà,2.2586977040151828
275,spesa,2.217875709494927
276,lume,2.217875709494927
277,proposito,2.217875709494927
278,occasione,2.217875709494927
279,abiti,2.217875709494927
280,propria,2.217875709494927
281,spese,2.217875709494927
282,piè,2.1980730821987478
283,vive,2.1980730821987478
284,fabrica,2.140914668358799
285,mostra,2.140914668358799
286,dovesse,2.140914668358799
287,ragionato,2.140914668358799
288,antica,2.1225655296906023
289,invenzioni,2.1045470241879243
290,bell,2.1045470241879243
291,pregio,2.086847447088523
292,archi,2.086847447088523
293,monasterio,2.086847447088523
294,elle,2.086847447088523
295,ingegni,2.0694557043766544
296,occhi,2.0523612710173538
297,finestre,2.035554152700973
298,merita,2.035554152700973
299,andava,2.035554152700973
300,natività,2.035554152700973
301,artefice,2.002764329877982
302,piacque,1.9867639885315407
303,condotte,1.9710156315634015
304,maggiori,1.9555114450274362
305,vergine,1.9555114450274362
306,dodici,1.9555114450274362
307,sta,1.9555114450274362
308,me,1.9402439728966479
309,ciascuno,1.9402439728966479
310,primi,1.9402439728966479
311,andato,1.9252060955321073
312,mediante,1.9103910097469667
313,dei,1.9103910097469667
314,potuto,1.9103910097469667
315,son,1.9103910097469667
316,forma,1.9103910097469667
317,italia,1.8957922103258142
318,tante,1.8957922103258142
319,agli,1.8957922103258142
320,cui,1.8957922103258142
321,certe,1.8814034728737146
322,nei,1.8814034728737146
323,mostrare,1.867218837881758
324,alcun,1.867218837881758
325,tornando,1.867218837881758
326,parole,1.867218837881758
327,cinque,1.8532325959070182
328,belli,1.8532325959070182
329,dirimpetto,1.8532325959070182
330,tanti,1.8394392737746823
331,apostoli,1.8394392737746823
332,lodato,1.8394392737746823
333,dico,1.812410601386763
334,andare,1.7991653746367424
335,mi,1.7991653746367424
336,monaci,1.7991653746367424
337,veggiono,1.7991653746367424
338,gesù,1.7860932930693896
339,grandezza,1.7860932930693896
340,va,1.7860932930693896
341,mostrò,1.7860932930693896
342,possono,1.7731898882334818
343,lavorate,1.7731898882334818
344,tavole,1.7731898882334818
345,maravigliosa,1.760450862456052
346,sorte,1.760450862456052
347,conoscere,1.760450862456052
348,vescovo,1.7478720802491918
349,tondo,1.7231794676588204
