,term,score
0,pietro,104.35159172893106
1,perugia,37.78471203418274
2,convento,27.81469583944157
3,chiostro,24.84567474416701
4,frati,23.48325785182856
5,priore,22.97441741521273
6,perugino,19.583859433235084
7,dipinse,19.268319333433922
8,cappella,18.348197967163724
9,coro,17.599603005246927
10,cioè,17.262609992327157
11,sisto,17.23081306140955
12,catinella,16.310254603089383
13,tavole,15.958708994101336
14,santi,15.866039326530696
15,ascesi,15.426881385998252
16,faceva,15.14778198081814
17,fresco,15.139393761983797
18,misero,13.42923997073317
19,braccia,13.404411349356526
20,oltramarino,13.014417737085054
21,crucifisso,12.01658597926789
22,dinanzi,11.810732209029299
23,oratorio,11.798022412760561
24,posava,11.798022412760561
25,assunzione,11.64409156021949
26,muro,11.641463837379888
27,discepolo,11.333274458843565
28,rispondeva,10.93497619540522
29,sacchetto,10.873503068726256
30,magi,10.704573341793996
31,dirittura,10.69484807238461
32,capitolo,10.414152761227648
33,natività,10.177770763504865
34,spagna,10.071929978049877
35,spesso,9.701219864483239
36,francia,9.701219864483239
37,inverso,9.487208707606365
38,consuma,9.487208707606365
39,mantenersi,9.487208707606365
40,montevarchi,9.487208707606365
41,povertà,9.402499324107247
42,orto,9.382836324019248
43,pieve,9.292944900611015
44,castello,9.26616297953509
45,beato,9.116568784694273
46,altare,9.088669188490885
47,bacchiacca,9.040921604977946
48,girolamo,8.995826873183713
49,bisogna,8.983213496981772
50,voi,8.855534653725385
51,bello,8.686604926793123
52,olio,8.677247801253174
53,diligentissimo,8.676278491390036
54,agl,8.615897338294102
55,stanze,8.563658673435196
56,storia,8.522211081664436
57,detti,8.436237292163785
58,loggia,8.418188096751697
59,battesimo,8.393082614243607
60,accommodate,8.36797713173552
61,dormentorio,8.36797713173552
62,pinturicchio,8.36797713173552
63,perfetti,8.36797713173552
64,colonne,8.347389788354093
65,ricco,8.347389788354093
66,elle,8.347389788354093
67,messo,8.31995298134245
68,man,8.150445222964041
69,filippino,8.100914346486476
70,tramezzo,8.087734531313782
71,largo,8.087734531313782
72,eccellenti,8.040550689370164
73,altar,8.040550689370164
74,madonna,7.933019663265348
75,benedetto,7.884062526253606
76,venne,7.8801091166126636
77,fabio,7.865348275173708
78,andito,7.865348275173708
79,freddo,7.865348275173708
80,altari,7.865348275173708
81,sopranome,7.865348275173708
82,acqua,7.822045780109745
83,andrea,7.623642644674911
84,patria,7.475848633467188
85,danari,7.468875351527032
86,orazio,7.464006884249406
87,reffettorio,7.289984130270146
88,cambio,7.248979944656297
89,morto,7.147091745653286
90,guadagnare,7.1298987149230735
91,verrocchio,7.1298987149230735
92,lavorate,7.092759552933927
93,croce,7.012554481053666
94,dormire,6.981682770615629
95,straordinario,6.981682770615629
96,beni,6.981682770615629
97,azzurro,6.981682770615629
98,animali,6.969708675458262
99,principale,6.892717870635281
100,ai,6.881542619083544
101,spagnuolo,6.843697027641727
102,bontà,6.702205674678263
103,aria,6.655962385073959
104,continuamente,6.594219246596243
105,tenute,6.594219246596243
106,allogazione,6.593370741733715
107,quaranta,6.593370741733715
108,partitosi,6.593370741733715
109,lavora,6.593370741733715
110,piano,6.535964989024939
111,riputazione,6.479053914053818
112,fortuna,6.478820404112856
113,giorno,6.476156833624894
114,desiderando,6.370919471513266
115,avessino,6.370919471513266
116,sacramento,6.370919471513266
117,battista,6.367696589071807
118,risponde,6.268332882738164
119,miseria,6.268332882738164
120,giusto,6.268332882738164
121,sulle,6.268332882738164
122,perfezzione,6.2622020938209495
123,pregio,6.26054234126557
124,udienza,6.170752554399301
125,occhi,6.157083813052061
126,lavoro,6.0989141157399285
127,teste,6.0989141157399285
128,mandate,6.077712523129515
129,buono,6.019703606555209
130,nessuno,6.008292989633945
131,onore,5.9806789067737505
132,parimente,5.9806789067737505
133,urbino,5.913046894690204
134,agnolo,5.913046894690204
135,venire,5.866534335082308
136,guadagno,5.822045780109745
137,stare,5.820731918689944
138,vivere,5.7756182865963215
139,angeli,5.754203330775719
140,io,5.754203330775719
141,ornamento,5.754203330775719
142,domenico,5.754203330775719
143,facesse,5.754203330775719
144,maddalena,5.743604353803183
145,mezze,5.743604353803183
146,dentrovi,5.7311730292409
147,pietra,5.7311730292409
148,discepoli,5.7311730292409
149,laonde,5.687376630977443
150,lungo,5.687376630977443
151,primo,5.6455993745119155
152,mettere,5.601656513645274
153,bernardino,5.5953884094957385
154,medesimamente,5.5953884094957385
155,particolarmente,5.574801066114312
156,dirà,5.5596977877210545
157,lavori,5.5596977877210545
158,bellissimo,5.539866346239293
159,ad,5.539866346239293
160,religione,5.525205769873199
161,raffaello,5.518317821324047
162,apostoli,5.518317821324047
163,colorito,5.477500865156712
164,dipinti,5.457402666521837
165,stillavano,5.436751534363128
166,intirizzato,5.436751534363128
167,lxxviii,5.436751534363128
168,ostinatissimamente,5.436751534363128
169,crepati,5.436751534363128
170,sfiducciati,5.436751534363128
171,egregius,5.436751534363128
172,sfiducciato,5.436751534363128
