,term,score
0,io,30.209567486572524
1,lor,25.077262245343164
2,vedrà,23.952939596746045
3,giotto,21.530061869757347
4,vite,20.828305522455295
5,arti,20.10661702403479
6,degli,19.952125242250286
7,abbia,18.069581632121462
8,regola,17.966426993963545
9,elle,16.694779576708186
10,rinascita,16.310254603089383
11,migliorarono,16.310254603089383
12,maniere,15.810883928106279
13,seconda,15.447303920601957
14,ho,15.185227125894814
15,principio,15.049259016388024
16,appunto,14.972022494969618
17,statue,14.607932129619662
18,qualcosa,14.579968260540292
19,mi,14.39332299709394
20,buono,13.544333114749222
21,certo,12.864881102992264
22,perfezzione,12.524404187641899
23,mie,12.151371519729715
24,chiamar,12.151371519729715
25,proporzione,12.081633241093828
26,casi,11.798022412760561
27,qualche,11.73167696648805
28,me,11.641463837379888
29,perfetto,11.487208707606365
30,solo,11.362948108885915
31,masaccio,11.196010326374108
32,intere,11.196010326374108
33,terzi,11.196010326374108
34,moto,11.196010326374108
35,colorito,10.955001730313423
36,meriteranno,10.873503068726256
37,accaduto,10.873503068726256
38,narrare,10.873503068726256
39,appoco,10.873503068726256
40,laudati,10.873503068726256
41,debbe,10.69484807238461
42,arie,10.533564613826373
43,miglioramento,10.26554554146259
44,fabbriche,10.26554554146259
45,giudizii,10.062572852509927
46,predette,10.062572852509927
47,antichi,9.933819942657703
48,migliore,9.915371402669201
49,diligentemente,9.890056112600572
50,miglior,9.648660827244198
51,progresso,9.487208707606365
52,migliorato,9.487208707606365
53,chiamo,9.487208707606365
54,seguiti,9.487208707606365
55,nino,9.487208707606365
56,invenzione,9.269587417515009
57,cupola,9.256128831598952
58,furon,9.116568784694273
59,fecesi,9.040921604977946
60,ebbono,8.983213496981772
61,esse,8.983213496981772
62,aiuto,8.714619985366586
63,proemio,8.676278491390036
64,autori,8.676278491390036
65,considererà,8.676278491390036
66,età,8.576510094783945
67,natura,8.522211081664436
68,istoria,8.502185546756234
69,investigando,8.36797713173552
70,lecito,8.36797713173552
71,augumento,8.36797713173552
72,ad,8.30979951935894
73,esser,8.30979951935894
74,quegli,8.262809502224336
75,perfetta,8.186103999782755
76,moti,8.100914346486476
77,ornate,8.100914346486476
78,modi,8.076099402999048
79,fiore,7.947055954126163
80,colore,7.90017346036978
81,architetti,7.90017346036978
82,richiedeva,7.865348275173708
83,nientedimeno,7.865348275173708
84,sino,7.865348275173708
85,quercia,7.654627243858055
86,sfuggire,7.654627243858055
87,potuto,7.641564038987867
88,cornici,7.639139329400891
89,scultura,7.583168841303257
90,lode,7.524629508194012
91,lontane,7.464006884249406
92,similitudine,7.464006884249406
93,dire,7.379691823827751
94,panni,7.357757095098729
95,fantasie,7.32305778242741
96,partiti,7.289984130270146
97,lanterna,7.289984130270146
98,delli,7.289984130270146
99,negli,7.176687289919116
100,nostri,7.144373172277558
101,osservato,7.1298987149230735
102,scultori,7.106095797688534
103,fabriche,7.106095797688534
104,belle,6.9248329327991165
105,scrittori,6.843697027641727
106,ragionevolmente,6.843697027641727
107,presi,6.843697027641727
108,sanese,6.839253339639045
109,potere,6.776093112045548
110,naturali,6.776093112045548
111,opre,6.714619985366585
112,muscoli,6.714619985366585
113,feciono,6.71423525043734
114,intenzione,6.593370741733715
