,term,score
0,regola,17.966426993963545
1,certa,14.353374579838231
2,retti,14.230813061409549
3,ci,13.67850667927809
4,elle,12.52108468253114
5,colori,11.567933303114069
6,noi,11.398755566065075
7,misura,11.190776818991477
8,mancava,11.050411539746397
9,membra,11.050411539746397
10,corpi,10.914805333043674
11,facile,10.914805333043674
12,famosissimi,10.873503068726256
13,visibili,10.062572852509927
14,vedi,9.487208707606365
15,perfezzione,9.393303140731424
16,difficoltà,9.040921604977946
17,impossibile,8.733068670164617
18,gagliardezza,8.676278491390036
19,dolcezza,8.393082614243607
20,celebrate,8.36797713173552
21,fussino,8.186103999782755
22,edificii,8.100914346486476
23,tagliente,8.100914346486476
24,antichi,7.947055954126163
25,fronte,7.865348275173708
26,vite,7.810614570920736
27,maestri,7.775938682098453
28,giusta,7.654627243858055
29,eglino,7.4769376655900635
30,terza,7.32305778242741
31,fini,7.289984130270146
32,bellezze,7.289984130270146
33,verrocchio,7.1298987149230735
34,leggiadria,7.1298987149230735
35,tien,7.1298987149230735
36,premii,7.1298987149230735
37,oltra,7.106095797688534
38,natura,7.101842568053697
39,minuzie,6.981682770615629
40,vivi,6.903771955301935
41,secolo,6.843697027641727
42,naturali,6.776093112045548
43,arti,6.702205674678263
44,abbiamo,6.593370741733715
45,esprimere,6.593370741733715
46,errori,6.593370741733715
47,perfette,6.479053914053818
48,qui,6.367696589071807
49,simile,6.304087293290131
50,vinci,6.170752554399301
51,secca,6.170752554399301
52,occhi,6.157083813052061
53,quelli,6.0989141157399285
54,andrea,6.0989141157399285
55,graziosa,5.988808997987848
56,genere,5.988808997987848
57,potesse,5.820731918689944
58,son,5.7311730292409
59,scultura,5.687376630977443
60,moderne,5.668123697837489
61,misure,5.668123697837489
62,femmine,5.668123697837489
63,mettere,5.601656513645274
64,facevano,5.601656513645274
65,dall,5.574801066114312
66,estrema,5.457402666521837
67,sfilando,5.436751534363128
68,citate,5.436751534363128
69,assoluta,5.436751534363128
70,trovaron,5.436751534363128
71,mazzola,5.436751534363128
72,cambiasse,5.436751534363128
73,stupirà,5.436751534363128
74,intrigati,5.436751534363128
75,cominciassino,5.436751534363128
76,disusata,5.436751534363128
77,sollevare,5.436751534363128
78,discorrer,5.436751534363128
79,dimostrarono,5.436751534363128
80,affermisi,5.436751534363128
81,bravezza,5.436751534363128
82,avegna,5.436751534363128
83,modeste,5.436751534363128
84,assolutamente,5.436751534363128
85,signorello,5.436751534363128
86,provocati,5.436751534363128
87,famosissime,5.436751534363128
88,arteficiate,5.436751534363128
89,spiacevoli,5.436751534363128
90,notissimi,5.436751534363128
91,cominceremo,5.436751534363128
92,nominai,5.436751534363128
93,finissino,5.436751534363128
