,term,score
0,polidoro,78.08650642251033
1,maturino,35.394067238281686
2,fecero,32.865005190940266
3,facciata,20.644627857250633
4,eglino,14.953875331180127
5,copia,13.320814060616735
6,fortuna,12.957640808225712
7,messina,12.55196569760328
8,tal,12.52108468253114
9,sacrifizii,11.798022412760561
10,fuga,11.196010326374108
11,fregio,11.089378547474634
12,garzone,10.93497619540522
13,niobe,10.873503068726256
14,bellissime,10.81451865376751
15,continuo,10.79803400685476
16,lavorate,10.63913932940089
17,vicino,10.562705174736312
18,paesi,10.434237235442616
19,stessa,10.414152761227648
20,ponte,10.347278521883272
21,bronzo,10.177770763504865
22,bellezza,10.123484750596543
23,dormiva,10.062572852509927
24,graffito,10.062572852509927
25,caravaggio,9.487208707606365
26,savella,9.487208707606365
27,muzio,9.487208707606365
28,fanciulli,9.474794396918044
29,danari,9.33609418940879
30,partire,9.256128831598952
31,tanti,9.197196368873412
32,infinita,9.11900445285206
33,cavallo,9.062053006933814
34,toro,9.040921604977946
35,porsena,9.040921604977946
36,costumavano,8.676278491390036
37,su,8.631304996163578
38,essi,8.615897338294102
39,lavorarono,8.615406530704774
40,premio,8.615406530704774
41,minerva,8.615406530704774
42,poté,8.563658673435196
43,natura,8.522211081664436
44,istoria,8.502185546756234
45,aspettavano,8.36797713173552
46,romane,8.36797713173552
47,marzio,8.36797713173552
48,contrafatti,8.36797713173552
49,logge,8.287808654809798
50,ingegno,8.155284542744454
51,tributi,8.100914346486476
52,pulidoro,8.100914346486476
53,unitamente,8.100914346486476
54,scuro,8.011057319511927
55,colorite,7.99248843637004
56,antichi,7.947055954126163
57,antiche,7.947055954126163
58,condotte,7.884062526253606
59,amata,7.865348275173708
60,vendetta,7.865348275173708
61,romolo,7.865348275173708
62,quivi,7.700824382128429
63,laonde,7.583168841303257
64,conte,7.4769376655900635
65,eustachio,7.464006884249406
66,orazio,7.464006884249406
67,rappresentano,7.464006884249406
68,chiaro,7.412930383628073
69,giardino,7.3990112063802815
70,infinità,7.3990112063802815
71,salvestro,7.289984130270146
72,camillo,7.289984130270146
73,sacrifizio,7.289984130270146
74,tevere,7.289984130270146
75,calzari,7.289984130270146
76,volontà,7.248979944656297
77,talmente,7.176687289919116
