,term,score
0,raffaellino,15.09385927876489
1,raffaello,14.715514190197458
2,diligenzia,11.64409156021949
3,capponi,10.26554554146259
4,peggiorando,9.487208707606365
5,abate,9.402499324107247
6,gioventù,9.256128831598952
7,espettazione,9.040921604977946
8,principii,8.952313667249786
9,bolo,8.676278491390036
10,vilissimo,8.676278491390036
11,figliolo,8.676278491390036
12,duo,8.676278491390036
13,pratiche,7.865348275173708
14,gualberto,7.865348275173708
15,garbo,7.654627243858055
16,drentovi,7.654627243858055
17,salvi,7.654627243858055
18,cestello,7.464006884249406
19,pietà,6.776093112045548
20,doppo,6.170752554399301
21,fregiature,6.170752554399301
22,grave,6.077712523129515
23,filippo,5.644210418621144
24,begli,5.525205769873199
25,ridusse,5.525205769873199
26,dua,5.525205769873199
27,fresco,5.505234095266835
28,sé,5.436856361829635
29,galieno,5.436751534363128
30,vergognava,5.436751534363128
31,subdiacono,5.436751534363128
32,sforzassero,5.436751534363128
33,punteggiar,5.436751534363128
34,spettazione,5.436751534363128
35,sovragiunto,5.436751534363128
36,declinò,5.436751534363128
37,puntorno,5.436751534363128
38,impoverito,5.436751534363128
39,usitato,5.436751534363128
40,vapore,5.436751534363128
41,iudizii,5.436751534363128
42,avilito,5.436751534363128
43,ricamavano,5.436751534363128
44,incognite,5.436751534363128
45,annoverava,5.436751534363128
46,mdiiii,5.436751534363128
47,artificiali,5.436751534363128
48,vilissima,5.436751534363128
49,meccanico,5.436751534363128
50,sgraziato,5.436751534363128
51,trasmutò,5.436751534363128
52,dimenticando,5.436751534363128
53,lassandovi,5.436751534363128
54,avvilì,5.436751534363128
55,peggiorato,5.436751534363128
56,rindolcì,5.436751534363128
57,ricamavono,5.436751534363128
58,veda,5.436751534363128
59,tavole,5.319569664700445
60,famiglia,5.281352587368156
61,olio,5.206348680751905
62,chiese,5.149101306867319
63,oro,5.0972457482392795
64,lumeggiati,5.0312864262549635
65,cappelluccia,5.0312864262549635
66,paramenti,5.0312864262549635
67,saziando,5.0312864262549635
68,parati,5.0312864262549635
69,vezzi,5.0312864262549635
