,term,score
0,raffaello,191.30168447256696
1,pietro,44.97913436591856
2,bellezza,42.18118646081893
3,cardinale,35.86195898104179
4,oltra,35.53047898844267
5,storia,34.08884432665774
6,giulio,32.47664716569844
7,testa,31.850884731574784
8,cielo,31.18398455862774
9,mostra,29.972805357023184
10,urbino,29.565234473451024
11,monte,29.518767295311005
12,èvvi,28.20749797232174
13,michelagnolo,26.987480619551135
14,rafaello,25.15643213127482
15,leone,24.178803904186225
16,certo,24.121652068110496
17,arie,23.70052038110934
18,aria,23.295868347758855
19,divinità,22.392020652748215
20,finestra,22.381553637982954
21,bramante,22.29821815029643
22,artefice,22.030407628657798
23,stampe,21.939165089583575
24,quadro,21.934216959625843
25,eliodoro,21.747006137452512
26,raphael,21.747006137452512
27,grandezza,21.433119516832676
28,leon,21.38969614476922
29,cagione,21.170997654419683
30,tal,20.868474470885232
31,tale,20.868474470885232
32,ad,20.77449879839735
33,sé,20.38821135686113
34,pare,20.352156804918085
35,degli,19.952125242250286
36,natura,19.88515919055035
37,femmine,19.83843294243121
38,mani,19.821470876154766
39,cappella,19.759597810791703
40,poteva,18.559722042760328
41,occhi,18.471251439156184
42,messa,18.471251439156184
43,attitudine,18.433738074196153
44,vivi,18.410058547471827
45,lionardo,18.410058547471827
46,persona,18.296742347219784
47,colorito,18.258336217189036
48,prigione,18.233137569388546
49,ritratti,18.178180904893537
50,elevata,18.081843209955892
51,affetto,17.966426993963545
52,quattro,17.94203672032125
53,pontificale,17.824746787307685
54,figliuolo,17.780422141629128
55,fa,17.669783175946314
56,perugia,17.632865615951943
57,modestia,17.454206926539072
58,santi,17.452643259183766
59,teologia,17.352556982780072
60,lumi,17.26435948155399
61,fuoco,17.12731734687039
62,putto,16.98052423752482
63,faccia,16.67909336316316
64,bellissimo,16.61959903871788
65,costumi,16.580890194606578
66,figura,16.554184918026827
67,cartone,16.37220799956551
68,meno,16.34058597359871
69,animali,16.262653576069276
70,astrologia,16.201828692972953
71,notte,16.108801229037848
72,tenuta,16.08110137874033
73,volto,15.810883928106279
74,sino,15.730696550347416
75,co,15.621229141841471
76,pittori,15.551877364196907
77,infiniti,15.521951783173183
78,grandissima,15.427619858318064
79,son,15.283128077975734
80,viso,15.278278658801781
81,sedere,15.250584974391526
82,teste,15.247285289349822
83,atque,15.09385927876489
84,dottori,14.972022494969618
85,guarda,14.972022494969618
86,mostrare,14.937750703054064
87,est,14.928013768498811
88,colori,14.873057104003804
89,apostoli,14.715514190197458
90,verso,14.670801401335275
91,ignudi,14.64611556485482
92,dèi,14.579968260540292
93,incendio,14.579968260540292
94,sala,14.499284811094103
95,capo,14.499284811094103
96,su,14.385508326939298
97,viva,14.353374579838231
98,certa,14.353374579838231
99,torcia,14.230813061409549
100,caratteri,14.230813061409549
101,importi,14.230813061409549
102,perfezzione,14.089954711097135
103,carpi,13.963365541231259
104,dall,13.93700266528578
105,conosce,13.907347919720785
106,madre,13.907347919720785
107,belle,13.849665865598233
108,amore,13.785435741270563
109,noi,13.67850667927809
110,vestito,13.643506666304592
111,palermo,13.561382407466919
112,beata,13.561382407466919
113,china,13.561382407466919
114,ancor,13.456527540240938
115,scorge,13.42923997073317
116,fosse,13.320814060616735
117,lume,13.307254256969562
118,vive,13.188438493192486
119,esprimere,13.18674148346743
120,armati,13.18674148346743
121,ti,13.18674148346743
122,putti,13.169824310116002
123,men,13.166955767282966
124,imitare,13.166955767282966
125,aiuto,13.071929978049878
126,varie,12.876074916422777
127,venerazione,12.872753267168298
128,suole,12.741838943026533
129,pelle,12.741838943026533
130,eredi,12.731898882334818
131,ora,12.692831461224557
132,innanzi,12.68687420970734
133,parti,12.608174586580262
134,parnaso,12.55196569760328
135,vari,12.55196569760328
136,botti,12.55196569760328
137,portano,12.536665765476329
138,ombra,12.536665765476329
139,mare,12.461562775983438
140,ii,12.341505108798602
141,stima,12.341505108798602
142,nuovo,12.323156037192364
143,difficultà,12.314167626104123
144,diede,12.309523021127857
145,veggono,12.205096304045684
146,quelli,12.197828231479857
147,giove,12.15542504625903
148,patire,12.151371519729715
149,ambe,12.151371519729715
150,agostino,12.062256273611743
151,nessuno,12.01658597926789
152,celeste,11.977617995975695
153,cercando,11.977617995975695
154,medici,11.961357813547501
155,negli,11.961145483198525
156,dello,11.810732209029299
157,vivo,11.807506918124401
158,particularmente,11.807379538300513
159,fronte,11.798022412760561
160,forza,11.733068670164617
161,siena,11.733068670164617
162,grandissimo,11.656559043689338
163,panno,11.64409156021949
