,term,score
0,ridolfo,113.7873709617691
1,nunziata,20.027643298779818
2,dipinse,19.268319333433922
3,davit,18.512257663197904
4,benedetto,17.739140684070613
5,davitte,16.201828692972953
6,romualdo,15.730696550347416
7,musaico,14.17030924459372
8,quadro,13.497979667462056
9,camaldoli,13.479557552189636
10,battista,12.735393178143614
11,madonna,12.692831461224557
12,cioè,11.508406661551438
13,domenico,11.508406661551438
14,compagnia,11.220087169685865
15,fresco,11.01046819053367
16,michele,10.955001730313423
17,matio,10.873503068726256
18,ceraiolo,10.873503068726256
19,bonafé,10.873503068726256
20,tavole,10.63913932940089
21,duca,10.19948916322817
22,prato,10.075923209115397
23,angeli,10.06985582885751
24,ripoli,10.062572852509927
25,santi,9.519623595918418
26,orto,9.382836324019248
27,novella,9.292944900611015
28,fecero,9.129168108594518
29,divenir,9.040921604977946
30,seggiola,9.040921604977946
31,monaci,8.995826873183713
32,amato,8.952313667249786
33,monache,8.952313667249786
34,sull,8.855534653725385
35,zio,8.733068670164617
36,zanobi,8.733068670164617
37,risuscitare,8.676278491390036
38,avenga,8.676278491390036
39,lorenzo,8.576510094783945
40,piazza,8.377757093347828
41,ghirlandai,8.36797713173552
42,monasterio,8.347389788354093
43,capella,8.150445222964041
44,crucifisso,8.011057319511927
45,felicita,7.865348275173708
46,annunzia,7.865348275173708
47,bottega,7.810614570920736
48,francia,7.760975891586591
49,iacopo,7.6738943239424176
50,vetri,7.654627243858055
51,medici,7.475848633467188
52,cestello,7.464006884249406
53,trovata,7.464006884249406
54,fratello,7.357757095098729
55,padre,7.285349402305837
56,testa,7.238837438994269
57,credi,6.981682770615629
58,apparati,6.981682770615629
59,dipinsero,6.714619985366585
60,simili,6.702205674678263
61,venuta,6.653627128484781
62,bastiano,6.594219246596243
63,costumato,6.479053914053818
64,ginocchioni,6.478820404112856
65,però,6.476156833624894
66,discepolo,6.476156833624894
67,altar,6.432440551496132
68,quadri,6.389196887079271
69,carlo,6.367696589071807
70,amò,6.268332882738164
71,dio,6.2622020938209495
72,fanciullo,6.26054234126557
73,teste,6.0989141157399285
74,dietro,6.0989141157399285
75,franco,6.077712523129515
76,figura,6.019703606555209
77,garzoni,5.988808997987848
78,ancor,5.9806789067737505
79,chiamato,5.903753459062201
80,gliene,5.903689769150256
81,andò,5.828279521844669
