,term,score
0,sandro,85.71381964253828
1,biagio,25.483677886053066
2,cappucci,21.747006137452512
3,angeli,15.824059159633228
4,cittadino,14.64611556485482
5,botticello,11.798022412760561
6,mercatata,10.873503068726256
7,tondo,10.339076805952923
8,matteo,10.075923209115397
9,eresia,10.062572852509927
10,novella,9.292944900611015
11,medici,8.971018360160626
12,disse,8.865949441167409
13,cieli,8.36797713173552
14,fabio,7.865348275173708
15,bottega,7.810614570920736
16,burla,7.654627243858055
17,vespucci,7.654627243858055
18,alzando,7.464006884249406
19,io,7.192754163469649
20,lorenzo,7.147091745653286
21,cappella,7.056999218139895
22,stampa,6.981682770615629
23,fiorini,6.981682770615629
24,drappo,6.843697027641727
25,cosimo,6.655962385073959
26,opinione,6.593370741733715
27,leggere,6.593370741733715
28,magi,6.422744005076397
29,ghirlandaio,6.370919471513266
30,dante,6.370919471513266
31,madonna,6.346415730612279
32,segni,6.268332882738164
33,èvvi,6.268332882738164
34,pose,6.057074552249286
35,fuor,5.9806789067737505
36,coro,5.866534335082308
37,seco,5.866534335082308
38,me,5.820731918689944
39,otto,5.7756182865963215
40,lavorarono,5.743604353803183
41,son,5.7311730292409
42,sei,5.687376630977443
43,dimostra,5.5953884094957385
44,banda,5.5596977877210545
45,ad,5.539866346239293
46,venere,5.525205769873199
47,dipinse,5.505234095266835
48,voleva,5.477500865156712
49,cervello,5.457402666521837
50,tu,5.457402666521837
51,raccontasi,5.436751534363128
52,dignus,5.436751534363128
53,parva,5.436751534363128
54,finitissima,5.436751534363128
55,accusatore,5.436751534363128
56,dannarla,5.436751534363128
57,onesti,5.436751534363128
58,sfondare,5.436751534363128
59,monet,5.436751534363128
60,carrata,5.436751534363128
61,sofistica,5.436751534363128
62,continova,5.436751534363128
63,quemquam,5.436751534363128
64,capogiroli,5.436751534363128
65,istinghino,5.436751534363128
66,partigiano,5.436751534363128
67,barnabà,5.436751534363128
68,distinto,5.436751534363128
69,taceva,5.436751534363128
70,intensissimo,5.436751534363128
71,baciando,5.436751534363128
72,piagnone,5.436751534363128
73,ricidano,5.436751534363128
74,laedere,5.436751534363128
75,instruire,5.436751534363128
76,stravaganzie,5.436751534363128
77,dannogli,5.436751534363128
78,impagliata,5.436751534363128
79,comenta,5.436751534363128
80,competente,5.436751534363128
81,epicurei,5.436751534363128
82,aegypti,5.436751534363128
83,seminato,5.436751534363128
84,epifania,5.436751534363128
85,annoveri,5.436751534363128
86,madianite,5.436751534363128
87,struggendosi,5.436751534363128
88,dinotando,5.436751534363128
89,tentent,5.436751534363128
90,olive,5.436751534363128
91,invaghitosi,5.436751534363128
92,assegna,5.436751534363128
93,rimediasse,5.436751534363128
94,figlie,5.436751534363128
95,indicio,5.436751534363128
96,palmieri,5.436751534363128
97,stassera,5.436751534363128
98,inchinazione,5.436751534363128
99,tabella,5.436751534363128
100,insegnolli,5.436751534363128
101,calcole,5.436751534363128
102,investigazione,5.436751534363128
103,tramezzare,5.436751534363128
104,sensate,5.436751534363128
105,nastagio,5.436751534363128
106,filipepi,5.436751534363128
107,insegnarsi,5.436751534363128
108,ponghino,5.436751534363128
109,accommodarono,5.436751534363128
110,precipitò,5.436751534363128
111,vicinanza,5.436751534363128
112,tessidore,5.436751534363128
113,pive,5.436751534363128
114,dimattina,5.436751534363128
115,dettratori,5.436751534363128
116,malivoli,5.436751534363128
117,reges,5.436751534363128
118,adorandolo,5.436751534363128
119,telaia,5.436751534363128
120,destrutti,5.436751534363128
121,scopertala,5.436751534363128
122,buttavano,5.436751534363128
123,ingegnarono,5.436751534363128
124,astratte,5.436751534363128
125,eccoti,5.436751534363128
126,huic,5.436751534363128
127,mentova,5.436751534363128
128,billico,5.436751534363128
129,telai,5.436751534363128
130,assordare,5.436751534363128
131,zone,5.436751534363128
132,similem,5.436751534363128
133,ricorrendo,5.436751534363128
134,affezionati,5.436751534363128
135,disutile,5.436751534363128
136,appicarla,5.436751534363128
137,ietro,5.436751534363128
138,uso,5.397496123910227
139,piaceva,5.391823020875854
140,alto,5.358279879208169
141,vicino,5.281352587368156
142,qua,5.2667823069131865
143,amore,5.169538402976461
144,grazie,5.092759552933927
145,mio,5.092759552933927
146,poteva,5.061742375298271
147,sovvenuto,5.0312864262549635
148,terrarum,5.0312864262549635
149,cognobbe,5.0312864262549635
150,altissime,5.0312864262549635
151,cotesto,5.0312864262549635
152,volgersi,5.0312864262549635
153,mordenti,5.0312864262549635
154,apprendesse,5.0312864262549635
155,rizzò,5.0312864262549635
156,accusò,5.0312864262549635
157,compera,5.0312864262549635
158,girate,5.0312864262549635
159,conclusione,5.0312864262549635
160,mordente,5.0312864262549635
161,eretico,5.0312864262549635
162,conseguita,5.0312864262549635
163,bronconi,5.0312864262549635
164,munere,5.0312864262549635
165,decrepito,5.0312864262549635
166,accusato,5.0312864262549635
167,sacrificando,5.0312864262549635
168,cogitazione,5.0312864262549635
169,mutata,5.0312864262549635
170,messia,5.0312864262549635
171,renda,5.0312864262549635
172,inquieto,5.0312864262549635
173,baldachino,5.0312864262549635
174,donavit,5.0312864262549635
175,munus,5.0312864262549635
176,inamorata,5.0312864262549635
177,regi,5.0312864262549635
178,rex,5.0312864262549635
179,venni,5.0312864262549635
180,necessitato,5.0312864262549635
181,gerarchie,5.0312864262549635
182,diviò,5.0312864262549635
183,trascuratagine,5.0312864262549635
184,venderlo,5.0312864262549635
185,vedremo,5.0312864262549635
186,accordi,5.0312864262549635
187,volle,4.957685701334601
188,potendo,4.932674137586854
189,veggono,4.882038521618274
190,mise,4.824330413622099
191,quadri,4.7918976653094525
192,povero,4.78445819327941
193,piccole,4.759811797959209
194,santi,4.759811797959209
195,fioriscono,4.743604353803183
196,ribattimento,4.743604353803183
197,infrascritte,4.743604353803183
198,litterato,4.743604353803183
199,comentò,4.743604353803183
200,comprende,4.743604353803183
201,aure,4.743604353803183
202,ostinato,4.743604353803183
203,apelles,4.743604353803183
204,aron,4.743604353803183
205,mirabilissima,4.743604353803183
206,comparso,4.743604353803183
207,eo,4.743604353803183
208,scusarsi,4.743604353803183
209,calunnia,4.743604353803183
210,confessi,4.743604353803183
211,drapperie,4.743604353803183
212,acutissima,4.743604353803183
213,egizzio,4.743604353803183
214,mazze,4.743604353803183
215,abbandonando,4.743604353803183
216,ricignimento,4.743604353803183
217,carta,4.737397198459022
218,teste,4.574185586804946
219,persona,4.574185586804946
220,anima,4.55950222642603
221,chiusi,4.520460802488973
222,profonda,4.520460802488973
223,tenerezza,4.520460802488973
224,confessori,4.520460802488973
225,servidori,4.520460802488973
226,volendola,4.520460802488973
227,cavarne,4.520460802488973
228,spedaletto,4.520460802488973
229,impaurito,4.520460802488973
230,convertite,4.520460802488973
231,divenisse,4.520460802488973
232,settantotto,4.520460802488973
233,sopradetto,4.520460802488973
234,mostrino,4.520460802488973
235,comparendo,4.520460802488973
236,scorci,4.520460802488973
237,conservi,4.520460802488973
238,movesse,4.520460802488973
239,gravemente,4.520460802488973
240,tra,4.476156833624893
241,vivo,4.42781509429665
242,padre,4.371209641383501
243,colui,4.357309992683293
244,giuliano,4.357309992683293
245,stata,4.343302463396562
246,avevano,4.343302463396562
247,infastidito,4.338139245695018
248,tetti,4.338139245695018
249,dimostrato,4.338139245695018
250,disordini,4.338139245695018
251,salva,4.338139245695018
252,1515,4.338139245695018
253,partissi,4.338139245695018
254,chinata,4.338139245695018
255,pallade,4.338139245695018
256,inginocchiato,4.338139245695018
257,barile,4.338139245695018
258,falso,4.338139245695018
259,rossellino,4.338139245695018
260,averà,4.338139245695018
261,panciatichi,4.338139245695018
262,vegga,4.338139245695018
263,fecion,4.338139245695018
264,descrivere,4.338139245695018
265,varchi,4.338139245695018
266,fiorì,4.338139245695018
267,tremare,4.338139245695018
268,allato,4.319213602741904
269,fuoco,4.281829336717598
270,pareva,4.245131059381205
271,sapeva,4.245131059381205
272,abbaco,4.18398856586776
