,term,score
0,sebastiano,139.88471023739345
1,michelagnolo,35.98330749273485
2,raffaello,27.591589106620233
3,bastiano,21.98073082198748
4,cardinale,17.930979490520894
5,giorgione,17.824746787307685
6,frate,16.41889016813883
7,olio,15.619046042255713
8,quadro,15.185227125894814
9,montorio,14.259797429846147
10,vasona,14.230813061409549
11,cappella,14.11399843627979
12,piombo,13.988471023739347
13,contrario,12.731898882334818
14,clemente,12.314167626104123
15,chigi,12.151371519729715
16,liberalità,11.977617995975695
17,prìncipi,11.481940865787083
18,pietra,11.4623460584818
19,ritrasse,11.256770965118232
20,peperigni,10.873503068726256
21,verdelotto,10.873503068726256
22,colonna,10.347278521883272
23,agostino,10.339076805952923
24,vinegia,10.26554554146259
25,gonzaga,10.26554554146259
26,testa,10.134372414591976
27,quest,10.123484750596543
28,antonfrancesco,10.062572852509927
29,ufficio,9.718580871080727
30,francia,9.701219864483239
31,presto,9.665306592875062
32,arricciato,9.487208707606365
33,infino,9.474794396918044
34,voleva,9.129168108594518
35,colorito,9.129168108594518
36,sanese,9.11900445285206
37,riduceva,9.040921604977946
38,agostin,9.040921604977946
39,incrostatura,9.040921604977946
40,anche,9.034790816060731
41,colorire,8.952313667249786
42,mandò,8.930466465346948
43,fuoco,8.563658673435196
44,cercò,8.502185546756234
45,grandissima,8.415065377264398
46,penò,8.36797713173552
47,fatica,8.262809502224336
48,fresco,8.257851142900252
49,lavorare,8.206348680751905
50,guardaroba,8.186103999782755
51,durava,8.100914346486476
52,farla,7.99248843637004
53,urbino,7.884062526253606
54,parti,7.8801091166126636
55,valori,7.865348275173708
56,ottaviano,7.810614570920736
57,settimo,7.810614570920736
58,muro,7.760975891586591
59,sorti,7.723651960300979
60,vivere,7.700824382128429
61,fatiche,7.6738943239424176
62,archetti,7.654627243858055
63,giulio,7.641564038987867
64,stette,7.641564038987867
65,avea,7.583168841303257
66,medici,7.475848633467188
67,comunche,7.464006884249406
68,faccia,7.412930383628073
69,lodato,7.357757095098729
70,signora,7.32305778242741
71,fiorentino,7.285349402305837
72,viterbo,7.1298987149230735
73,premii,7.1298987149230735
74,gara,7.1298987149230735
75,gliela,7.1298987149230735
76,cominciò,7.041803449824208
77,virtuosi,7.037127243014436
78,baccio,7.037127243014436
79,vescovo,6.991488320996767
80,dicevano,6.981682770615629
81,trasfigurazione,6.981682770615629
82,troppo,6.941798241002539
83,potessero,6.843697027641727
84,annoverare,6.843697027641727
85,pietre,6.776093112045548
86,differenza,6.593370741733715
87,udine,6.593370741733715
88,giovan,6.535964989024939
89,liuto,6.479053914053818
90,onori,6.479053914053818
91,trovar,6.479053914053818
92,dipignere,6.432440551496132
93,subito,6.422744005076397
94,signor,6.389196887079271
95,mercante,6.370919471513266
96,prudenza,6.370919471513266
97,pareva,6.367696589071807
98,battuto,6.268332882738164
99,baldassarre,6.268332882738164
100,acconciò,6.170752554399301
101,mese,6.170752554399301
102,barba,6.170752554399301
103,doppo,6.170752554399301
104,eccellentissimo,6.106662458102919
105,venivano,6.077712523129515
106,regola,5.988808997987848
107,finite,5.960291965594622
108,vivo,5.903753459062201
109,comune,5.903689769150256
110,universalmente,5.903689769150256
111,calcina,5.903689769150256
112,popolo,5.866534335082308
113,dipinto,5.866534335082308
114,prese,5.866534335082308
115,finita,5.865838483244025
116,openione,5.822045780109745
117,panno,5.822045780109745
118,spesso,5.820731918689944
119,dipinta,5.820731918689944
120,portata,5.743604353803183
121,storia,5.681474054442957
122,condusse,5.6455993745119155
123,finiti,5.5953884094957385
124,murata,5.525205769873199
125,questi,5.47089912050127
126,serviva,5.457402666521837
127,farnese,5.457402666521837
128,giorni,5.437231804160289
129,seppero,5.436751534363128
130,inganni,5.436751534363128
131,ubretto,5.436751534363128
132,distribuito,5.436751534363128
133,sfilata,5.436751534363128
134,invecchiassero,5.436751534363128
135,nerissima,5.436751534363128
136,baldessarre,5.436751534363128
137,nerbona,5.436751534363128
138,sollievano,5.436751534363128
139,destatosi,5.436751534363128
140,piacevolezze,5.436751534363128
141,disforme,5.436751534363128
142,andrà,5.436751534363128
143,squisito,5.436751534363128
144,paesano,5.436751534363128
145,spianare,5.436751534363128
146,ristorava,5.436751534363128
147,martirizata,5.436751534363128
148,ricignendole,5.436751534363128
149,rovente,5.436751534363128
150,minoribus,5.436751534363128
151,vezzose,5.436751534363128
152,avedrebbe,5.436751534363128
153,stracurarle,5.436751534363128
154,accusa,5.436751534363128
155,apparò,5.436751534363128
156,aiutatrice,5.436751534363128
157,segnarsi,5.436751534363128
158,trasportare,5.436751534363128
159,somigliarlo,5.436751534363128
160,mestura,5.436751534363128
161,mastice,5.436751534363128
162,laureati,5.436751534363128
163,rimunerate,5.436751534363128
164,sodisfanno,5.436751534363128
165,stromento,5.436751534363128
166,infingarde,5.436751534363128
167,scordando,5.436751534363128
168,ermisino,5.436751534363128
169,abbandonarle,5.436751534363128
170,interessi,5.436751534363128
171,infiammò,5.436751534363128
172,sonarsi,5.436751534363128
173,fodere,5.436751534363128
174,durissime,5.436751534363128
175,acconciandosi,5.436751534363128
176,abbondanze,5.436751534363128
177,tosco,5.436751534363128
178,aquilea,5.436751534363128
179,diventassero,5.436751534363128
180,verun,5.436751534363128
181,cantore,5.436751534363128
182,bolognetti,5.436751534363128
183,diventassino,5.436751534363128
184,berni,5.436751534363128
185,cavai,5.436751534363128
186,nincofort,5.436751534363128
187,mordessero,5.436751534363128
188,tarli,5.436751534363128
189,aderivano,5.436751534363128
190,preziosissima,5.436751534363128
191,grisostomo,5.436751534363128
192,rasi,5.436751534363128
193,accendino,5.436751534363128
194,irresoluzione,5.436751534363128
195,arre,5.436751534363128
196,avanzarsi,5.436751534363128
197,meriterebbe,5.436751534363128
198,tacquero,5.436751534363128
199,riposando,5.436751534363128
200,bozzolo,5.436751534363128
201,fiammeggiare,5.436751534363128
202,ricevendone,5.436751534363128
203,giudicavano,5.436751534363128
204,mescola,5.436751534363128
205,negligentissimo,5.436751534363128
206,piaceva,5.391823020875854
207,nulla,5.391823020875854
208,piacevole,5.328325624246694
209,possono,5.319569664700445
210,colore,5.2667823069131865
211,servito,5.207076380613824
212,durò,5.149101306867319
213,santità,5.149101306867319
214,chiese,5.149101306867319
215,eredi,5.092759552933927
216,compagno,5.092759552933927
217,viniziano,5.037961604557698
218,neri,5.037961604557698
219,fe,5.0312864262549635
220,sanguigna,5.0312864262549635
221,sapessi,5.0312864262549635
222,incrostare,5.0312864262549635
223,vedervisi,5.0312864262549635
224,lastre,5.0312864262549635
225,contornato,5.0312864262549635
226,trattenendolo,5.0312864262549635
227,raffrenare,5.0312864262549635
228,tenebroso,5.0312864262549635
229,gandolfo,5.0312864262549635
230,pensione,5.0312864262549635
231,gratissimo,5.0312864262549635
232,magnanimi,5.0312864262549635
233,inalzate,5.0312864262549635
234,sessantadue,5.0312864262549635
235,contrafatta,5.0312864262549635
236,vini,5.0312864262549635
237,inquieto,5.0312864262549635
