,term,score
0,mosca,72.90822911837829
1,simone,63.53986635354178
2,moschino,40.25029141003971
3,intagli,27.287013332609185
4,marmo,27.088666229498443
5,pilastri,26.314520063036756
6,festoni,25.073331530952657
7,cappella,23.99379734167564
8,orvieto,21.597633940397554
9,macigno,18.512257663197904
10,condusse,16.936798123535745
11,fogliami,16.575617309619595
12,gallo,16.262653576069276
13,candellieri,16.201828692972953
14,maschere,12.958107828107636
15,lupo,12.958107828107636
16,fregiature,12.341505108798602
17,porte,12.213324916205838
18,foglie,11.64409156021949
19,antonio,11.58213990239083
20,armi,11.190776818991477
21,bernardino,11.190776818991477
22,raffaello,11.036635642648093
23,accomodare,10.93497619540522
24,farnese,10.914805333043674
25,tondo,10.339076805952923
26,uccelli,10.26554554146259
27,padre,10.19948916322817
28,cornicione,10.071929978049877
29,semi,10.062572852509927
30,vilucchi,10.062572852509927
31,bocca,9.865348275173709
32,pozzo,9.718580871080727
33,capitegli,9.556379207269899
34,pietra,9.551955048734834
35,traforate,9.487208707606365
36,festone,9.487208707606365
37,adunque,9.26616297953509
38,piante,9.256128831598952
39,girare,9.116568784694273
40,architrave,8.983213496981772
41,rilievo,8.913046894690204
42,fregio,8.871502837979708
43,cantonata,8.676278491390036
44,gualtieri,8.676278491390036
45,vasari,8.638427205483808
46,ornamento,8.631304996163578
47,magi,8.563658673435196
48,storia,8.522211081664436
49,quest,8.436237292163785
50,acquaio,8.36797713173552
51,finire,8.209445084069415
52,clemente,8.209445084069415
53,cioli,8.100914346486476
54,operai,8.087734531313782
55,cristofano,8.087734531313782
56,intaglio,8.087734531313782
57,saputo,7.99248843637004
58,sepoltura,7.8801091166126636
59,tiberio,7.865348275173708
60,castellano,7.865348275173708
61,santità,7.723651960300979
62,arezzo,7.700824382128429
63,cornici,7.639139329400891
64,eredi,7.639139329400891
65,ornamenti,7.524629508194012
66,gigante,7.464006884249406
67,intagliatori,7.464006884249406
68,lavori,7.412930383628073
69,monte,7.379691823827751
70,servire,7.32305778242741
71,voleva,7.303334486875615
72,cioè,7.192754163469649
73,larghi,7.1298987149230735
74,facea,7.1298987149230735
75,viterbo,7.1298987149230735
76,possano,7.1298987149230735
77,accomodò,7.1298987149230735
78,particolare,7.106095797688534
79,fabriche,7.106095797688534
80,eccellenza,7.092759552933927
81,arme,7.092759552933927
82,famiglia,7.041803449824208
83,capitelli,6.981682770615629
84,scarpello,6.981682770615629
85,duomo,6.941798241002539
86,ordinò,6.903771955301935
87,1550,6.843697027641727
88,palle,6.843697027641727
89,lavorare,6.838623900626587
90,giorgio,6.79632766431904
91,ripieno,6.714619985366585
92,intagliare,6.714619985366585
93,case,6.702205674678263
94,bellissimi,6.610247601779468
95,adorazione,6.479053914053818
96,quegl,6.479053914053818
97,frontespizio,6.370919471513266
98,trofei,6.370919471513266
99,antica,6.367696589071807
100,facendo,6.346415730612279
101,venne,6.304087293290131
102,paulo,6.304087293290131
103,simon,6.268332882738164
104,continuando,6.268332882738164
105,visitazione,6.268332882738164
106,pellegrino,6.268332882738164
107,mettendo,6.268332882738164
108,statue,6.26054234126557
109,condurre,6.208367113129963
110,difficultà,6.157083813052061
111,andava,6.106662458102919
112,gira,6.077712523129515
113,piacendo,6.077712523129515
114,faceva,6.059112792327256
115,cura,5.960291965594622
116,comune,5.903689769150256
117,avendolo,5.903689769150256
118,base,5.903689769150256
119,disegnava,5.822045780109745
120,impossibile,5.822045780109745
121,bello,5.791069951195415
122,passò,5.7756182865963215
123,facesse,5.754203330775719
124,fé,5.743604353803183
125,sarebbono,5.743604353803183
126,son,5.7311730292409
127,dato,5.610043584842932
128,buon,5.574801066114312
129,ad,5.539866346239293
130,grottesche,5.525205769873199
131,imperfetto,5.525205769873199
132,tornato,5.477500865156712
133,questi,5.47089912050127
134,figurine,5.457402666521837
135,ognuno,5.437231804160289
136,ingegno,5.436856361829635
137,scarsamente,5.436751534363128
138,giuovi,5.436751534363128
139,nepoti,5.436751534363128
140,porgendosegli,5.436751534363128
141,turcassi,5.436751534363128
142,mitra,5.436751534363128
143,staccate,5.436751534363128
144,aricchiscono,5.436751534363128
145,riscontrando,5.436751534363128
146,moverla,5.436751534363128
147,sobisso,5.436751534363128
148,fogliame,5.436751534363128
149,abondanti,5.436751534363128
150,squadratori,5.436751534363128
151,avede,5.436751534363128
152,corniciame,5.436751534363128
153,stripicciano,5.436751534363128
154,dovendone,5.436751534363128
155,stupefare,5.436751534363128
156,remunerarlo,5.436751534363128
157,mascherine,5.436751534363128
158,subisso,5.436751534363128
159,variassono,5.436751534363128
160,mostruosa,5.436751534363128
161,intaccature,5.436751534363128
162,vincono,5.436751534363128
163,contendevano,5.436751534363128
164,fondando,5.436751534363128
165,renosiccia,5.436751534363128
166,imboccano,5.436751534363128
167,ricignendo,5.436751534363128
168,traforare,5.436751534363128
169,guidando,5.436751534363128
170,impacciasse,5.436751534363128
171,pelliceria,5.436751534363128
172,cervara,5.436751534363128
173,confondono,5.436751534363128
174,gradinato,5.436751534363128
175,commessioni,5.436751534363128
176,ricercorno,5.436751534363128
177,arco,5.397496123910227
178,graziose,5.391823020875854
179,artifizio,5.391823020875854
180,portava,5.328325624246694
181,basamento,5.328325624246694
182,architettura,5.319569664700445
183,conoscere,5.281352587368156
184,sansovino,5.2667823069131865
185,settimo,5.207076380613824
186,pilastro,5.207076380613824
187,agl,5.169538402976461
188,amore,5.169538402976461
189,disiderio,5.037961604557698
190,accumulare,5.0312864262549635
191,circoli,5.0312864262549635
192,uccegli,5.0312864262549635
193,girari,5.0312864262549635
194,pensandosi,5.0312864262549635
195,nettezza,5.0312864262549635
196,faticava,5.0312864262549635
197,giandomenico,5.0312864262549635
198,amirati,5.0312864262549635
199,importante,5.0312864262549635
200,fossombrone,5.0312864262549635
201,paiano,5.0312864262549635
202,andargli,5.0312864262549635
203,atteon,5.0312864262549635
204,accettata,5.0312864262549635
205,riguardante,5.0312864262549635
206,conducendola,5.0312864262549635
207,oprare,5.0312864262549635
208,volanti,5.0312864262549635
209,guise,5.0312864262549635
210,orvietani,5.0312864262549635
211,vettorie,5.0312864262549635
212,serragli,5.0312864262549635
213,cristofani,5.0312864262549635
214,amasse,5.0312864262549635
215,risalta,5.0312864262549635
216,spinoso,5.0312864262549635
217,geri,5.0312864262549635
218,braccia,5.0266542560086975
219,cardinal,4.932674137586854
220,verso,4.890267133778425
221,però,4.85711762521867
222,condotta,4.85711762521867
223,modelli,4.832653296437531
224,certo,4.824330413622099
225,là,4.759811797959209
226,impediti,4.743604353803183
227,rizzarsi,4.743604353803183
228,mascheroni,4.743604353803183
229,traforato,4.743604353803183
230,graziosissimi,4.743604353803183
231,licenziato,4.743604353803183
232,mascherone,4.743604353803183
233,adoperarono,4.743604353803183
234,commendata,4.743604353803183
235,rinovazione,4.743604353803183
236,orlo,4.743604353803183
237,metta,4.743604353803183
238,mangiato,4.743604353803183
239,bagna,4.743604353803183
240,prati,4.743604353803183
241,rubar,4.743604353803183
242,epitaffi,4.743604353803183
243,amano,4.743604353803183
244,inscrizioni,4.743604353803183
245,regia,4.743604353803183
246,compiaceva,4.743604353803183
247,amirato,4.743604353803183
248,palpabili,4.743604353803183
249,aviati,4.743604353803183
250,infino,4.737397198459022
251,perfezzione,4.696651570365712
252,dio,4.696651570365712
253,paiono,4.691418162009624
254,bande,4.602514636867957
255,tengono,4.602514636867957
256,ignudo,4.602514636867957
257,spalle,4.602514636867957
258,migliori,4.574185586804946
259,andrea,4.574185586804946
260,mani,4.574185586804946
261,quelli,4.574185586804946
262,cortile,4.55950222642603
263,altare,4.544334594245442
264,scarpelli,4.520460802488973
265,pietrasanta,4.520460802488973
266,prodotto,4.520460802488973
267,poterono,4.520460802488973
268,venduta,4.520460802488973
269,conferì,4.520460802488973
270,difficoltà,4.520460802488973
271,albergotti,4.520460802488973
272,58,4.520460802488973
273,virtuosissimi,4.520460802488973
274,capricciosi,4.520460802488973
275,convenuti,4.520460802488973
276,magistero,4.520460802488973
277,crudo,4.520460802488973
278,strafori,4.520460802488973
279,messolo,4.520460802488973
280,attenenti,4.520460802488973
281,termine,4.5173954080303655
282,dalle,4.485509180080313
283,quattro,4.485509180080313
284,sommo,4.435751418989854
285,operare,4.435751418989854
286,pace,4.435751418989854
287,qualche,4.399378862433019
288,mettono,4.3961461643974955
289,bastiano,4.3961461643974955
290,lasciato,4.3961461643974955
291,riuscì,4.357309992683293
292,stata,4.343302463396562
293,ispalla,4.338139245695018
294,lavoranti,4.338139245695018
295,cesis,4.338139245695018
296,togliendo,4.338139245695018
297,seguitandosi,4.338139245695018
298,targhe,4.338139245695018
299,pirro,4.338139245695018
300,angioletto,4.338139245695018
301,loreno,4.338139245695018
302,trovatolo,4.338139245695018
