,term,score
0,simone,88.40329231797118
1,lippo,29.28791996107432
2,memmi,23.718021769015913
3,ranieri,19.66337068793427
4,laura,17.352556982780072
5,petrarca,16.483426854334287
6,avignone,15.730696550347416
7,capitolo,15.621229141841471
8,arricciato,14.230813061409549
9,felici,14.230813061409549
10,fresco,11.01046819053367
11,corte,10.704573341793996
12,tempera,10.522735120939622
13,quest,10.123484750596543
14,rossaccio,10.062572852509927
15,aria,9.983943577610939
16,giotto,9.56891638655882
17,santi,9.519623595918418
18,prontamente,9.487208707606365
19,novella,9.292944900611015
20,sonar,9.040921604977946
21,tra,8.952313667249786
22,portata,8.615406530704774
23,croce,8.415065377264398
24,cominciato,8.347389788354093
25,cotale,8.287808654809798
26,romito,8.100914346486476
27,eretici,7.865348275173708
28,lupi,7.865348275173708
29,sonando,7.865348275173708
30,arnolfo,7.289984130270146
31,angeli,7.192754163469649
32,opus,7.1298987149230735
33,storia,7.101842568053697
34,sonetti,6.981682770615629
35,cavalli,6.903771955301935
36,gola,6.843697027641727
37,fa,6.796070452287044
38,ladroni,6.714619985366585
39,passione,6.594219246596243
40,comincia,6.593370741733715
41,cielo,6.5650493807637345
42,camposanto,6.479053914053818
43,altar,6.432440551496132
44,pianto,6.370919471513266
45,aiutato,6.367696589071807
46,madonna,6.346415730612279
47,cantano,6.268332882738164
48,dio,6.2622020938209495
49,invenzione,6.1797249450100065
50,ritratta,6.170752554399301
51,pisa,6.157083813052061
52,grossa,5.903689769150256
53,inclinazione,5.903689769150256
54,fama,5.828279521844669
55,portico,5.822045780109745
56,scritti,5.743604353803183
57,grandissima,5.610043584842932
58,nicola,5.5953884094957385
59,seguitato,5.525205769873199
60,amorosissimo,5.436751534363128
61,lagrimoso,5.436751534363128
62,visibilmente,5.436751534363128
63,scacciato,5.436751534363128
64,montar,5.436751534363128
65,ebber,5.436751534363128
66,memmio,5.436751534363128
67,ballar,5.436751534363128
68,fiammetta,5.436751534363128
69,convinti,5.436751534363128
70,nescius,5.436751534363128
71,eterni,5.436751534363128
72,riporta,5.436751534363128
73,pezzati,5.436751534363128
74,andarne,5.436751534363128
75,neroccio,5.436751534363128
76,offender,5.436751534363128
77,cittadineschi,5.436751534363128
78,malo,5.436751534363128
79,sovravenendogli,5.436751534363128
80,amarissimo,5.436751534363128
81,riposerà,5.436751534363128
82,traviso,5.436751534363128
83,architettor,5.436751534363128
84,ingrossar,5.436751534363128
85,recar,5.436751534363128
86,ringraziarlo,5.436751534363128
87,norma,5.436751534363128
88,tirassino,5.436751534363128
89,volar,5.436751534363128
90,scrostatosi,5.436751534363128
