,term,score
0,stefano,31.302711706327848
1,giotto,28.706749159676463
2,ugolino,17.352556982780072
3,sebbene,13.963365541231259
4,cappella,9.879798905395852
5,fresco,9.634159666716961
6,scorci,9.040921604977946
7,cominciò,8.80225431228026
8,giro,7.654627243858055
9,dovette,7.1298987149230735
10,trasfigurazione,6.981682770615629
11,chiostro,6.776093112045548
12,libera,6.268332882738164
13,disiderare,6.268332882738164
14,difficultà,6.157083813052061
15,crucifisso,6.008292989633945
16,angeli,5.754203330775719
17,tornarsene,5.743604353803183
18,tirò,5.5953884094957385
19,volti,5.525205769873199
20,apostoli,5.518317821324047
21,dipinse,5.505234095266835
22,faciundis,5.436751534363128
23,avviluppati,5.436751534363128
24,affines,5.436751534363128
25,perimus,5.436751534363128
26,rincuora,5.436751534363128
27,allusione,5.436751534363128
28,oda,5.436751534363128
29,regolata,5.436751534363128
30,epitafio,5.436751534363128
31,spagnola,5.436751534363128
32,pervenga,5.436751534363128
33,stratti,5.436751534363128
34,1349,5.436751534363128
35,colorandis,5.436751534363128
36,rinovarlo,5.436751534363128
37,lasciarla,5.436751534363128
38,abagliò,5.436751534363128
39,pos,5.436751534363128
40,strascinato,5.436751534363128
41,imaginibus,5.436751534363128
42,piovvero,5.436751534363128
43,fantasmi,5.436751534363128
44,xxxxix,5.436751534363128
45,moestiss,5.436751534363128
46,trapassando,5.436751534363128
47,mostrassono,5.436751534363128
48,indemoniata,5.436751534363128
49,imaginossi,5.436751534363128
50,attitudini,5.397496123910227
51,pilastro,5.207076380613824
52,venerazione,5.149101306867319
53,sinistra,5.149101306867319
54,figurò,5.092759552933927
55,perfettamente,5.092759552933927
56,ho,5.061742375298271
57,inferiori,5.0312864262549635
58,caparbietà,5.0312864262549635
59,lung,5.0312864262549635
60,scimia,5.0312864262549635
61,percossi,5.0312864262549635
62,orsanmichele,5.0312864262549635
63,stimasi,5.0312864262549635
64,mortorii,5.0312864262549635
65,an,5.0312864262549635
66,domine,5.0312864262549635
67,riavuto,5.0312864262549635
68,vix,5.0312864262549635
69,ricercar,5.0312864262549635
70,abagliatamente,5.0312864262549635
71,unquam,5.0312864262549635
72,giottino,5.0312864262549635
73,investigatore,5.0312864262549635
74,negocii,5.0312864262549635
75,potrebbe,4.984625110393376
76,moderni,4.984625110393376
77,mare,4.984625110393376
78,man,4.890267133778425
79,tenere,4.882038521618274
80,spirito,4.85711762521867
81,certo,4.824330413622099
82,cuce,4.743604353803183
83,attribuire,4.743604353803183
84,imaginandosi,4.743604353803183
85,visconti,4.743604353803183
86,speditosi,4.743604353803183
87,collocare,4.743604353803183
88,nos,4.743604353803183
89,stupisco,4.743604353803183
90,1346,4.743604353803183
91,scoprendosi,4.743604353803183
92,figuris,4.743604353803183
93,pictori,4.743604353803183
94,gianfigliazzi,4.743604353803183
95,49,4.743604353803183
96,riducendolo,4.743604353803183
97,orrevolmente,4.743604353803183
98,maestrevolmente,4.743604353803183
99,pare,4.696651570365712
100,forzato,4.646472450305508
101,novella,4.646472450305508
102,varietà,4.602514636867957
103,zebedeo,4.520460802488973
104,essercizii,4.520460802488973
105,nulli,4.520460802488973
106,florentino,4.520460802488973
107,ammalato,4.520460802488973
108,invecchiato,4.520460802488973
109,tentando,4.520460802488973
110,affaticati,4.520460802488973
111,anche,4.5173954080303655
