,term,score
0,taddeo,31.854597357566334
1,bartolo,13.561382407466919
2,siena,11.733068670164617
3,bartoli,11.196010326374108
4,fredi,10.873503068726256
5,operaio,10.472524155923445
6,capella,9.78053426755685
7,signoria,8.792292328794991
8,domenico,7.192754163469649
9,sacerdote,7.1298987149230735
10,gimignano,7.1298987149230735
11,tavole,7.092759552933927
12,seguì,6.981682770615629
13,tempera,6.313641072563772
14,ritornò,6.170752554399301
15,pisa,6.157083813052061
16,chiamato,5.903753459062201
17,volterra,5.668123697837489
18,fresco,5.505234095266835
19,pellegrinario,5.436751534363128
20,biroldo,5.436751534363128
21,guiderdonata,5.436751534363128
22,bartolus,5.436751534363128
23,variandole,5.436751534363128
24,1436,5.436751534363128
25,1398,5.436751534363128
26,1394,5.436751534363128
27,attiene,5.436751534363128
28,assassinò,5.436751534363128
29,discernino,5.436751534363128
30,opilativo,5.436751534363128
31,disonorato,5.436751534363128
32,signore,5.206348680751905
33,nipote,5.149101306867319
34,perugia,5.037961604557698
35,decine,5.0312864262549635
36,occorre,5.0312864262549635
37,1388,5.0312864262549635
38,1356,5.0312864262549635
39,59,5.0312864262549635
40,lanfranchi,5.0312864262549635
41,alvaro,5.0312864262549635
42,ritornatosene,5.0312864262549635
43,1410,5.0312864262549635
44,acrebbe,5.0312864262549635
45,liberalissima,5.0312864262549635
46,potette,4.78445819327941
47,composti,4.743604353803183
48,indisposizione,4.743604353803183
49,negligenza,4.743604353803183
50,magistri,4.743604353803183
51,amazzato,4.743604353803183
52,copiosità,4.743604353803183
53,trasferitosi,4.743604353803183
54,entrando,4.691418162009624
55,pieve,4.646472450305508
56,sanese,4.55950222642603
57,uliveto,4.520460802488973
58,undecimo,4.520460802488973
59,guadagnarsi,4.520460802488973
60,biasimate,4.520460802488973
61,rettamente,4.520460802488973
62,onore,4.485509180080313
63,ugolino,4.338139245695018
64,rena,4.338139245695018
65,mettendovi,4.338139245695018
66,pene,4.338139245695018
67,incoronata,4.338139245695018
68,senis,4.338139245695018
69,imitarlo,4.18398856586776
70,pinxit,4.18398856586776
71,divisione,4.18398856586776
72,dipinse,4.128925571450126
73,intende,4.050457173243238
74,seguendo,4.050457173243238
75,sagrestia,4.038049701499524
76,nunziata,4.005528659755964
77,conosciute,3.932674137586854
78,ingegnosamente,3.932674137586854
79,praticamente,3.932674137586854
80,dipinta,3.8804879457932957
81,circoncisione,3.8273136219290276
82,oscuro,3.8273136219290276
83,conseguire,3.8273136219290276
84,pienamente,3.732003442124703
85,dimandato,3.732003442124703
86,colorito,3.6516672434378075
87,peccati,3.644992065135073
88,mediocre,3.644992065135073
89,modesto,3.644992065135073
90,veggiono,3.598330749273485
91,medesimi,3.572186586138779
92,insegnato,3.5649493574615367
93,pontificale,3.5649493574615367
94,publica,3.5649493574615367
95,possano,3.5649493574615367
