,term,score
0,taddeo,321.73143331141995
1,federigo,162.99357021125937
2,vignuola,66.41046095324455
3,farnese,65.48883199826204
4,caprarola,65.24101841235753
5,aurora,62.92278620138966
6,cardinale,60.313294649933916
7,ovato,56.706400425405334
8,farei,50.20786279041312
9,duca,45.16916629429618
10,facciata,44.04187276213468
11,capella,44.012404204005826
12,quattro,40.36958262072282
13,corno,40.0949127164858
14,fosse,39.96244218185021
15,sala,39.87303323050878
16,sant,35.265731231903885
17,piè,35.169169315179964
18,marcello,34.44582259736125
19,stanze,34.25463469374078
20,re,30.898624725050034
21,sinistra,30.894607841203914
22,capo,30.81098022357497
23,emulio,30.18771855752978
24,palmi,29.856027536997622
25,fratello,29.431028380394917
26,ali,29.159936521080585
27,giovane,28.945982481732592
28,finestrone,28.461626122819098
29,terzo,27.81469583944157
30,notte,27.61508782120774
31,agnolo,27.59421884188762
32,salotto,27.528718963107977
33,dipignere,27.33787234385856
34,farnesius,27.18375767181564
35,tenga,27.122764814933838
36,quadro,26.995959334924112
37,camera,26.6806965232256
38,destra,26.314520063036756
39,paolo,26.199206010493853
40,verso,26.081424713484935
41,luna,25.91621565621527
42,mostri,25.91621565621527
43,cioè,25.893914988490735
44,facciate,25.690976020305587
45,urbino,25.62320321032422
46,sinistro,25.51494445594551
47,mi,25.188315244914392
48,titone,25.15643213127482
49,salutis,25.15643213127482
50,facciasi,25.15643213127482
51,truovo,25.10393139520656
52,letto,24.263203593941345
53,sonno,23.952939596746045
54,sogni,23.718021769015913
55,sfondato,23.596044825521123
56,fresco,23.397244904884047
57,francia,23.282927674759776
58,canto,23.135866606228138
59,sarà,22.58697704015183
60,piedi,22.560844283258252
61,parole,22.406626054581096
62,peducci,22.392020652748215
63,orazio,22.392020652748215
64,grottesche,22.100823079492795
65,scala,21.96917334728223
66,urius,21.747006137452512
67,pentagono,21.747006137452512
68,amillus,21.747006137452512
69,cefalo,21.747006137452512
70,zucchero,21.69069622847509
71,destro,21.597633940397554
72,stucco,21.313302496986775
73,quarto,21.11138172904331
74,stucchi,21.11138172904331
75,salviati,21.067129227652746
76,alli,20.94504831184689
77,enrico,20.25228586621619
78,ovidio,20.25228586621619
79,iscrizzione,20.125145705019854
80,scuro,20.027643298779818
81,fregio,19.960881385454343
82,colori,19.830742805338403
83,cardinal,19.730696550347417
84,cielo,19.695148142291202
85,vorrei,19.66337068793427
86,siano,19.5050887705683
87,ad,19.389532211837526
88,lei,19.26823201522919
89,signor,19.16759066123781
90,questi,19.148146921754442
91,settembre,19.13656810964514
92,dedicata,19.13656810964514
93,inscrizione,19.13656810964514
94,nero,19.10090933282643
95,arcus,18.97441741521273
96,lunetta,18.97441741521273
97,inscrizzione,18.97441741521273
98,oro,18.68990107687736
99,chiaro,18.53232595907018
100,dirimpetto,18.53232595907018
101,ci,18.23800890570412
102,alessandro,18.17122365674786
103,dall,18.118103464871513
104,escano,18.081843209955892
105,ancor,17.94203672032125
106,dipinse,17.892010809617215
107,imperatore,17.743005675959417
108,disegni,17.7112603771866
109,monte,17.7112603771866
110,veste,17.71106930745077
111,attendere,17.446187886376816
112,stanza,17.42923997073317
113,pierluigi,17.352556982780072
114,peduccio,17.352556982780072
115,vasari,17.276854410967616
116,grandi,17.262609992327157
117,giulio,17.193519087722702
118,cui,17.06212989293233
119,qui,16.98052423752482
120,condusse,16.936798123535745
121,loggia,16.836376193503394
122,figurare,16.73595426347104
123,significare,16.73595426347104
124,ai,16.515702285800504
125,soggetti,16.310254603089383
126,apuleio,16.310254603089383
127,farnesio,16.310254603089383
128,cappelletto,16.310254603089383
129,maximus,16.310254603089383
130,appartamento,16.201828692972953
131,ottavio,16.201828692972953
132,quiete,16.197634785134547
133,dette,16.190392084062236
134,giovani,16.152198805998097
135,architettura,15.958708994101336
136,cortile,15.958257792491105
137,carro,15.927298678783167
138,ora,15.866039326530696
139,cominciando,15.80034692073956
140,fronte,15.730696550347416
141,fate,15.730696550347416
142,avemo,15.670832206845411
143,tra,15.666548917687127
144,storia,15.624053649718133
145,sole,15.621229141841471
146,nera,15.30925448771611
147,dietro,15.247285289349822
148,sito,15.194281307823786
149,paia,15.194281307823786
150,trinità,15.113884813673096
151,pontifex,15.09385927876489
152,omeri,15.09385927876489
153,mattei,15.09385927876489
154,iside,15.09385927876489
155,figura,15.049259016388024
156,mettere,14.937750703054064
157,man,14.670801401335275
158,intanto,14.607932129619662
159,daniello,14.579968260540292
160,illustrissimo,14.555114450274363
161,vigna,14.555114450274363
162,condurre,14.48618993063658
163,arco,14.39332299709394
164,abbi,14.259797429846147
165,alato,14.230813061409549
166,facci,14.230813061409549
167,vignola,14.230813061409549
168,manifesta,14.230813061409549
169,dorma,14.230813061409549
170,maximo,14.230813061409549
171,asta,14.230813061409549
172,pare,14.089954711097135
173,bologna,14.019350309145873
174,belle,13.849665865598233
175,spalle,13.80754391060387
176,fino,13.80754391060387
177,mani,13.72255676041484
178,1550,13.687394055283454
179,lor,13.67850667927809
180,generale,13.643506666304592
181,faremo,13.561382407466919
182,ornamenti,13.544333114749222
183,bolognese,13.479557552189636
184,duoi,13.42923997073317
185,ordinario,13.42923997073317
186,simili,13.404411349356526
187,forma,13.372737068228767
188,ritratti,13.220495203558936
189,quaranta,13.18674148346743
190,spalla,13.18674148346743
191,aiuto,13.071929978049878
192,testa,13.029907390189685
193,camere,13.01769095153456
194,furno,13.014417737085054
195,faccia,12.972628171349127
196,iii,12.958107828107636
197,amici,12.864881102992264
198,certi,12.864765142175916
199,avuto,12.778393774158541
200,carlo,12.735393178143614
201,atto,12.735393178143614
202,minori,12.731898882334818
203,dico,12.68687420970734
204,bell,12.627282145127545
205,parti,12.608174586580262
206,porti,12.55196569760328
207,infin,12.55196569760328
208,parnaso,12.55196569760328
209,faccino,12.55196569760328
210,figurette,12.536665765476329
211,ultima,12.52108468253114
212,nondimeno,12.441501891357525
213,tornò,12.412329217634372
214,farà,12.341505108798602
215,specchio,12.341505108798602
216,figliuoli,12.323156037192364
217,finire,12.314167626104123
218,diede,12.309523021127857
219,lavorare,12.309523021127857
220,iacopo,12.278230918307868
221,fa,12.232926814116679
222,dare,12.213324916205838
223,profeti,12.205096304045684
224,guido,12.15542504625903
225,filo,12.151371519729715
226,caraffa,12.151371519729715
227,stia,12.151371519729715
228,rose,12.151371519729715
229,dà,12.081633241093828
230,essi,12.062256273611743
