,term,score
0,tiziano,283.85461750236783
1,vinezia,73.1898984133326
2,giorgione,53.47424036192305
3,quadro,50.61742375298271
4,paris,33.47190852694208
5,gianbellino,32.62050920617877
6,ritrasse,32.16220275748066
7,carlo,29.715917415668432
8,vivo,29.518767295311005
9,ritratti,28.09355230756274
10,scudi,27.104372448182193
11,duca,26.22725784830101
12,quinto,25.55559847668029
13,re,23.173968543787524
14,cardinale,22.82124662429932
15,lontano,21.786549963416462
16,doge,20.94504831184689
17,catolico,20.9199428293388
18,gentiluomo,20.711315865905807
19,ca,20.25228586621619
20,marco,19.967887155221877
21,imperatore,19.960881385454343
22,bellissimo,19.389532211837526
23,venere,19.338220194556197
24,guardaroba,19.10090933282643
25,cador,18.97441741521273
26,signor,17.570291439467994
27,fondaco,17.352556982780072
28,pordenone,16.73595426347104
29,aretino,16.694779576708186
30,sala,16.311695412480866
31,tedeschi,16.197634785134547
32,mandò,16.074839637624507
33,cui,15.166337682606514
34,altare,15.14778198081814
35,camerino,15.09385927876489
36,innanzi,14.499284811094103
37,bello,14.477674877988537
38,quadri,14.37569299592836
39,stesso,13.996689627777215
40,tavoletta,13.988471023739347
41,signore,13.883596482005078
42,olio,13.883596482005078
43,homo,13.561382407466919
44,colori,13.220495203558936
45,testa,13.029907390189685
46,ecce,13.014417737085054
47,donare,12.958107828107636
48,vasari,12.957640808225712
49,spirito,12.952313667249788
50,certi,12.864765142175916
51,paese,12.845488010152794
52,fuoco,12.845488010152794
53,niccolò,12.594157622457196
54,ferdinando,12.55196569760328
55,pittori,12.441501891357525
56,dipinse,12.386776714350379
57,finto,12.341505108798602
58,giove,12.15542504625903
59,polo,11.977617995975695
60,carta,11.843492996147555
61,condotte,11.826093789380408
62,quest,11.810732209029299
63,alfonso,11.807379538300513
64,sta,11.733068670164617
65,tenuto,11.508406661551438
66,cielo,11.488836416336536
67,reina,11.487208707606365
68,marchese,11.487208707606365
69,prìncipi,11.481940865787083
70,angelo,11.288420837242288
71,giovane,11.256770965118232
72,senato,11.196010326374108
73,massimiliano,11.196010326374108
74,publico,11.190776818991477
75,ultimamente,11.190776818991477
76,dall,11.149602132228624
77,santi,11.106227528571488
78,fratello,11.036635642648093
79,ai,11.01046819053367
80,grimani,10.93497619540522
81,bembo,10.93497619540522
82,prometeo,10.873503068726256
83,boscaglia,10.873503068726256
84,sonatori,10.873503068726256
85,1507,10.873503068726256
86,quadrone,10.873503068726256
87,avocato,10.873503068726256
88,bassano,10.873503068726256
89,vermiglio,10.873503068726256
90,merceria,10.873503068726256
91,acciò,10.716559758416338
92,attorno,10.704573341793996
93,salamone,10.69484807238461
94,cominciò,10.562705174736312
95,chiamato,10.331568553358851
96,ferrara,10.298202613734638
97,andò,10.19948916322817
98,eccellentissimo,10.177770763504865
99,detti,10.123484750596543
100,tela,10.075923209115397
101,asino,10.071929978049877
102,cioè,10.06985582885751
103,su,10.06985582885751
104,zuccheri,10.062572852509927
105,barbarigo,10.062572852509927
106,elemosinario,10.062572852509927
107,tino,10.062572852509927
108,guadagnato,10.062572852509927
109,1514,10.062572852509927
110,palco,9.969250220786751
111,storia,9.942579595275175
112,natura,9.942579595275175
113,bellissimi,9.915371402669201
114,marina,9.890056112600572
115,diana,9.890056112600572
116,ultime,9.890056112600572
117,ambidue,9.890056112600572
118,principe,9.865348275173709
119,signora,9.764077043236547
120,buon,9.755901865700046
121,ad,9.694766105918763
122,fresco,9.634159666716961
123,sparse,9.556379207269899
124,viniziani,9.556379207269899
