,term,score
0,giottino,40.25029141003971
1,tommaso,18.410058547471827
2,capella,13.040712356742468
3,guasta,11.977617995975695
4,giotto,11.961145483198525
5,tossicani,10.873503068726256
6,stefano,10.434237235442616
7,damiano,10.071929978049877
8,bettino,10.062572852509927
9,nobilis,10.062572852509927
10,fresco,9.634159666716961
11,pancrazio,9.487208707606365
12,chiara,9.116568784694273
13,contessa,8.676278491390036
14,ombre,8.287808654809798
15,colori,8.262809502224336
16,umidità,7.865348275173708
17,tirano,7.865348275173708
18,pilastro,7.810614570920736
19,arezzo,7.700824382128429
20,guasti,7.289984130270146
21,arco,7.19666149854697
22,domini,6.981682770615629
23,palagio,6.593370741733715
24,man,6.520356178371234
25,gesti,6.479053914053818
26,graziosi,6.370919471513266
27,dolci,6.370919471513266
28,santi,6.346415730612279
29,destrezza,6.268332882738164
30,ponte,6.208367113129963
31,ascesi,6.170752554399301
32,artefice,6.008292989633945
33,unione,5.988808997987848
34,piangono,5.988808997987848
35,considerare,5.903689769150256
36,storia,5.681474054442957
37,cercò,5.668123697837489
38,dipinse,5.505234095266835
39,figliuolo,5.47089912050127
40,essercitandosi,5.436751534363128
41,giuramento,5.436751534363128
42,rifatti,5.436751534363128
43,tarlato,5.436751534363128
44,tuccerelli,5.436751534363128
45,ioanna,5.436751534363128
46,militis,5.436751534363128
47,essersene,5.436751534363128
48,torcendosi,5.436751534363128
49,conservadore,5.436751534363128
50,sancta,5.436751534363128
51,proccacciò,5.436751534363128
52,costantino,5.436751534363128
53,governandosi,5.436751534363128
54,xxxii,5.436751534363128
55,inusitate,5.436751534363128
56,mitere,5.436751534363128
57,costar,5.436751534363128
58,rapaci,5.436751534363128
59,ceritieri,5.436751534363128
60,dipingendo,5.436751534363128
61,capellam,5.436751534363128
62,imitanto,5.436751534363128
63,visdomini,5.436751534363128
64,1324,5.436751534363128
65,penetrasse,5.436751534363128
66,storca,5.436751534363128
67,petra,5.436751534363128
68,vituperosamente,5.436751534363128
69,abagliare,5.436751534363128
70,bontura,5.436751534363128
71,delicati,5.436751534363128
72,renunziata,5.436751534363128
73,maladiasse,5.436751534363128
74,resolvé,5.436751534363128
75,constitui,5.436751534363128
76,cangiare,5.436751534363128
77,gradi,5.328325624246694
78,imparato,5.092759552933927
79,quest,5.061742375298271
80,dubbio,5.037961604557698
81,maninconica,5.0312864262549635
82,immitatore,5.0312864262549635
83,scrissero,5.0312864262549635
84,comitissa,5.0312864262549635
85,tisico,5.0312864262549635
86,flora,5.0312864262549635
87,battendosi,5.0312864262549635
88,aspro,5.0312864262549635
89,imbiancare,5.0312864262549635
90,affettuosi,5.0312864262549635
91,gusti,5.0312864262549635
92,1335,5.0312864262549635
93,riformatori,5.0312864262549635
94,uxor,5.0312864262549635
95,ritrovano,5.0312864262549635
96,ermini,5.0312864262549635
97,significanti,5.0312864262549635
98,avertimenti,5.0312864262549635
99,sodisfar,5.0312864262549635
100,altera,5.0312864262549635
101,durando,5.0312864262549635
102,campora,5.0312864262549635
103,oscure,5.0312864262549635
104,disleale,5.0312864262549635
105,cosimo,4.991971788805469
106,aria,4.991971788805469
107,canto,4.957685701334601
108,amorevole,4.882038521618274
109,spirito,4.85711762521867
110,certa,4.78445819327941
111,destra,4.78445819327941
112,virginis,4.743604353803183
113,domina,4.743604353803183
114,honorem,4.743604353803183
115,beatae,4.743604353803183
116,missione,4.743604353803183
117,dolcissimi,4.743604353803183
118,diligenti,4.743604353803183
119,michelino,4.743604353803183
120,richezze,4.743604353803183
121,procedono,4.743604353803183
122,spenti,4.743604353803183
123,augusti,4.743604353803183
124,mostrano,4.691418162009624
125,maestri,4.665563209259072
126,pieve,4.646472450305508
127,giovanetto,4.646472450305508
128,novella,4.646472450305508
129,ritta,4.646472450305508
130,iacopo,4.60433659436545
131,dietro,4.574185586804946
132,disporre,4.520460802488973
133,amaritudine,4.520460802488973
134,consiglieri,4.520460802488973
135,lineamento,4.520460802488973
136,mense,4.520460802488973
137,soletaria,4.520460802488973
138,1343,4.520460802488973
139,ognisanti,4.520460802488973
140,carnagioni,4.520460802488973
141,mestier,4.520460802488973
142,silvestro,4.520460802488973
143,soggetto,4.520460802488973
144,mariae,4.520460802488973
145,valersi,4.520460802488973
146,condiscepolo,4.520460802488973
147,espressamente,4.520460802488973
148,ingordigia,4.520460802488973
149,imaginazione,4.520460802488973
150,lode,4.514777704916407
151,marmo,4.514777704916407
152,fuor,4.485509180080313
153,buoni,4.3961461643974955
154,padre,4.371209641383501
155,duca,4.371209641383501
156,visi,4.338139245695018
157,romeo,4.338139245695018
158,macine,4.338139245695018
159,delicate,4.338139245695018
160,renduta,4.338139245695018
161,accompagnati,4.338139245695018
162,rosa,4.338139245695018
163,ribattendo,4.338139245695018
164,ordinarie,4.338139245695018
165,truovano,4.338139245695018
166,seguaci,4.338139245695018
167,trovasi,4.338139245695018
168,traditore,4.338139245695018
169,giuochi,4.338139245695018
170,allato,4.319213602741904
171,angeli,4.315652498081789
172,sepolcro,4.281829336717598
173,dispregio,4.18398856586776
174,potendosi,4.18398856586776
175,dignissime,4.18398856586776
176,grate,4.18398856586776
177,atene,4.18398856586776
178,ponendo,4.18398856586776
179,libertà,4.18398856586776
180,malamente,4.18398856586776
181,aveano,4.18398856586776
182,piagne,4.18398856586776
183,fecit,4.18398856586776
184,hanc,4.18398856586776
185,porgeva,4.18398856586776
186,cuculia,4.18398856586776
187,lippo,4.18398856586776
188,discorsi,4.18398856586776
189,milizia,4.18398856586776
190,pupilli,4.18398856586776
191,buon,4.181100799585734
192,ai,4.128925571450126
193,occhi,4.1047225420347075
194,ingegno,4.077642271372227
195,unitamente,4.050457173243238
196,trovate,4.050457173243238
197,tarlati,4.050457173243238
198,priori,4.050457173243238
199,pigliano,4.050457173243238
200,orsini,4.050457173243238
201,accompagnare,4.050457173243238
202,patire,4.050457173243238
203,assiduo,4.050457173243238
204,uniti,4.050457173243238
205,ignoranza,4.050457173243238
206,entrar,4.050457173243238
207,rimasto,4.050457173243238
208,ciglia,4.050457173243238
209,tabernacolo,4.038049701499524
210,nunziata,4.005528659755964
211,convento,3.9735279770630814
212,agnolo,3.942031263126803
213,studiosissimo,3.932674137586854
214,ranieri,3.932674137586854
215,sostenuta,3.932674137586854
216,poveramente,3.932674137586854
217,pietramala,3.932674137586854
218,resuscita,3.932674137586854
219,variare,3.932674137586854
220,cascò,3.932674137586854
221,potesse,3.8804879457932957
222,consumata,3.8273136219290276
223,solita,3.8273136219290276
224,empoli,3.8273136219290276
225,amalato,3.8273136219290276
226,luglio,3.8273136219290276
227,araceli,3.8273136219290276
228,discepoli,3.8207820194939335
229,nei,3.762806945747429
230,filippo,3.762806945747429
231,rovinò,3.732003442124703
232,chiarezza,3.732003442124703
233,paragonato,3.732003442124703
234,barbe,3.732003442124703
235,famiglie,3.732003442124703
236,accompagnano,3.732003442124703
237,giovanna,3.732003442124703
238,levate,3.732003442124703
239,panni,3.6788785475493646
240,martello,3.644992065135073
241,peccati,3.644992065135073
242,nicodemo,3.644992065135073
243,ire,3.644992065135073
244,mira,3.644992065135073
245,incendio,3.644992065135073
246,trombe,3.644992065135073
247,gattolini,3.644992065135073
248,valdarno,3.644992065135073
249,ognuno,3.624821202773526
250,lavorata,3.572186586138779
251,laterano,3.5649493574615367
252,gara,3.5649493574615367
253,proposto,3.5649493574615367
254,gimignano,3.5649493574615367
255,romiti,3.5649493574615367
256,commodi,3.5649493574615367
257,podestà,3.5649493574615367
258,leggono,3.5649493574615367
259,consumate,3.4908413853078146
260,insegne,3.4908413853078146
261,acciaiuoli,3.4908413853078146
262,duomo,3.4708991205012696
263,esce,3.4218485138208634
264,com,3.4218485138208634
265,toscani,3.4218485138208634
266,ricordo,3.4218485138208634
267,affermare,3.4218485138208634
268,tramontana,3.4218485138208634
269,insin,3.4218485138208634
270,suono,3.4218485138208634
271,dover,3.4218485138208634
272,giorgio,3.39816383215952
273,dello,3.374494916865514
274,pergamo,3.3573099926832923
275,preghi,3.3573099926832923
276,intendente,3.3573099926832923
277,intelletto,3.3573099926832923
278,bardi,3.3573099926832923
279,esprimere,3.2966853708668573
280,meritano,3.2966853708668573
281,capi,3.2966853708668573
282,leggere,3.2966853708668573
283,cantone,3.2966853708668573
284,scritte,3.2966853708668573
285,cacciato,3.2966853708668573
286,conducesse,3.2966853708668573
287,indosso,3.2966853708668573
288,perfette,3.239526957026909
289,aggiunse,3.239526957026909
290,campanile,3.239526957026909
291,naso,3.239526957026909
292,lavorano,3.239526957026909
293,veri,3.239526957026909
294,desideroso,3.239526957026909
295,cavò,3.239526957026909
296,coronazione,3.239526957026909
297,averla,3.239526957026909
298,glielo,3.239526957026909
299,parlando,3.239526957026909
300,sodisfare,3.239526957026909
301,però,3.238078416812447
302,dipignere,3.216220275748066
303,anzi,3.1945984435396353
304,suole,3.185459735756633
305,malignità,3.185459735756633
306,famosi,3.185459735756633
307,pianto,3.185459735756633
308,sepoltura,3.1520436466450654
309,salvo,3.134166441369082
310,nuvole,3.134166441369082
311,rifece,3.134166441369082
312,somiglianti,3.134166441369082
313,mostrato,3.134166441369082
314,morbidezza,3.134166441369082
315,acconciature,3.134166441369082
316,sul,3.0898624725050032
317,invenzione,3.0898624725050032
318,murato,3.0853762771996505
319,dai,3.069557729576967
320,teste,3.0494570578699642
321,giustizia,3.0388562615647574
322,accanto,2.994404498993924
323,ancor,2.9903394533868752
324,meno,2.9710156315634015
325,universalmente,2.951844884575128
326,avuta,2.951844884575128
327,atti,2.951844884575128
328,fiorentino,2.9141397609223345
329,grandissimo,2.9141397609223345
330,fama,2.9141397609223345
331,animi,2.9110228900548725
332,guadagno,2.9110228900548725
333,chiaramente,2.9110228900548725
334,studio,2.8771016653878596
335,avendosi,2.8718021769015913
336,premio,2.8718021769015913
337,vivezza,2.8718021769015913
338,apertamente,2.8718021769015913
339,grand,2.8718021769015913
340,credenza,2.8718021769015913
341,morto,2.8588366982613147
342,lorenzo,2.8588366982613147
343,errore,2.8340618489187444
344,moderne,2.8340618489187444
345,chiama,2.8340618489187444
346,croce,2.805021792421466
347,medesimamente,2.7976942047478692
348,femine,2.7976942047478692
349,dimostra,2.7976942047478692
350,particolarmente,2.787400533057156
351,esser,2.7699331731196466
352,nostro,2.7699331731196466
353,volti,2.7626028849365993
354,mala,2.7626028849365993
355,assedio,2.7287013332609185
356,perfetta,2.7287013332609185
357,onorati,2.7287013332609185
358,capegli,2.7287013332609185
359,fa,2.7184281809148176
360,fianco,2.695911510437927
361,disegnate,2.695911510437927
362,tramezzo,2.695911510437927
363,cristofano,2.695911510437927
364,ragionevoli,2.664162812123347
365,copia,2.664162812123347
366,rimaso,2.664162812123347
367,arie,2.6333911534565932
368,rovinato,2.6333911534565932
369,stessa,2.603538190306912
370,moderna,2.603538190306912
371,considerazioni,2.603538190306912
372,diligente,2.603538190306912
373,nuove,2.5745506534336595
374,sorti,2.5745506534336595
375,madalena,2.5463797764669636
376,dolore,2.5463797764669636
377,viso,2.5463797764669636
378,figurò,2.5463797764669636
379,pennello,2.5463797764669636
380,forte,2.5463797764669636
381,vescovado,2.518980802278849
382,neri,2.518980802278849
383,diceva,2.492312555196688
384,vivendo,2.492312555196688
385,commodo,2.492312555196688
386,qualità,2.492312555196688
387,marie,2.492312555196688
388,bocca,2.466337068793427
389,agevolmente,2.466337068793427
390,lumi,2.466337068793427
391,cittadino,2.441019260809137
392,castel,2.441019260809137
393,veggono,2.441019260809137
394,epitaffio,2.4163266482187655
395,sommamente,2.4163266482187655
396,torre,2.4163266482187655
397,degna,2.392229096639705
398,viva,2.392229096639705
399,mostrando,2.392229096639705
400,piene,2.392229096639705
401,dolce,2.392229096639705
402,sa,2.392229096639705
403,alta,2.392229096639705
404,affatto,2.368698599229511
405,nato,2.368698599229511
406,parere,2.368698599229511
407,paiono,2.345709081004812
408,lodovico,2.345709081004812
409,armato,2.345709081004812
410,entrando,2.345709081004812
411,giovanezza,2.345709081004812
412,pensando,2.323236225152754
413,forzato,2.323236225152754
414,animali,2.323236225152754
415,gallo,2.323236225152754
416,varietà,2.3012573184339784
417,carte,2.3012573184339784
418,facultà,2.279751113213015
419,dicesi,2.279751113213015
420,anche,2.2586977040151828
421,chiostro,2.2586977040151828
422,pietà,2.2586977040151828
423,toscana,2.2586977040151828
424,principii,2.2380784168124466
425,acquistato,2.2380784168124466
426,abiti,2.217875709494927
427,dir,2.217875709494927
428,stanno,2.217875709494927
429,signoria,2.1980730821987478
430,varii,2.1786549963416464
431,negl,2.1786549963416464
432,vasari,2.159606801370952
433,ginocchioni,2.159606801370952
434,attorno,2.140914668358799
435,lavorando,2.140914668358799
436,fiorentini,2.1225655296906023
437,legno,2.1225655296906023
438,parenti,2.1225655296906023
439,proprio,2.1225655296906023
440,volere,2.1045470241879243
441,tempera,2.1045470241879243
442,bell,2.1045470241879243
443,ultima,2.086847447088523
444,monasterio,2.086847447088523
445,fanciullo,2.086847447088523
446,tal,2.086847447088523
447,ingegni,2.0694557043766544
448,pisa,2.0523612710173538
449,gloria,2.0523612710173538
450,difficultà,2.0523612710173538
451,disegnò,2.035554152700973
452,modi,2.019024850749762
453,sagrestia,2.019024850749762
454,piacque,1.9867639885315407
455,menzione,1.9867639885315407
456,concorrenza,1.9867639885315407
457,fiore,1.9867639885315407
458,dì,1.9867639885315407
459,collo,1.9710156315634015
460,dipinto,1.9555114450274362
461,dar,1.9555114450274362
462,dodici,1.9555114450274362
463,popolo,1.9555114450274362
464,primi,1.9402439728966479
465,muro,1.9402439728966479
466,istorie,1.9402439728966479
467,dipinta,1.9402439728966479
468,dei,1.9103910097469667
469,mediante,1.9103910097469667
470,scultura,1.8957922103258142
471,laonde,1.8957922103258142
472,moglie,1.8814034728737146
473,parole,1.867218837881758
474,tanti,1.8394392737746823
475,piena,1.8258336217189037
476,tornato,1.8258336217189037
477,attese,1.812410601386763
478,sala,1.812410601386763
479,capo,1.812410601386763
480,monaci,1.7991653746367424
481,niccolò,1.7991653746367424
482,buone,1.7991653746367424
483,va,1.7860932930693896
484,nostri,1.7860932930693896
485,mostrò,1.7860932930693896
486,maraviglia,1.7731898882334818
487,male,1.7731898882334818
488,tavole,1.7731898882334818
489,possono,1.7731898882334818
490,arme,1.7731898882334818
491,tosto,1.760450862456052
492,maravigliosa,1.760450862456052
493,conoscere,1.760450862456052
494,principale,1.7231794676588204
495,agl,1.7231794676588204
496,amore,1.7231794676588204
497,essi,1.7231794676588204
498,posta,1.7110581071264757
499,braccio,1.69908191607976
500,poteva,1.687247458432757
501,dinanzi,1.687247458432757
502,bellezza,1.687247458432757
503,arti,1.6755514186695657
504,braccia,1.6755514186695657
505,piazza,1.6755514186695657
506,bellissimi,1.652561900444867
507,fatica,1.652561900444867
508,benissimo,1.652561900444867
509,verso,1.6300890445928085
510,condotta,1.6190392084062235
511,tempio,1.6190392084062235
512,giorno,1.6190392084062235
513,altar,1.608110137874033
514,utile,1.5972992217698176
515,lasciò,1.5866039326530696
516,veduto,1.5866039326530696
517,ora,1.5866039326530696
518,venne,1.5760218233225327
519,stati,1.5760218233225327
520,parti,1.5760218233225327
521,pratica,1.5655505234552374
522,frati,1.5655505234552374
523,state,1.5655505234552374
524,diversi,1.5655505234552374
525,pare,1.5655505234552374
526,pittori,1.5551877364196907
527,nondimeno,1.5551877364196907
528,stesso,1.5551877364196907
529,bellissime,1.5449312362525016
530,fatiche,1.5347788647884835
531,memoria,1.5347788647884835
532,mani,1.5247285289349821
533,persona,1.5247285289349821
534,lavoro,1.5247285289349821
535,essa,1.514778198081814
536,figura,1.5049259016388024
537,quattro,1.4951697266934376
538,patria,1.4951697266934376
539,parimente,1.4951697266934376
540,rilievo,1.4855078157817008
541,chiamato,1.4759383647655502
542,finita,1.4664596208110063
543,luoghi,1.4664596208110063
544,andò,1.4570698804611673
545,testa,1.4477674877988538
546,bello,1.4477674877988538
547,stata,1.4477674877988538
548,avevano,1.4477674877988538
549,cioè,1.4385508326939298
550,su,1.4385508326939298
551,ornamento,1.4385508326939298
552,età,1.4294183491306574
553,natura,1.4203685136107393
554,condusse,1.4113998436279789
555,uomo,1.4113998436279789
556,grandissima,1.402510896210733
557,dall,1.393700266528578
558,ad,1.3849665865598233
559,belle,1.3849665865598233
560,facciata,1.3763085238167088
561,sé,1.3592140904574088
562,pensiero,0.0
563,pontefice,0.0
564,ricordano,0.0
565,pontavano,0.0
566,pontava,0.0
567,pontano,0.0
568,patisse,0.0
569,pont,0.0
570,pongono,0.0
571,ponghino,0.0
572,patissi,0.0
573,pontem,0.0
574,pongaseli,0.0
575,ponga,0.0
576,ponevano,0.0
577,poneva,0.0
578,ricordanza,0.0
579,ponetevi,0.0
580,patiti,0.0
581,ponessino,0.0
582,pontefici,0.0
583,pontifex,0.0
584,ponti,0.0
585,pontifici,0.0
586,ponziano,0.0
587,ponzetti,0.0
588,pontt,0.0
589,ricordandosi,0.0
590,pontorno,0.0
591,pontormo,0.0
592,pontificum,0.0
593,pontificii,0.0
594,patirono,0.0
595,pontificale,0.0
596,pontificem,0.0
597,pontifice,0.0
598,pontificatum,0.0
599,patisce,0.0
600,pontificato,0.0
601,pontificalmente,0.0
602,patiscono,0.0
603,pontificali,0.0
604,patito,0.0
605,ponessi,0.0
606,ricordandomi,0.0
607,polonia,0.0
608,pomona,0.0
609,patmos,0.0
610,pomo,0.0
611,patrem,0.0
612,pomarancie,0.0
613,polvere,0.0
614,polvaccio,0.0
615,poltronieri,0.0
616,polsi,0.0
617,polo,0.0
618,pompe,0.0
619,polluce,0.0
620,pollonia,0.0
621,patriae,0.0
622,pollirone,0.0
623,pollice,0.0
624,polli,0.0
625,polle,0.0
626,pollastra,0.0
627,pollaiuolo,0.0
628,pompa,0.0
629,ricordarmene,0.0
630,ponessero,0.0
631,ponderoso,0.0
632,ponesse,0.0
633,ponente,0.0
634,ponendovi,0.0
635,ponendosi,0.0
636,ponendone,0.0
637,ponendogli,0.0
638,ricordar,0.0
639,pone,0.0
640,pondo,0.0
641,ponderando,0.0
642,pativano,0.0
643,pon,0.0
644,ricordare,0.0
645,pomposamente,0.0
646,pomposa,0.0
647,pomponio,0.0
648,pompilio,0.0
649,pativa,0.0
650,pompeo,0.0
651,pompeio,0.0
652,ponzio,0.0
653,popolani,0.0
654,popolaccio,0.0
655,pasture,0.0
656,porro,0.0
657,porremo,0.0
658,pasturando,0.0
659,porre,0.0
660,porranno,0.0
661,porpora,0.0
662,porne,0.0
663,porlo,0.0
664,ricopriva,0.0
665,porle,0.0
666,patriarca,0.0
667,porla,0.0
668,patendo,0.0
669,ridolfi,0.0
670,patenier,0.0
671,pori,0.0
672,porgono,0.0
673,pater,0.0
674,porglieli,0.0
675,porgli,0.0
676,pasturale,0.0
677,porrà,0.0
678,porrò,0.0
679,porse,0.0
680,pastori,0.0
681,portano,0.0
682,portandosi,0.0
683,pastorin,0.0
684,portandosene,0.0
685,ricoprirlo,0.0
686,portandola,0.0
687,pastorino,0.0
688,portandogli,0.0
689,portando,0.0
690,portan,0.0
691,pastosa,0.0
692,portamenti,0.0
693,portamela,0.0
694,ricoprirsi,0.0
695,portam,0.0
696,portai,0.0
697,porsi,0.0
698,porsena,0.0
699,ricoprì,0.0
700,porgessino,0.0
701,porgessi,0.0
702,pordenone,0.0
703,porci,0.0
704,porchetta,0.0
705,paternostri,0.0
706,porcellana,0.0
707,porca,0.0
708,por,0.0
709,pathmos,0.0
710,populo,0.0
711,poppi,0.0
712,ricordando,0.0
713,poppe,0.0
714,poppano,0.0
715,poppa,0.0
716,popolosa,0.0
717,patir,0.0
718,ridipinto,0.0
719,popoli,0.0
720,popoleschi,0.0
721,popolare,0.0
722,porco,0.0
723,porfidi,0.0
724,porgessero,0.0
725,ricordai,0.0
726,porgesse,0.0
727,porgerli,0.0
728,porgergli,0.0
729,porgerebbe,0.0
730,porgere,0.0
731,paterna,0.0
732,ricorda,0.0
733,porgendosi,0.0
734,paternamente,0.0
735,paterne,0.0
736,porgendosegli,0.0
737,porgendoli,0.0
738,paterni,0.0
739,porgendo,0.0
740,porgelo,0.0
741,paterno,0.0
742,porge,0.0
743,porfirio,0.0
744,porfido,0.0
745,pollaiuoli,0.0
746,pollaiolo,0.0
747,patriarchi,0.0
748,pistolese,0.0
749,pittor,0.0
750,pauroso,0.0
751,pittigliano,0.0
752,pitti,0.0
753,pitigliano,0.0
754,pitia,0.0
755,pitagora,0.0
756,pausania,0.0
757,pistolesi,0.0
758,pistole,0.0
759,pisanus,0.0
760,pistola,0.0
761,pistoia,0.0
762,pissello,0.0
763,pisello,0.0
764,piscopio,0.0
765,piscina,0.0
766,piscia,0.0
767,pisces,0.0
768,pisbolica,0.0
769,paurosa,0.0
770,piture,0.0
771,piuma,0.0
772,piume,0.0
773,paulino,0.0
774,piè,0.0
775,pizzolo,0.0
776,pizzicagnolo,0.0
777,paulo,0.0
778,piviali,0.0
779,paulus,0.0
780,piviale,0.0
781,pive,0.0
782,piuttosto,0.0
783,piutosto,0.0
784,pius,0.0
785,pauperibus,0.0
786,piuoli,0.0
787,piumosità,0.0
788,piumosi,0.0
789,paura,0.0
790,paure,0.0
791,piumose,0.0
792,ricordati,0.0
793,pisanorum,0.0
794,pastorello,0.0
795,pax,0.0
796,pipistregli,0.0
797,pipino,0.0
798,pavone,0.0
799,piovvero,0.0
800,piovuti,0.0
801,piovuta,0.0
802,piovosi,0.0
803,pavoni,0.0
804,piovono,0.0
805,paziente,0.0
806,pisano,0.0
807,pioveva,0.0
808,piovesse,0.0
809,piovere,0.0
810,piovendo,0.0
811,piove,0.0
812,ridipinse,0.0
813,ricorderò,0.0
814,ricordi,0.0
815,pazientissimo,0.0
816,pavonazzo,0.0
817,pavolo,0.0
818,pavimento,0.0
819,pipistrelli,0.0
820,pisani,0.0
821,pisanello,0.0
822,pavia,0.0
823,pis,0.0
824,pirro,0.0
825,pironi,0.0
826,ricordato,0.0
827,ricordatosi,0.0
828,piramo,0.0
829,piramidi,0.0
830,piramide,0.0
831,piramidati,0.0
832,piramidalmente,0.0
833,piramidali,0.0
834,piramidale,0.0
835,pippo,0.0
836,pippioni,0.0
837,pavimenti,0.0
838,ricordava,0.0
839,pièta,0.0
840,placa,0.0
841,placarlo,0.0
842,poetica,0.0
843,poggibonzi,0.0
844,ricordarsi,0.0
845,poggiare,0.0
846,poggi,0.0
847,poetico,0.0
848,poetiche,0.0
849,patrone,0.0
850,patroni,0.0
851,poeticamente,0.0
852,poeti,0.0
853,placatis,0.0
854,poeta,0.0
855,poesie,0.0
856,poesia,0.0
857,ricordarti,0.0
858,poema,0.0
859,patti,0.0
860,patto,0.0
861,podesteria,0.0
862,poderi,0.0
863,ricordarmi,0.0
864,patrimonio,0.0
865,poggini,0.0
866,poggino,0.0
867,polla,0.0
868,polizza,0.0
869,poliziano,0.0
870,polito,0.0
871,polinnia,0.0
872,polimaste,0.0
873,polignoto,0.0
874,polifemo,0.0
875,polidoro,0.0
876,policleto,0.0
877,poli,0.0
878,polesine,0.0
879,patrie,0.0
880,polenta,0.0
881,polastra,0.0
882,pola,0.0
883,poiché,0.0
884,poggiuolo,0.0
885,poggio,0.0
886,poderetto,0.0
887,patì,0.0
888,podere,0.0
889,plenis,0.0
890,plenaria,0.0
891,paulina,0.0
892,plena,0.0
893,plebeo,0.0
894,plebei,0.0
895,plebe,0.0
896,ricordata,0.0
897,plebaccia,0.0
898,plautilla,0.0
899,platone,0.0
900,platina,0.0
901,platea,0.0
902,plastas,0.0
903,ricordate,0.0
904,plasme,0.0
905,placido,0.0
906,placidissimo,0.0
907,placida,0.0
908,placato,0.0
909,ricordassino,0.0
910,plinio,0.0
911,pochissimo,0.0
912,ploremus,0.0
913,ricordasse,0.0
914,paula,0.0
915,pochissimi,0.0
916,pochissime,0.0
917,pochissima,0.0
918,pochi,0.0
919,paulatim,0.0
920,pauli,0.0
921,pochetto,0.0
922,poche,0.0
923,pocci,0.0
924,poca,0.0
925,po,0.0
926,plutone,0.0
927,plus,0.0
928,plurimum,0.0
929,plurima,0.0
930,plures,0.0
931,pluma,0.0
932,portanti,0.0
933,portar,0.0
934,piovane,0.0
935,potrai,0.0
936,potremo,0.0
937,potrei,0.0
938,potrebbonsi,0.0
939,potrebbono,0.0
940,potrebbero,0.0
941,potrebbe,0.0
942,passatosi,0.0
943,riconosciute,0.0
944,potranno,0.0
945,potius,0.0
946,passavanti,0.0
947,potissima,0.0
948,potevono,0.0
949,potevon,0.0
950,potevo,0.0
951,potevi,0.0
952,passava,0.0
953,potevano,0.0
954,potevan,0.0
955,passavano,0.0
956,potreste,0.0
957,passatolo,0.0
958,potresti,0.0
959,potrete,0.0
960,riconosciuta,0.0
961,poveracci,0.0
962,povera,0.0
963,pourbs,0.0
964,poté,0.0
965,potè,0.0
966,potuto,0.0
967,passati,0.0
968,potuti,0.0
969,potute,0.0
970,potuta,0.0
971,potuit,0.0
972,potuisse,0.0
973,potui,0.0
974,potrò,0.0
975,potrà,0.0
976,passato,0.0
977,potrieno,0.0
978,potria,0.0
979,riconosciuti,0.0
980,potettono,0.0
981,passatempo,0.0
982,potente,0.0
983,poter,0.0
984,passeggeri,0.0
985,potenzia,0.0
986,potenze,0.0
987,potenza,0.0
988,potento,0.0
989,potentissimis,0.0
990,passeggia,0.0
991,potenti,0.0
992,riconosco,0.0
993,potettero,0.0
994,potendosela,0.0
995,potendogli,0.0
996,potendo,0.0
997,potei,0.0
998,potea,0.0
999,potavono,0.0
1000,potasse,0.0
1001,posò,0.0
1002,posuit,0.0
1003,poterat,0.0
1004,riconosciutosi,0.0
1005,potere,0.0
1006,potergli,0.0
1007,potette,0.0
1008,potestà,0.0
1009,potestatis,0.0
1010,potestati,0.0
1011,potessono,0.0
1012,potessino,0.0
1013,potessi,0.0
1014,potessero,0.0
1015,riconosciuto,0.0
1016,passavono,0.0
1017,potes,0.0
1018,potervisi,0.0
1019,potervi,0.0
1020,potersi,0.0
1021,poterono,0.0
1022,potermi,0.0
1023,poterlo,0.0
1024,poterle,0.0
1025,poterla,0.0
1026,povere,0.0
1027,poverelli,0.0
1028,portare,0.0
1029,passarle,0.0
1030,riconoscessino,0.0
1031,passargli,0.0
1032,praticato,0.0
1033,passarla,0.0
1034,praticasse,0.0
1035,praticarle,0.0
1036,praticare,0.0
1037,praticar,0.0
1038,praticandovi,0.0
1039,riconosceva,0.0
1040,praterie,0.0
1041,praticando,0.0
1042,praticamente,0.0
1043,riconoschino,0.0
1044,passarli,0.0
1045,praticaccio,0.0
1046,passarlo,0.0
1047,prati,0.0
1048,pratesi,0.0
1049,riconosci,0.0
1050,praticava,0.0
1051,praticavano,0.0
1052,pratiche,0.0
1053,pratichi,0.0
1054,precipitare,0.0
1055,precipitando,0.0
1056,passandosi,0.0
1057,riconoscersi,0.0
1058,preciose,0.0
1059,precettore,0.0
1060,passandovi,0.0
1061,precetti,0.0
1062,precedenza,0.0
1063,passano,0.0
1064,praxitele,0.0
1065,prattico,0.0
1066,passar,0.0
1067,pratovecchio,0.0
1068,passare,0.0
1069,prato,0.0
1070,praticò,0.0
1071,pratico,0.0
1072,pratichissimo,0.0
1073,pratese,0.0
1074,prateria,0.0
