,term,score
0,torrigiano,60.37543711505956
1,giardino,17.26435948155399
2,magnifico,15.768125052507212
3,giovani,12.114149104498573
4,superbia,11.196010326374108
5,lorenzo,10.005928443914602
6,scoltura,8.676278491390036
7,arti,8.377757093347828
8,superbo,8.36797713173552
9,sangue,8.287808654809798
10,tenendosi,8.100914346486476
11,nati,7.654627243858055
12,esercitare,7.464006884249406
13,guerra,7.32305778242741
14,nobili,7.32305778242741
15,duca,7.285349402305837
16,michelagnolo,7.19666149854697
17,possono,7.092759552933927
18,avanzato,6.981682770615629
19,ai,6.881542619083544
20,ingegno,6.796070452287044
21,inghilterra,6.714619985366585
22,fiorentini,6.367696589071807
23,povertà,6.268332882738164
24,eccellentissimi,6.268332882738164
25,maestri,6.220750945678763
26,ingegni,6.208367113129963
27,piaceri,6.170752554399301
28,grave,6.077712523129515
29,mercanti,6.077712523129515
30,mondo,5.828279521844669
31,fiero,5.822045780109745
32,spesso,5.820731918689944
33,studio,5.754203330775719
34,scuola,5.743604353803183
35,sdegno,5.668123697837489
36,parole,5.601656513645274
37,ispagna,5.5953884094957385
38,andarono,5.5953884094957385
39,belli,5.5596977877210545
40,scultore,5.518317821324047
41,arrivino,5.436751534363128
42,arrivava,5.436751534363128
43,operette,5.436751534363128
44,sie,5.436751534363128
45,siviglia,5.436751534363128
46,pluma,5.436751534363128
47,onus,5.436751534363128
48,pigliarsene,5.436751534363128
49,incanto,5.436751534363128
50,guastolla,5.436751534363128
51,colloroso,5.436751534363128
52,academia,5.436751534363128
53,risentiva,5.436751534363128
54,continente,5.436751534363128
55,recherà,5.436751534363128
56,ritornano,5.436751534363128
57,acquistino,5.436751534363128
58,maravelìs,5.436751534363128
59,robusta,5.436751534363128
60,rodessero,5.436751534363128
61,raggiunti,5.436751534363128
62,debilissimo,5.436751534363128
63,inquisitore,5.436751534363128
64,coraggioso,5.436751534363128
65,mergit,5.436751534363128
66,alciato,5.436751534363128
67,punizione,5.436751534363128
68,alfiere,5.436751534363128
69,dispensiero,5.436751534363128
70,inconsiderata,5.436751534363128
71,studiosamente,5.436751534363128
72,ridicole,5.436751534363128
73,soperchiava,5.436751534363128
74,paesani,5.436751534363128
75,levat,5.436751534363128
76,spinta,5.436751534363128
77,buone,5.397496123910227
78,forestieri,5.391823020875854
79,dallo,5.149101306867319
80,detti,5.061742375298271
81,alterigia,5.0312864262549635
82,maninconia,5.0312864262549635
83,liberò,5.0312864262549635
84,frequentazione,5.0312864262549635
85,donativi,5.0312864262549635
86,possanza,5.0312864262549635
87,beffato,5.0312864262549635
88,esaminato,5.0312864262549635
89,ostinazione,5.0312864262549635
90,capital,5.0312864262549635
91,paragoni,5.0312864262549635
92,meccanica,5.0312864262549635
93,valessi,5.0312864262549635
94,vegghino,5.0312864262549635
95,accusò,5.0312864262549635
96,viali,5.0312864262549635
97,studiarono,5.0312864262549635
98,necessitati,5.0312864262549635
99,fugga,5.0312864262549635
100,garigliano,5.0312864262549635
101,castigo,5.0312864262549635
102,eretico,5.0312864262549635
103,giovanetti,5.0312864262549635
104,recano,5.0312864262549635
105,guastar,5.0312864262549635
106,eglino,4.984625110393376
107,fermo,4.932674137586854
108,potendo,4.932674137586854
109,negli,4.78445819327941
110,inalzati,4.743604353803183
111,infranse,4.743604353803183
112,offenderlo,4.743604353803183
113,1522,4.743604353803183
114,vagliono,4.743604353803183
115,vituperato,4.743604353803183
116,arcus,4.743604353803183
117,scorno,4.743604353803183
118,aspetti,4.743604353803183
119,sovino,4.743604353803183
120,ridurla,4.743604353803183
121,voglie,4.743604353803183
122,prove,4.743604353803183
123,bandito,4.743604353803183
124,uscissero,4.743604353803183
