,term,score
0,cristallo,56.395810194035235
1,valerio,51.1247637886291
2,matteo,47.860635243298134
3,cammei,40.68414722240075
4,medaglie,39.5008673018489
5,cavo,38.27313621929028
6,conii,34.705113965560145
7,cammeo,32.62050920617877
8,intaglio,29.6550266148172
9,acciaio,28.461626122819098
10,cristalli,28.461626122819098
11,intagli,27.287013332609185
12,cardinale,26.081424713484935
13,rovescio,23.952939596746045
14,re,23.173968543787524
15,duca,21.85604820691751
16,farnese,21.829610666087348
17,intagliò,21.271993830953303
18,verona,19.338220194556197
19,clemente,18.471251439156184
20,pietre,18.069581632121462
21,medaglia,17.824746787307685
22,gioie,17.824746787307685
23,cassetta,17.352556982780072
24,vicentino,16.201828692972953
25,francia,15.521951783173183
26,medici,14.951697266934376
27,accomodò,14.259797429846147
28,diaspro,14.230813061409549
29,incavo,14.230813061409549
30,antichi,13.907347919720785
31,bolognese,13.479557552189636
32,testa,13.029907390189685
33,intagliar,13.014417737085054
34,rare,12.594904011394245
35,rovesci,12.55196569760328
36,argento,12.461562775983438
37,fa,12.232926814116679
38,alessandro,12.114149104498573
39,terzo,11.920583931189244
40,vasi,11.807379538300513
41,intagliate,11.487208707606365
42,illustrissima,11.336247395674977
43,intagliatori,11.196010326374108
44,don,10.99036541099374
45,scade,10.873503068726256
46,incavò,10.873503068726256
47,marmita,10.873503068726256
48,nasaro,10.873503068726256
49,trezzo,10.873503068726256
50,nassaro,10.873503068726256
51,corgniuole,10.873503068726256
52,paesi,10.434237235442616
53,passato,10.414152761227648
54,rilievo,10.398554710471906
55,principi,10.298202613734638
56,oro,10.194491496478559
57,orefice,10.075923209115397
58,fiandra,10.071929978049877
59,sardoni,10.062572852509927
60,cosimo,9.983943577610939
61,ritratti,9.915371402669201
62,cardinal,9.865348275173709
63,castel,9.764077043236547
64,ritrasse,9.648660827244198
65,piccole,9.519623595918418
66,fur,9.487208707606365
67,corniuole,9.487208707606365
68,milanese,9.402499324107247
69,bellissime,9.269587417515009
70,doppo,9.256128831598952
71,memoria,9.2086731887309
72,duchessa,9.116568784694273
73,cesello,9.040921604977946
74,scudi,9.034790816060731
75,gesso,8.983213496981772
76,arrigo,8.676278491390036
77,domenico,8.631304996163578
78,fé,8.615406530704774
79,visto,8.615406530704774
80,croce,8.415065377264398
81,ragionerà,8.36797713173552
82,camei,8.36797713173552
83,isabella,8.36797713173552
84,apresso,8.36797713173552
85,veronesi,8.36797713173552
86,particolarmente,8.362201599171469
87,dua,8.287808654809798
88,questi,8.206348680751905
89,ottavio,8.100914346486476
90,salviati,7.90017346036978
91,franzesi,7.865348275173708
92,monete,7.865348275173708
93,seco,7.822045780109745
94,figliuola,7.810614570920736
95,maestri,7.775938682098453
96,degli,7.6738943239424176
97,venduto,7.654627243858055
98,donata,7.654627243858055
99,ovati,7.654627243858055
100,tante,7.583168841303257
101,moglie,7.525613891494858
102,moderni,7.4769376655900635
103,ippolito,7.464006884249406
104,donò,7.32305778242741
105,veder,7.303334486875615
