,term,score
0,vellano,56.923252245638196
1,padova,15.927298678783167
2,bronzo,12.213324916205838
3,donato,10.522735120939622
4,padoa,9.116568784694273
5,donatello,8.983213496981772
6,imitata,8.100914346486476
7,patria,7.475848633467188
8,vinegia,6.843697027641727
9,pontefice,6.208367113129963
10,cavallo,5.437231804160289
11,apprenda,5.436751534363128
12,avisarono,5.436751534363128
13,infiammato,5.436751534363128
14,fracassato,5.436751534363128
15,discerne,5.436751534363128
16,compiacciono,5.436751534363128
17,rovina,5.037961604557698
18,disiderio,5.037961604557698
19,rosello,5.0312864262549635
20,difficilissima,5.0312864262549635
21,muoiono,5.0312864262549635
22,abbracciata,5.0312864262549635
23,segretarii,5.0312864262549635
24,avvertiti,5.0312864262549635
25,92,5.0312864262549635
26,arivare,5.0312864262549635
27,trivisana,5.0312864262549635
28,1464,5.0312864262549635
29,rinvenire,5.0312864262549635
30,modelli,4.832653296437531
31,imparar,4.743604353803183
32,imita,4.743604353803183
33,doti,4.743604353803183
34,nostre,4.646472450305508
35,partito,4.602514636867957
36,statua,4.602514636867957
37,toccasse,4.520460802488973
38,somiglia,4.520460802488973
39,stupendo,4.520460802488973
40,risentirsi,4.520460802488973
41,platina,4.520460802488973
42,contraffare,4.520460802488973
43,potute,4.520460802488973
44,scale,4.476156833624893
45,signoria,4.3961461643974955
46,fiorentino,4.371209641383501
47,arrivò,4.338139245695018
48,conseguì,4.338139245695018
49,metalli,4.338139245695018
50,inoltre,4.18398856586776
51,filistei,4.18398856586776
52,contentandosi,4.050457173243238
53,restano,4.050457173243238
54,commode,4.050457173243238
55,sopravenendo,4.050457173243238
56,fondere,4.050457173243238
57,onorato,3.942031263126803
58,sansone,3.932674137586854
59,bronzi,3.932674137586854
60,finirla,3.932674137586854
61,publicamente,3.932674137586854
62,deliberando,3.932674137586854
63,bergamo,3.932674137586854
64,coro,3.9110228900548725
65,rotto,3.8273136219290276
66,ingannati,3.8273136219290276
67,ambi,3.8273136219290276
68,vaticano,3.8273136219290276
69,candelieri,3.8273136219290276
70,scultura,3.7915844206516285
71,ingegnò,3.732003442124703
72,cere,3.732003442124703
73,masserizie,3.732003442124703
74,fattamente,3.732003442124703
75,marca,3.732003442124703
76,bembo,3.644992065135073
77,allogò,3.644992065135073
78,mi,3.598330749273485
79,veggiono,3.598330749273485
80,pontificale,3.5649493574615367
81,diversità,3.5649493574615367
82,verrocchio,3.5649493574615367
83,rade,3.5649493574615367
84,tornò,3.5463797764669636
85,rimase,3.520901724912104
86,maiano,3.4908413853078146
87,qualcuno,3.4908413853078146
88,meritava,3.4908413853078146
89,motto,3.4218485138208634
90,maravigliosamente,3.4218485138208634
91,lasciate,3.4218485138208634
92,udendo,3.4218485138208634
93,aspettazione,3.4218485138208634
94,conoscendosi,3.4218485138208634
95,piacevoli,3.4218485138208634
96,miei,3.3573099926832923
97,partisse,3.3573099926832923
98,amatore,3.3573099926832923
99,intento,3.3573099926832923
100,arti,3.3511028373391314
101,venir,3.2966853708668573
102,collera,3.2966853708668573
103,differenza,3.2966853708668573
104,estremo,3.2966853708668573
105,richiamato,3.239526957026909
106,rovine,3.239526957026909
107,contrafare,3.239526957026909
108,espresse,3.185459735756633
109,pensava,3.185459735756633
110,venne,3.1520436466450654
111,avviene,3.134166441369082
112,posa,3.134166441369082
113,reverendissimo,3.134166441369082
114,dottissimo,3.0853762771996505
115,sentiva,3.0853762771996505
116,acconciò,3.0853762771996505
117,erede,3.0853762771996505
118,acquisto,3.0853762771996505
119,salita,3.0853762771996505
120,andrea,3.0494570578699642
121,figura,3.0098518032776047
122,ebbono,2.994404498993924
123,dalle,2.9903394533868752
124,onore,2.9903394533868752
125,studio,2.8771016653878596
126,almeno,2.8718021769015913
127,intera,2.8718021769015913
128,età,2.8588366982613147
129,alcuna,2.805021792421466
130,lombardia,2.7976942047478692
131,dispiacere,2.7626028849365993
