,term,score
0,timoteo,63.28645123484562
1,urbino,27.59421884188762
2,raffaello,22.073271285296187
3,vincenzio,17.824658435268745
4,calliope,16.310254603089383
5,gimignano,14.259797429846147
6,muse,12.55196569760328
7,genga,12.151371519729715
8,patria,11.961357813547501
9,fanciullo,10.434237235442616
10,vincenzo,10.062572852509927
11,pittori,9.331126418518144
12,corte,8.563658673435196
13,dolente,8.100914346486476
14,compatriota,8.100914346486476
15,instanza,7.865348275173708
16,altare,7.57389099040907
17,fermò,7.1298987149230735
18,facilmente,6.981682770615629
19,borgo,6.653627128484781
20,bellissimi,6.610247601779468
21,figurata,6.593370741733715
22,man,6.520356178371234
23,apollo,6.479053914053818
24,lodate,6.478820404112856
25,amici,6.432440551496132
26,stretta,6.268332882738164
27,destro,6.170752554399301
28,nudo,6.077712523129515
29,bologna,6.008292989633945
30,madre,5.960291965594622
31,chiamato,5.903753459062201
32,piede,5.903689769150256
33,nove,5.743604353803183
34,studi,5.5953884094957385
35,belli,5.5596977877210545
36,facciata,5.505234095266835
37,dipinse,5.505234095266835
38,attribuischino,5.436751534363128
39,alimentando,5.436751534363128
40,festevole,5.436751534363128
41,lime,5.436751534363128
42,cinquantaquattresimo,5.436751534363128
43,immediate,5.436751534363128
44,angeletto,5.436751534363128
45,operino,5.436751534363128
46,schizzone,5.436751534363128
47,mortogli,5.436751534363128
48,mdxxiiii,5.436751534363128
49,battiferri,5.436751534363128
50,cagliesi,5.436751534363128
51,crescenzio,5.436751534363128
52,camelo,5.436751534363128
53,benefici,5.436751534363128
54,obietto,5.436751534363128
55,epifanii,5.436751534363128
56,violenze,5.436751534363128
57,deviano,5.436751534363128
58,deviare,5.436751534363128
59,squarciata,5.436751534363128
60,battiferro,5.436751534363128
61,bonaventuri,5.436751534363128
62,gombruti,5.436751534363128
63,robba,5.436751534363128
64,arrivabene,5.436751534363128
65,incaminò,5.436751534363128
66,buone,5.397496123910227
67,disciplina,5.391823020875854
68,sinistra,5.149101306867319
69,saggio,5.037961604557698
70,orefice,5.037961604557698
71,muova,5.0312864262549635
72,apprendeva,5.0312864262549635
73,ragionerò,5.0312864262549635
74,somme,5.0312864262549635
75,tiratovi,5.0312864262549635
76,urbinati,5.0312864262549635
77,curia,5.0312864262549635
78,torcere,5.0312864262549635
79,riguardanti,5.0312864262549635
80,conformità,5.0312864262549635
81,gioconda,5.0312864262549635
82,incaminato,5.0312864262549635
83,indiani,5.0312864262549635
84,patiti,5.0312864262549635
85,peggiori,5.0312864262549635
86,contentissimo,5.0312864262549635
87,mdxxvii,5.0312864262549635
88,riparava,5.0312864262549635
89,aria,4.991971788805469
90,qualità,4.984625110393376
91,giovane,4.824330413622099
92,destra,4.78445819327941
93,madonna,4.759811797959209
94,ora,4.759811797959209
95,battono,4.743604353803183
96,arbore,4.743604353803183
97,amatori,4.743604353803183
98,inchinato,4.743604353803183
99,alquanti,4.743604353803183
100,viola,4.743604353803183
101,secreto,4.743604353803183
102,innamoratosi,4.743604353803183
103,facetissimo,4.743604353803183
104,idioti,4.743604353803183
105,ciclopi,4.743604353803183
106,lontananza,4.743604353803183
107,augurio,4.743604353803183
108,giovanantonio,4.743604353803183
109,fulmini,4.743604353803183
110,diligentissima,4.743604353803183
111,casato,4.743604353803183
112,cavalli,4.602514636867957
113,espressamente,4.520460802488973
114,apollonia,4.520460802488973
115,successori,4.520460802488973
116,prudente,4.520460802488973
117,movimento,4.520460802488973
118,fioriva,4.520460802488973
119,scarpelli,4.520460802488973
120,ricordano,4.520460802488973
121,elevata,4.520460802488973
122,segreti,4.520460802488973
123,avisi,4.520460802488973
124,famosissima,4.520460802488973
125,pierantonio,4.520460802488973
126,arguto,4.520460802488973
127,leggiadro,4.520460802488973
128,angelica,4.520460802488973
129,sedente,4.520460802488973
130,vissuto,4.520460802488973
131,processo,4.520460802488973
132,strada,4.5173954080303655
133,ancor,4.485509180080313
134,bonissimo,4.476156833624893
135,fregio,4.435751418989854
136,giuliano,4.357309992683293
137,animosamente,4.338139245695018
138,pompeo,4.338139245695018
139,illustrissimi,4.338139245695018
140,barde,4.338139245695018
141,morbida,4.338139245695018
142,schizzo,4.338139245695018
143,abitando,4.338139245695018
144,ventisei,4.338139245695018
145,umanità,4.338139245695018
146,imperio,4.338139245695018
147,fanciullesca,4.338139245695018
148,fiata,4.338139245695018
149,levarlo,4.338139245695018
150,improvviso,4.338139245695018
151,cantava,4.338139245695018
152,genio,4.338139245695018
153,spargendosi,4.338139245695018
154,rimise,4.338139245695018
155,arditamente,4.338139245695018
156,cioè,4.315652498081789
157,studio,4.315652498081789
158,mostra,4.281829336717598
159,natura,4.261105540832218
160,pareva,4.245131059381205
161,cappella,4.234199530883936
162,uomo,4.234199530883936
163,compagnia,4.207532688632199
164,cataletto,4.18398856586776
165,colomba,4.18398856586776
166,misera,4.18398856586776
167,studiolo,4.18398856586776
168,tangere,4.18398856586776
169,vitale,4.18398856586776
170,guidava,4.18398856586776
171,noli,4.18398856586776
172,seguono,4.18398856586776
173,fermato,4.18398856586776
174,grate,4.18398856586776
175,ritruovano,4.18398856586776
176,ad,4.15489975967947
177,ingegni,4.138911408753309
178,lavorare,4.103174340375952
179,fa,4.077642271372227
180,fabricò,4.050457173243238
181,forlì,4.050457173243238
182,levati,4.050457173243238
183,condizione,4.050457173243238
184,appartato,4.050457173243238
185,studiava,4.050457173243238
186,fattura,4.050457173243238
187,coprire,4.050457173243238
188,persuasione,4.050457173243238
189,mestiche,4.050457173243238
190,condotti,3.9735279770630814
191,onorato,3.942031263126803
192,magnifico,3.942031263126803
193,comparazione,3.932674137586854
194,sanzio,3.932674137586854
195,guidato,3.932674137586854
196,dito,3.932674137586854
197,innamorato,3.932674137586854
198,costumatamente,3.932674137586854
199,franzesi,3.932674137586854
200,mantovano,3.932674137586854
201,fieramente,3.932674137586854
202,stella,3.932674137586854
203,pellegrini,3.932674137586854
204,averle,3.932674137586854
205,vergine,3.9110228900548725
206,mesi,3.9110228900548725
207,dagl,3.8504121910642146
208,giovanbattista,3.8273136219290276
209,moltissime,3.8273136219290276
210,nobilissimo,3.8273136219290276
211,trionfali,3.8273136219290276
212,diritta,3.8273136219290276
213,lira,3.8273136219290276
214,strumento,3.8273136219290276
215,dentrovi,3.8207820194939335
216,moglie,3.762806945747429
217,nei,3.762806945747429
218,esperienza,3.732003442124703
219,giunte,3.732003442124703
220,sopportare,3.732003442124703
221,venutogli,3.732003442124703
222,ritraendo,3.732003442124703
223,apelle,3.732003442124703
224,suona,3.732003442124703
225,durante,3.732003442124703
226,onorevole,3.732003442124703
227,benedizione,3.732003442124703
228,divinità,3.732003442124703
229,alludendo,3.732003442124703
230,diritto,3.732003442124703
231,dirimpetto,3.7064651918140363
232,faccia,3.7064651918140363
233,fratello,3.6788785475493646
234,colorito,3.6516672434378075
235,nonostante,3.644992065135073
236,abbasso,3.644992065135073
237,pennelli,3.644992065135073
238,persuaso,3.644992065135073
239,sinistro,3.644992065135073
240,dovendo,3.644992065135073
241,praticava,3.644992065135073
242,sonare,3.644992065135073
243,motti,3.644992065135073
244,accademia,3.644992065135073
245,sforzò,3.644992065135073
