,term,score
0,dipinse,41.289255714501266
1,aldigieri,38.0572607405419
2,vittore,27.122764814933838
3,padova,22.29821815029643
4,vinezia,22.17875709494927
5,stefano,20.868474470885232
6,pavone,20.125145705019854
7,scarpaccia,20.125145705019854
8,cappella,19.759597810791703
9,verona,19.338220194556197
10,veronese,15.927298678783167
11,marco,14.975915366416409
12,sebeto,14.230813061409549
13,fresco,13.763085238167088
14,altare,13.633003782736326
15,avanzi,13.014417737085054
16,pratico,12.735393178143614
17,vincenzio,12.731898882334818
18,girolamo,12.594157622457196
19,corpus,12.55196569760328
20,eremitani,12.55196569760328
21,prospettiva,12.314167626104123
22,agostino,12.062256273611743
23,posso,11.807379538300513
24,bellino,11.798022412760561
25,angeli,11.508406661551438
26,santi,11.106227528571488
27,zevio,10.873503068726256
28,buonconsigli,10.873503068726256
29,basarini,10.873503068726256
30,mansueti,10.873503068726256
31,dependenza,10.873503068726256
32,davanzo,10.873503068726256
33,bassiti,10.873503068726256
34,cordegliaghi,10.873503068726256
35,niccolò,10.794992247820455
36,iacopo,10.743452053519384
37,medesimi,10.716559758416338
38,domini,10.472524155923445
39,flore,10.062572852509927
40,vivarino,10.062572852509927
41,rinvenire,10.062572852509927
42,campagnuola,10.062572852509927
43,iob,10.062572852509927
44,iacobello,10.062572852509927
45,bartolomeo,10.013821649389909
46,costoro,9.969250220786751
47,ritratti,9.915371402669201
48,dirò,9.865348275173709
49,suonano,9.718580871080727
50,alberi,9.556379207269899
51,potuto,9.551955048734834
52,padovano,9.487208707606365
53,eufemia,9.487208707606365
54,particolare,9.474794396918044
55,frati,9.393303140731424
56,ragionevole,9.292944900611015
57,lazaro,9.040921604977946
58,orsola,9.040921604977946
59,bresciano,9.040921604977946
60,monache,8.952313667249786
61,antonio,8.686604926793123
62,montagna,8.676278491390036
63,ho,8.436237292163785
64,lombardia,8.393082614243607
65,piviale,8.36797713173552
66,mantenuto,8.36797713173552
67,luigi,8.287808654809798
68,vizii,8.100914346486476
69,bellini,7.865348275173708
70,vorrei,7.865348275173708
71,vergine,7.822045780109745
72,brescia,7.654627243858055
73,simeone,7.464006884249406
74,colorito,7.303334486875615
75,provincia,7.289984130270146
76,dissi,7.289984130270146
77,sala,7.249642405547052
78,grandi,7.192754163469649
79,casamenti,7.176687289919116
80,podestà,7.1298987149230735
81,testamento,7.037127243014436
82,concorrente,6.981682770615629
83,moro,6.843697027641727
84,uccelli,6.843697027641727
85,venezia,6.843697027641727
86,questi,6.838623900626587
87,abiti,6.653627128484781
88,migliore,6.610247601779468
89,diana,6.593370741733715
90,indosso,6.593370741733715
91,sedere,6.535964989024939
92,conto,6.422744005076397
93,giovanbatista,6.370919471513266
94,viniziani,6.370919471513266
95,piccole,6.346415730612279
96,giusto,6.268332882738164
97,greci,6.268332882738164
98,milanese,6.268332882738164
99,sostengono,6.170752554399301
100,aperto,6.077712523129515
101,polo,5.988808997987848
102,parimente,5.9806789067737505
103,benedetto,5.913046894690204
104,mia,5.903689769150256
105,campo,5.866534335082308
106,vigna,5.822045780109745
107,muro,5.820731918689944
108,domenico,5.754203330775719
109,sagramento,5.743604353803183
110,maddalena,5.743604353803183
111,scuola,5.743604353803183
112,storia,5.681474054442957
113,basti,5.668123697837489
114,gaddi,5.668123697837489
115,cagione,5.6455993745119155
116,facendovi,5.5953884094957385
117,sebastiano,5.5953884094957385
118,particolarmente,5.574801066114312
119,belle,5.539866346239293
120,vago,5.525205769873199
121,figliuolo,5.47089912050127
122,vestiti,5.457402666521837
123,recuperati,5.436751534363128
124,verchio,5.436751534363128
125,consolata,5.436751534363128
126,carena,5.436751534363128
127,ramma,5.436751534363128
128,fiorirno,5.436751534363128
129,intessuto,5.436751534363128
130,pantaleone,5.436751534363128
131,vivarini,5.436751534363128
132,moreto,5.436751534363128
133,iosafo,5.436751534363128
134,lioncini,5.436751534363128
135,clemento,5.436751534363128
136,giromin,5.436751534363128
137,guariero,5.436751534363128
138,immitarono,5.436751534363128
139,sfondamento,5.436751534363128
140,bonsignori,5.436751534363128
141,cornigliano,5.436751534363128
142,diminuisce,5.436751534363128
143,guerriero,5.436751534363128
144,morzone,5.436751534363128
145,serenghi,5.436751534363128
146,campignuola,5.436751534363128
147,mantenga,5.436751534363128
148,danzare,5.436751534363128
149,badovaro,5.436751534363128
150,cetera,5.436751534363128
151,tullio,5.436751534363128
152,revelazioni,5.436751534363128
153,artone,5.436751534363128
154,giannetto,5.436751534363128
155,xii,5.436751534363128
156,conigliano,5.436751534363128
157,misceroni,5.436751534363128
158,accettisi,5.436751534363128
159,rompilanza,5.436751534363128
160,turbido,5.436751534363128
161,fianco,5.391823020875854
162,tramezzo,5.391823020875854
163,bolognese,5.391823020875854
164,cristofano,5.391823020875854
165,pilastro,5.207076380613824
166,piedi,5.206348680751905
167,braccio,5.0972457482392795
168,deposto,5.092759552933927
169,gerusalemme,5.0312864262549635
170,prefetto,5.0312864262549635
171,famigliarissimo,5.0312864262549635
172,romanino,5.0312864262549635
173,rosai,5.0312864262549635
174,squarcione,5.0312864262549635
175,parocchia,5.0312864262549635
176,gasparo,5.0312864262549635
177,aparisce,5.0312864262549635
178,accorda,5.0312864262549635
179,finiscono,5.0312864262549635
180,delicatissimo,5.0312864262549635
181,tempra,5.0312864262549635
182,storta,5.0312864262549635
183,incensano,5.0312864262549635
184,trovandomi,5.0312864262549635
185,trivisana,5.0312864262549635
186,profondo,5.0312864262549635
187,moretto,5.0312864262549635
188,ambiduoi,5.0312864262549635
189,dimostrano,4.984625110393376
190,mare,4.984625110393376
191,bellissimi,4.957685701334601
192,man,4.890267133778425
193,profeti,4.882038521618274
194,guerra,4.882038521618274
195,scala,4.882038521618274
196,discepolo,4.85711762521867
197,basso,4.85711762521867
198,gentile,4.832653296437531
199,insino,4.824330413622099
200,eccellenti,4.824330413622099
201,crucifissi,4.743604353803183
202,fucheri,4.743604353803183
203,viola,4.743604353803183
204,dependono,4.743604353803183
205,tiberiade,4.743604353803183
206,fioriscono,4.743604353803183
207,pavoni,4.743604353803183
208,spartendo,4.743604353803183
209,ascoltano,4.743604353803183
210,ricigne,4.743604353803183
211,lena,4.743604353803183
212,ghiaccio,4.743604353803183
213,caroto,4.743604353803183
214,risuscitato,4.743604353803183
215,verdure,4.743604353803183
216,ornò,4.743604353803183
217,stati,4.728065469967598
218,ritta,4.646472450305508
219,sapere,4.646472450305508
220,batista,4.602514636867957
221,teste,4.574185586804946
222,vederne,4.520460802488973
223,canareio,4.520460802488973
224,litterati,4.520460802488973
225,affaticati,4.520460802488973
226,fioriti,4.520460802488973
227,galasso,4.520460802488973
228,nobil,4.520460802488973
229,dormono,4.520460802488973
230,espressamente,4.520460802488973
231,contrasegno,4.520460802488973
232,zebedeo,4.520460802488973
233,piccolino,4.520460802488973
234,busto,4.520460802488973
235,cori,4.520460802488973
236,dividono,4.520460802488973
237,marchesi,4.520460802488973
238,mandorle,4.520460802488973
239,naturali,4.5173954080303655
240,aver,4.485509180080313
241,meno,4.456523447345102
242,anch,4.3961461643974955
243,bello,4.343302463396562
244,testa,4.343302463396562
245,sacra,4.338139245695018
246,ritocca,4.338139245695018
247,avanza,4.338139245695018
248,reggio,4.338139245695018
249,ambrogio,4.338139245695018
250,fondaco,4.338139245695018
251,sopradette,4.338139245695018
252,difendono,4.338139245695018
253,tenuto,4.315652498081789
254,io,4.315652498081789
255,cioè,4.315652498081789
256,su,4.315652498081789
257,ornamento,4.315652498081789
258,facesse,4.315652498081789
259,lato,4.281829336717598
260,subito,4.281829336717598
261,paese,4.281829336717598
262,solo,4.261105540832218
263,credere,4.245131059381205
264,primo,4.234199530883936
265,alcuna,4.207532688632199
266,sana,4.18398856586776
267,ostante,4.18398856586776
268,lodava,4.18398856586776
269,addunque,4.18398856586776
270,tolentino,4.18398856586776
271,afferma,4.18398856586776
272,cominciano,4.18398856586776
273,valor,4.18398856586776
274,seguono,4.18398856586776
275,delicata,4.18398856586776
276,nazioni,4.18398856586776
277,chiamavano,4.18398856586776
278,colombe,4.18398856586776
279,imperadori,4.18398856586776
280,ritraendovi,4.18398856586776
281,lavorarla,4.18398856586776
282,cappelletta,4.18398856586776
283,dall,4.181100799585734
284,buon,4.181100799585734
285,pregio,4.173694894177046
286,tenne,4.173694894177046
287,paesi,4.173694894177046
288,donne,4.138911408753309
289,par,4.1047225420347075
290,presente,4.1047225420347075
291,liberali,4.050457173243238
292,affermando,4.050457173243238
293,pastore,4.050457173243238
294,filareto,4.050457173243238
295,vicentino,4.050457173243238
296,apocalisse,4.050457173243238
297,padoano,4.050457173243238
298,martini,4.050457173243238
299,zeno,4.050457173243238
300,ca,4.050457173243238
301,tabernacolo,4.038049701499524
302,acquistò,4.005528659755964
303,menzione,3.9735279770630814
304,conosce,3.9735279770630814
305,agnolo,3.942031263126803
306,lombardo,3.932674137586854
307,marta,3.932674137586854
308,scolari,3.932674137586854
309,adorno,3.932674137586854
310,murano,3.932674137586854
311,tornati,3.932674137586854
312,lontani,3.932674137586854
313,miniò,3.932674137586854
314,vicenza,3.932674137586854
315,eretici,3.932674137586854
316,diremo,3.932674137586854
317,dipinto,3.9110228900548725
318,infiniti,3.8804879457932957
319,rovinati,3.8273136219290276
320,catena,3.8273136219290276
321,cercano,3.8273136219290276
322,vivissimo,3.8273136219290276
323,accommodato,3.8273136219290276
324,presenta,3.8273136219290276
325,lira,3.8273136219290276
326,cominciarmi,3.8273136219290276
327,valentuomo,3.8273136219290276
328,importa,3.8273136219290276
329,loggie,3.8273136219290276
330,dei,3.8207820194939335
331,giulio,3.8207820194939335
332,angelo,3.762806945747429
333,volano,3.732003442124703
334,marca,3.732003442124703
335,abita,3.732003442124703
336,scrittura,3.732003442124703
337,superare,3.732003442124703
338,paragonato,3.732003442124703
339,prime,3.7064651918140363
340,belli,3.7064651918140363
341,fussero,3.7064651918140363
342,lodato,3.6788785475493646
343,genero,3.644992065135073
344,martello,3.644992065135073
345,marino,3.644992065135073
346,dottrina,3.644992065135073
347,abitò,3.644992065135073
348,canne,3.644992065135073
349,stimati,3.644992065135073
350,converte,3.644992065135073
351,segnalati,3.644992065135073
352,lunghe,3.644992065135073
353,capo,3.624821202773526
354,dico,3.624821202773526
355,nostri,3.572186586138779
356,mostrò,3.572186586138779
357,gara,3.5649493574615367
358,scritta,3.5649493574615367
359,celebrati,3.5649493574615367
360,urbano,3.5649493574615367
361,arimini,3.5649493574615367
362,costumava,3.5649493574615367
363,bianche,3.5649493574615367
364,spalliere,3.5649493574615367
365,percosso,3.5649493574615367
366,lavorate,3.5463797764669636
367,possono,3.5463797764669636
